rank,track_artist,peak,prev,streak,streams,track_name,artist_name,genius_url,lyrics
1,"DtMF
Bad Bunny",1,1.0,60,45722046,DtMF,Bad Bunny,https://genius.com/Bad-bunny-dtmf-lyrics,"62 Contributors
Translations
Русский (Russian)
Türkçe
Français
Italiano
Deutsch
English
Ελληνικά
עברית (Hebrew)
Česky
Suomi
Polski
日本語 (Japanese)
Português
DtMF Lyrics
“DtMF” (DeBÍ TiRAR MáS FOToS) En esta canción Benito hace una reflexión nostálgica sobre el paso del tiempo y la importancia de valorar los momentos cotidianos. Dentro de su letra lamenta no haber capturado…
Read More
[Letra de ""DtMF""]
[Intro]
Eh, eh, eh, eh
[Verso 1]
Otro sunset bonito que veo en San Juan
Disfrutando de todas esas cosas que extrañan los que se van
Disfrutando de noche' de esas que ya no se dan
Que ya no se dan
Pero queriendo volver a la última vez
Que a los ojos te miré
Y contarte las cosas que no te conté (Te parece' a mi crush, jaja)
Y tirarte la' foto' que no te tiré (Acho, jura'o te ves bien linda, déjame tirarte una foto)
Ey, tengo el pecho pela'o, me dio una matá'
El corazón dándome patá'
Dime, baby, ¿dónde tú está'?
Pa' llegarle con RoRo, Julito, Krystal
Roig, Edgar, Seba, Óscar, Darnell y Big Jay, tocando batá
Hoy la calle la dejamo' 'esbaratá
Y sería cabrón que tú me toque' el güiro
Yo veo tu nombre y me salen suspiro'
No sé si son petardo' o si son tiro'
Mi blanquita, perico, mi kilo
Yo estoy en PR, tranquilo, pero

[Estribillo]
Debí tirar más fotos de cuando te tuve
Debí darte más beso' y abrazo' las vece' que pude
Ey, ojalá que los mío' nunca se muden
Y si hoy me emborracho, pues que me ayuden
Debí tirar más foto' de cuando te tuve
Debí darte más beso' y abrazo' las veces que pude
Ojalá que los mío' nunca se muden
Y si hoy me emborracho, pues que me ayuden
[Verso 2]
Ey, hoy voy a estar con abuelo to'l día, jugando dominó
Si me pregunta si aún pienso en ti, yo le digo que no
Que mi estadía cerquita de ti ya se terminó
Ya se terminó, ey
Que prendan la' máquina', voy pa' Santurce
Aquí todavía se da caña
Chequéate las babie', diablo, mami, qué dulce
Hoy yo quiero beber, beber, beber
Y hablar mierda hasta que me expulsen
'Toy bien loco (
'Toy bien loco
), 'toy bien loco (
'Toy bien loco
)
Cabrón, guía tú, que hasta caminando yo estoy que choco
'Toy bien loco (
'Toy bien loco
), 'toy bien loco (
'Toy bien loco
)
Vamo' a disfrutar, que nunca se sabe si nos queda poco
Debí tirar más f—

[Interludio]
Gente, lo' quiero con cojone', los amo
Gracias por estar aquí, de verdad
Para mí e' bien importante que estén aquí
Cada uno de ustede' significa mucho para mí
Así que, vamo' pa' la foto, vengan pa'cá
Métase to'l mundo, to'l corillo, vamo'
Zumba
[Verso 3]
Ya Bernie tiene el nene y Jan la nena
Ya no estamo' pa' la movie' y las cadena'
'Tamos pa' las cosa' que valgan la pena
Ey, pa'l perreo, la salsa, la bomba y la plena
Chequéate la mía cómo es que suena
[Outro]
Debí tirar más fotos de cuando te tuve
Debí darte más besos y abrazo' las veces que pude
Ojalá que los mío' nunca se muden
Y que tú me envíe' más nude'
Y si hoy me emborracho, que Beno me ayude"
2,"BAILE INoLVIDABLE
Bad Bunny",2,2.0,60,33278386,BAILE INoLVIDABLE,Bad Bunny,https://genius.com/Bad-bunny-baile-inolvidable-lyrics,"37 Contributors
Translations
English
Italiano
Français
Português
Deutsch
Türkçe
Русский (Russian)
Česky
Suomi
Polski
BAILE INoLVIDABLE Lyrics
En “BAILE INoLVIDABLE” Benito busca salir de su zona de comfort y experimentar con la salsa, un género musical con el que el puertorriqueño creció desde pequeño y que ve como una de sus raíces musicales más…
Read More
[Letra de ""BAILE INoLVIDABLE""]
[Intro]
Pensaba que contigo iba a envejecer
En otra vida, en otro mundo podrá ser
En esta solo queda irme un día
Y solamente verte en el atardecer
Si me ven solo y triste, no me hablen
Si me ven solo y triste, soy culpable
La vida es una fiesta que un día termina
Y fuiste tú mi baile inolvidable
Y fuiste tú mi baile inolvidable
Eh-eh, eh-eh
Eh-eh, eh-eh
[Interludio: Jacobo Morales]
Mientras uno está vivo
Uno debe amar lo más que pueda
[Coro]
Pensaba que contigo iba a envejecer
En otra vida, en otro mundo podrá ser
En esta solo queda irme un día
Y ver pa'l cielo a ver si te veo caer
Si me ven solo y triste, no me hablen
Si me ven solo y triste, soy culpable
La vida es una fiesta que un día termina
Y fuiste tú mi baile inolvidable

[Refrán]
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
[Verso 1]
Yeah-yeah-yeah-yeah, ey
Dime cómo le hago pa' olvidarte
Hay un paso nuevo que quiero enseñarte
En las noche' ya ni puedo dormir
Lo que hago es soñarte
[Refrán]
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
[Verso 2]
Cómo tú me besabas, cómo yo te lo hacía
Cómo tú me mirabas, bellaquito me ponía
Se siente feo no tenerte cerquita
La nueva mama bien, pero no es tu boquita
Mi diabla, mi ángel, mi loquita
Mi diabla, mi ángel, mi loquita, ey

[Interludio]
Esto suena cabrón
Vamo' a hacerlo otra ve'
Como anoche, como anoche
Tan, tan, ta-na-na, ta-na-na
Aprieta, chamaquito, aprieta
¡Ahí, ahí, ahí, vamo' allá!
[Refrán]
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
[Verso 3]
Ay, yo con cualquiera me puedo acostar
Pero no con cualquiera quiero despertar
Solo con usted, con usted
Yo bailo con usted, na' más con usted
Un beso donde estés, donde estés, bebé
[Refrán]
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar

[Verso 4]
Y yo he tenido muchas novia'
Pero como tú, ninguna
Ya no tengo mi sol, me paso en la luna
Si te pienso, me tiro de una
Eh-eh, mi diabla, mi ángel, mi loquita
Mi diabla, mi ángel, mi loquita, eh-eh"
3,"End of Beginning
Djo",1,5.0,106,32979053,End of Beginning,Djo,https://genius.com/Djo-end-of-beginning-lyrics,"69 Contributors
Translations
Português
Español
Italiano
Deutsch
العربية
Bahasa Indonesia
Norsk
Ελληνικά
Polski
Türkçe
Česky
End of Beginning Lyrics
“End of Beginning” is about exploring themes of personal transformation and reflection on past experiences. After a resurgence of popularity in early 2024, the song was released as the fifth single from…
Read More
[Verse 1]
Just one more tear to cry, one teardrop from my eye
You better save it for
The middle of the night when things aren't black and white
Enter, Troubadour
""Remember twenty-four?""
[Chorus]
And when I'm back in Chicago, I feel it
Another version of me, I was in it
I wave goodbye to the end of beginning
[Verse 2]
This song has started now, and you're just finding out
Now isn't that a laugh?
A major sacrifice, but clueless at the time
Enter, Caroline
""Just trust me, you'll be fine""
[Chorus]
And when I'm back in Chicago, I feel it
Another version of me, I was in it
I wave goodbye to the end of beginning
(Goodbye, goodbye, goodbye, goodbye)
[Bridge]
You take the man out of the city, not the city out the man
You take the man out of the city, not the city out the man
You take the man out of the city, not the city out the man
You take the man out of the—

[Chorus]
And when I'm back in Chicago, I feel it
Another version of me, I was in it
Oh, I wave goodbye to the end of beginning
(Goodbye, goodbye)"
4,"NUEVAYoL
Bad Bunny",3,3.0,60,32180613,NUEVAYoL,Bad Bunny,https://genius.com/Bad-bunny-nuevayol-lyrics,"38 Contributors
Translations
Deutsch
English
Русский (Russian)
Italiano
Português
Ελληνικά
Türkçe
Česky
Polski
Français
NUEVAYoL Lyrics
Benito abre el álbum haciéndole un homenaje a “Un Verano en Nueva York” de El Gran Combo de Puerto Rico y Andy Montañez, una de los éxitos de la salsa puertorriqueña de los años 70, que logró expandirse con…
Read More
[Letra de ""NUEVAYoL""]
[Intro]
¡
Nueva
Yol
!
[Coro: Andy Montañez &
Bad Bunny
]
Si te quieres divertir
Con encanto y con primor
Solo tienes que vivir (
¿Pa' dónde?
)
Un verano en Nueva York (
¡Nueva York!
)
Si te quieres divertir
Con encanto y con primor (
¿Pero qué es esto?
)
Solo tienes que vivir (
¿Y este frío?
)
Un verano en Nueva York (
Un ratito na' má'
)
[Verso 1: Bad Bunny]
Ey, ey, ey, 4 de julio, 4th de July
Ando con mi primo, borracho, rulay
Los mío' en El Bronx saben la que hay
Con la nota en high por Washington Heights
Willie Colón, me dicen ""еl malo"", ey
Porque pasan los año' y sigo dando palo'
Vendiеndo disco' como cuadro' 'e Frida Kahlo
El perico es blanco, sí, sí, el tusi rosita
, eh, eh
No te confunda', no, no, mejor evita, ey (Ey)
Un shot de cañita en casa de Toñita y PR se siente cerquita
Sí, sí, sí, tengo el campeonato, nadie me lo quita

[Interludio]
The best in the world
Number one, the best in the world, ¿okey? ¡Puerto Rico!
[Verso 2: Bad Bunny]
¿Cómo Bad Bunny va a ser rey del pop, ey
Con reggaetón y dembow? Ey
Con reggaetón y dembow, sí
Con reggaetón y dembow
¿Cómo Bad Bunny va a ser rey del pop, ey
Con reggaetón y dembow?
Me siento como el Lapiz en ""Capea El Dough""
Cuando yo nací, fue que nació el flow
De la'o a la'o, ping-pong
Un flow pesa'o, Big Pun
Con silenciador les robamo' las gata', James Bond, ey
Yo estoy en la mía, no tengo adversario, no
Con Los Yankee' y Los Met', Juan Soto
A correr, que otra ve' la sacamo' 'el estadio (Ey)
[Coro: Andy Montañez &
Bad Bunny
]
Si te quieres divertir
Con encanto y con primor
Solo tienes que vivir (
Ya mismo nos vamo'
)
Un verano en Nueva— (
Un ratito má', un ratito
)

[Interludio: Bad Bunny]
Shh, cuida'o, que nadie nos escuche
Shh, cuida'o, que nadie nos escuche
Shh, cuida'o, que nadie nos escuche
Shh, cuida—
[Verso 3: Bad Bunny]
Tú tiene' piquete, mami, yo también
Tú estás buena, yo estoy bueno también
Huelo rico y ando con los de cien
Si tú lo quiere', lo tiene' que mover
Tú tiene' piquete, mami, yo también
Tú estás buena, yo estoy bueno también
Huelo rico y ando con los de cien
Si tú lo quiere', lo tiene' que mover
[Outro: Bad Bunny]
Lo tiene' que move'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'
Lo tiene' que move'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'
Lo tiene' que move'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'
Lo tiene' que move'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'
Shh"
5,"Man I Need
Olivia Dean",3,7.0,27,31180371,Man I Need,Olivia Dean,https://genius.com/Olivia-dean-man-i-need-lyrics,"31 Contributors
Translations
Nederlands
Italiano
Español
Polski
العربية
Česky
Français
Bahasa Indonesia
Man I Need Lyrics
[Intro]
Talk to me, talk to me
Talk to me, talk to me
Hm
[Verse 1]
Looks like we're making up for lost time
Need you to spell it out for me
Bossa nova on all night
It's like a type of alchemy
Introduce me to your best friend
I can come and slot right in
A satellite ain't even that far
I, I kinda wonder where you are
[Pre-Chorus]
Already know I can't leave it alone
You're on my mind, mm
Already gave you the time and the place
So, don't be shy
Just come be the man I need
[Chorus]
Tell me you got something to give, I want it
I kinda like it when you call me ""Wonderful""
Whatever the type of talk it is, come on then
I gotta know you're meant to be the man I need
Talk to me, talk to me

[Post-Chorus]
Mm, talk to me, talk to me
Be the man that I need, baby
Talk to me, talk to me
Be the man that I need, need, need
Mm, talk to me, talk to me
Be the man that I need, baby
Talk to me, talk to me
Be the man, man, man, man, man
[Verse 2]
I'd like to think you feel the same way
But I can't tell with you sometimes
So, baby, let's get on the same page
Stop making me read between the lines
[Pre-Chorus]
Already know I can't leave it alone
You're on my mind, mm
Already gave you the time and the place
So, don't be shy
Just come be the man I need
[Chorus]
Tell me you got something to give, I want it
I kinda like it when you call me ""Wonderful""
Whatever the type of talk it is, come on then
I gotta know you're meant to be the man I need
Talk to me, talk to me
Talk to me, talk to me

[Post-Chorus]
Mm, talk to me, talk to me
Be the man that I need, baby (Be the man)
Talk to me, talk to me
Be the man that I need, need, need
Mm, talk to me, talk to me
Be the man that I need, baby (Be the man)
Talk to me, talk to me
Be the man, man, man, man, man
[Outro]
Mm
Mm-mm, mm-mm, mm
Mm-mm, mm
Mm-mm, mm-mm, mm-mm, mm-mm, mm"
6,"The Fate of Ophelia
Taylor Swift",1,8.0,21,30757410,The Fate of Ophelia,Taylor Swift,https://genius.com/Taylor-swift-the-fate-of-ophelia-lyrics,"184 Contributors
Translations
Galego
Nederlands
Italiano
Français
Deutsch
srpski
Türkçe
Norsk
Українська
Česky
Português
עברית (Hebrew)
Español
ไทย (Thai)
Polski
Tiếng Việt
Русский (Russian)
日本語 (Japanese)
العربية
Беларуская
Lietuvių
فارسی
Magyar
Bahasa Indonesia
Català
The Fate of Ophelia Lyrics
“The Fate of Ophelia” opens The Life of a Showgirl with a direct reference to Shakespeare’s tragic heroine, Ophelia, from the play Hamlet.

The character of Ophelia has descent into madness and drowning has…
Read More
[Verse 1]
I heard you calling on the megaphone
You wanna see me all alone
As legend has it, you are quite the pyro
You light the match to watch it blow
[Pre-Chorus]
And if you'd never come for me
I might've drowned in the melancholy
I swore my loyalty to me (Me), myself (Myself), and I (I)
Right before you lit my sky up
[Chorus]
All that time
I sat alone in my tower
You were just honing your powers
Now I can see it all (See it all)
Late one night
You dug me out of my grave and
Saved my heart from the fate of
Ophelia (Ophеlia)
[Post-Chorus]
Keep it one hundred on the land (Land), thе sea (Sea), the sky
Pledge allegiance to your hands,
your team
,
your vibes
Don't care where the hell you've been (Been) 'cause now (Now) you're mine
It's 'bout to be the sleepless night you've been dreaming of
The fate of Ophelia

[Verse 2]
The eldest daughter of a nobleman
Ophelia lived in fantasy
But love was a cold bed full of scorpions
The venom stole her sanity
[Pre-Chorus]
And if you'd never come for me (Come for me)
I might've lingered in purgatory
You wrap around me like a chain (A chain), a crown (A crown), a vine (A vine)
Pulling me into the fire
[Chorus]
All that time
I sat alone in my tower
You were just honing your powers
Now I can see it all (See it all)
Late one night
You dug me out of my grave and
Saved my heart from the fate of
Ophelia (Ophelia)
[Post-Chorus]
Keep it one hundred on the land (Land), the sea (The sea), the sky
Pledge allegiance to your hands,
your team
,
your vibes
Don't care where the hell you've been (Been) 'cause now (Now) you're mine
It's 'bout to be the sleepless night you've been dreaming of
The fate of Ophelia

[Bridge]
'Tis locked inside my memory
And only you possess the key
No longer drowning and deceived
All because you came for me
Locked inside my memory
And only you possess the key
No longer drowning and deceived
All because you came for me
[Chorus]
All that time
I sat alone in my tower
You were just honing your powers
Now I can see it all (I can see it all)
Late one night
You dug me out of my grave and
Saved my heart from the fate of
Ophelia (Ophelia)
[Post-Chorus]
Keep it one hundred on the land (Land), the sea (The sea), the sky
Pledge allegiance to your hands (Your hands),
your team
,
your vibes
Don't care where the hell you've been (You've been) 'cause now ('Cause now) you're mine
It's 'bout to be the sleepless night you've been dreaming of
The fate of Ophelia

[Outro]
You saved my heart from the fate of Ophelia"
7,"Tití Me Preguntó
Bad Bunny",4,4.0,3,29191815,Tití Me Preguntó,Bad Bunny,https://genius.com/Bad-bunny-titi-me-pregunto-lyrics,"48 Contributors
Translations
English
Deutsch
Italiano
Türkçe
Polski
Русский (Russian)
Tití Me Preguntó Lyrics
[Letra de ""Tití Me Preguntó""]
[Intro: Bad Bunny]
Ey
[Coro: Bad Bunny]
Tití me preguntó si tengo mucha' novia', mucha' novia'
Hoy tengo a una, mañana otra, ey, pero no hay boda
Tití me preguntó si tengo mucha' novia', je, mucha' novia'
Hoy tengo a una, mañana otra
[Refrán: Bad Bunny]
Me la' vo'a llevar a to'a pa' un VIP, un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese"", ey
Que sonrían las que ya les metí
En un VIP,  un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese""
Que sonrían las que ya se olvidaron de mí
[Verso 1: Bad Bunny]
Me gustan mucho las Gabriela
Las Patricia, las Nicole, las Sofía
Mi primera novia en kinder, María
Y mi primer amor se llamaba Thalía
Tengo una colombiana que mе escribe to' los día'
Y una mexicana quе ni yo sabía
Otra en San Antonio que me quiere todavía
Y las de PR que todita' son mía'
Una dominicana que es uva bombón
Uva, uva bombón
La de Barcelona que vino en avión
Y dice que mi bicho está cabrón
Yo dejo que jueguen con mi corazón
Quisiera mudarme con toda' pa' una mansión
El día que me case te envío la invitación
Muchacho, deja eso, ey

[Coro: Bad Bunny]
Tití me preguntó si tengo mucha' novia', mucha' novia'
Hoy tengo una, mañana otra, ey, pero no hay boda
Tití me preguntó si tengo mucha' novia', ey, ey, mucha' novia'
Hoy tengo una, mañana otra (Mañana otra; ¡rra!)
[Post-Coro: Bad Bunny &
Kiko El Crazy
]
Tití me preguntó-tó-tó-tó-tó-tó-tó-tó
Tití me preguntó-tó-tó-tó-tó-tó-tó-tó (
Qué pámpara
)
Tití me preguntó-tó-tó-tó-tó-tó-tó-tó
Tití me preguntó-tó-tó-tó-tó (
Pero ven acá, muchacho, ¿y para qué tú quiere' tanta' novia'?
)
[Refrán: Bad Bunny]
Me la' vo'a llevar a to'a pa' un VIP, un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese"", ey
Que sonrían las que ya les metí
En un VIP,  un VIP, ey
Saluden a Tití
Vamo' a tirarno' un selfie, say ""cheese""
Que sonrían las que ya se olvidaron de mí
[Interludio]
Oye, muchacho 'el diablo azaroso
Suelta ese mal vivir que tú tiene' en la calle
Búscate una mujer seria pa' ti
Chacho 'el diablo, coño

[Puente: Bad Bunny]
Yo quisiera enamorarme
Pero no puedo, pero no puedo, eh, eh
Yo quisiera enamorarme
Pero no puedo, pero no puedo
[Verso 2: Bad Bunny]
Sorry, yo no confío, yo no confío
Nah, ni en mí mismo confío
Si quiere' quedarte hoy que hace frío
Y mañana te va', nah
Muchas quieren mi baby gravy
Quieren tener mi primogénito, ey
Y llevarse el crédito
Ya me aburrí, hoy quiero un totito inédito, je
Uno nuevo, uno nuevo, uno nuevo, uno nuevo (Ey)
Hazle caso a tu amiga, ella tiene razón
Yo vo'a romperte el corazón, vo'a romperte el corazón
Ey, no te enamore' de mí (No, no)
No te enamore' de mí (No, no), ey
Sorry, yo soy así (Así, así), ey
No sé por qué soy así (Ey)
Hazle caso a tu amiga, ella tiene razón
Yo vo'a romperte el corazón, vo'a romperte el corazón (Ey, ey)
No te enamore' de mí (No)
No te enamore' de mí (No), no
Sorry, yo soy así
Ya no quiero ser así, no

[Outro Instrumental]"
8,"So Easy (To Fall In Love)
Olivia Dean",6,9.0,22,28614470,So Easy (To Fall In Love),Olivia Dean,https://genius.com/Olivia-dean-so-easy-to-fall-in-love-lyrics,"26 Contributors
Translations
Türkçe
العربية
Česky
日本語 (Japanese)
Español
Français
Italiano
Nederlands
So Easy (To Fall In Love) Lyrics
[Verse 1]
I could be the twist, the one to make you stop
The icing on your cake, the cherry on the top
There's Heaven in my heart, and we could find you some space, mm
I could be the world to you, the missing piece
The extra sentimental kind of chemistry
Some people make it hard, with me, that isn't the case
[Chorus]
'Cause I make it so easy to fall in love
So, come give me a call, and we'll fall into us
I'm the perfect mix of Saturday night and the rest of your life
Anyone with a heart would agree
It's so easy
To fall in love with
[Verse 2]
The way I do my hair, the way I make you laugh
The way we like to share a walk in Central Park
I could be fresh air, might be the girl of your dreams (Dreams, dreams, dreams)
There's no need to hide if you're into me
'Cause I'm into you quite intimately
And maybe
one night could turn into three
Well, I'm down to see
[Chorus]
'Cause I make it so easy to fall in love
So, come give me a call, and we'll fall into us
I'm the perfect mix of Saturday night and the rest of your life
Anyone with a heart would agree
It's so easy
To fall in love with me

[Bridge]
(Me, me)
Me (Me, me)
Me (Me, me)
Me (Me, me)
It's so easy (Me, me)
It's so easy (Me, me)
It's so easy (Me, me)
Yeah (Me, me)
[Chorus]
So easy to fall in love
So, come give me a call, and we'll fall into us
I'm the perfect mix of Saturday night and the rest of your life
Anyone with a heart would agree
It's so easy
To fall in love with me"
9,"back to friends
sombr",1,10.0,49,26755674,back to friends,sombr,https://genius.com/Sombr-back-to-friends-lyrics,"54 Contributors
Translations
Français
Українська
Italiano
hrvatski
Türkçe
Česky
Deutsch
Español
Русский (Russian)
Português
Nederlands
Bahasa Indonesia
back to friends Lyrics
[Verse 1]
Touch my body tender
'Cause the feeling makes me weak
Kicking off the covers
I see the ceiling while you're looking down at me
[Chorus]
How can we go back to being friends
When we just shared a bed?
How can you look at me and pretend
I'm someone you've never met?
[Verse 2]
It was last December
You were layin' on my chest
I still remember
I was scared to take a breath
Didn't want you to movе your head
[Chorus]
How can we go back to being friеnds
When we just shared a bed? (Yeah)
How can you look at me and pretend
I'm someone you've never met?
[Bridge]
The devil in your eyes
Won't deny the lies you've sold
I'm holding on too tight
While you let go
This is casual

[Chorus]
How can we go back to being friends
When we just shared a bed?
(Yeah)
How can you look at me and pretend
I'm someone you've never met?
How can we go back to being friends
When we just shared a bed? (Yeah)
How can you look at me and pretend
I'm someone you've never met?
[Outro]
I'm someone you've never met (Yeah)"
10,"EoO
Bad Bunny",4,6.0,60,26351243,EoO,Bad Bunny,https://genius.com/Bad-bunny-eoo-lyrics,"34 Contributors
Translations
Русский (Russian)
Deutsch
English
Português
Polski
Česky
EoO Lyrics
[Letra de ""EoO""]
[Intro]
Ella viene por ahí y nunca llega sola, so-so-so-so—
Ella nunca llega sola
To' los bandi-bandido' le sueltan las pistola', pa-pa-pa-pa—
Esta es noche lo que hay-hay-hay-hay-hay (
Dice
)
[Coro: Bad Bunny &
Tito ""El Bambino""
]
Perreo, baby (
Sobeteo, baby
)
Tra-tra, baby (
Hasta abajo, baby
)
En la disco, baby (
Yo te cojo, baby
)
Tra-tra, baby (
Tra-tra, baby
)
Perreo, baby (
Sobeteo, baby
)
Tra-tra, baby (
Hasta abajo, baby
)
En la disco, baby (
Yo te cojo, baby
)
Ey (
Tra-tra, baby
), ey (
Tra-tra, baby
)
[Verso 1]
Yo se la mamo y se pone contenta
Está wheeleá' y ya cumplió los 30
Después de las 12 no los cuenta
No la llame' en el jangueo si no quiere' que mienta
'Tás escuchando al número uno en venta'
Por eso con nosotro' nadiе inventa
Me siento como un bichotе en los 90
Lo tengo para'o, ven pa' que lo sienta'
Dale, mami, pégate (
¡Ah!
), vírate
Si me mira' mucho, sabe' que voy a besarte
Dale, mami, pégate (
¡Ah!
), vírate
Si te beso y me lo agarra', entonce' vo'a llevarte

[Puente]
Mira, puñeta, no me quiten el pe-pe-pe-pe-pe-pe-pe—
[Interludio]
Mami, yo sé que tú te vuelve' loca cuando el perreo te azota
Pero obliga'o tú te acuerda' de mí si me ve' por ahí
Mami, yo sé que tú te vuelve' loca cuando el perreo te azota
Pero obliga'o tú te acuerda' de mí, de cuando te di
[Coro]
Perreo, baby, tra-tra, baby
En la disco, baby, vamo' a darle, baby
Hasta abajo, baby, no te quite', baby
Bellaqueo, baby, tú y yo solos, baby
Perreo, baby, tra-tra, baby
En la disco, baby, te lo meto, baby
Aquí mismo, baby, delante de tu baby
Te compro la BM y también el AP
[Verso 2]
Ey, te doy de'o bailando, mami, estoy testing (
Dale
), ey
Tráete a tu bestie (
Uh
), que a la do' le bajamo' el panty (Tra)
Tiene a 20 en lista 'e waiting (
Dale
)
Te lo tiro en la espalda, body painting (
¡Oh!
)
Rompiendo la calle desde los twenty
Anda cazando, no está dating
Rompe la calle siempre que sale
Mami, tú 'tá fit, vo'a lamberte lo' abdominale'
Rompe la calle siempre que sale
Me gusta' porque tú y yo somo' iguale'
Siempre queremo' perreo, -eo
Tú y yo 'tamo envuelto' en el bellaqueo
Cuando nos ponen perreo, -eo, ey
No me ronquen, cabrone', que acá no lo' veo

[Outro]
'Tás escuchando música de Puerto Rico, cabrón
Nosotro' nos criamo' escuchando y cantando esto
En los caserío', en los barrio'
Desde los 90 hasta el 2000 por siempre
Y ando con el mejor de to' los tiempo, Tainy
Y yo no tengo que roncar, ustedes saben ya
Yeah-yeah-yeah-yeah, yeah-yeah-yeah-yeah
Bad Bunny, baby, Bad Bunny, baby, eh
Tainy, Tainy, Tainy, Tainy
Chequéate la historia"
