rank,track_artist,peak,prev,streak,streams,track_name,artist_name,genius_url,lyrics
101,"Sedia Aku Sebelum Hujan
Idgitaf",24,71.0,13,10214429,Sedia Aku Sebelum Hujan,Idgitaf,https://genius.com/Idgitaf-sedia-aku-sebelum-hujan-lyrics,"3 Contributors
Sedia Aku Sebelum Hujan Lyrics
[Lirik ""Sedia Aku Sebelum Hujan""]
[Verse 1]
Jadi waktu itu dingin, kuberi kau hangat
Walaupun kujuga beku tapi ku aman saat kau nyaman
Jadi waktu itu panas, kuberi kau angin
Walaupun ku juga gerah tapi ku penuh saat kau teduh
[Pre-Chorus]
Sudah pahamkan sejauh ini?
[Chorus]
Ku yang lama di sini, menjagamu tak patah hati
Sedia aku sebelum hujan, apa yang kau butuh kuberikan
Ke mana pun tak akan kau temukan, yang siapkan bekalmu di peperangan
Jika tak setara kumaafkan, memang sebegitunya aku
[Verse 2]
Ku tak punya pilihan, yang dikendali pikiran
Ada namamu disebutkan, ke situlah arahku berjalan
[Pre-Chorus]
Sudah pahamkan sejauh ini?
[Chorus]
Ku yang lama di sini, menjagamu tak patah hati
Sedia aku sebelum hujan, apa yang kau butuh kuberikan
Ke mana pun tak akan kau temukan, yang siapkan bekalmu di peperangan
Jika tak setara kumaafkan, memang sebegitunya aku
Soal cinta aku jatuh

[Bridge]
Ini janjiku
Untuk hadir dan mencintaimu
Di hari baikmu dan di hari burukmu
Sedia aku sеbelum hujan, apa yang kau butuh kuberikan
[Chorus]
Ku yang lama di sini, menjagamu tak patah hati
Sеdia aku sebelum hujan, apa yang kau butuh kuberikan
Ke mana pun tak akan kau temukan, yang siapkan bekalmu di peperangan
Jika tak setara kumaafkan, memang sebegitunya aku
Soal cinta aku jatuh
[Outro]
(Ku yang lama di sini, menjagamu tak patah hati)
Sedia aku sebelum hujan (Sedia aku sebelum hujan, apa yang kau butuh kuberikan)
Sedia aku sebelum hujan (Ke mana pun tak akan kau temukan, yang siapkan bekalmu di peperangan)
Sedia aku sebelum hujan"
102,"daño
Peso Pluma, Tito Double P",32,79.0,9,10185532,daño,"Peso Pluma, Tito Double P",https://genius.com/Peso-pluma-and-tito-double-p-dano-lyrics,"4 Contributors
Translations
English
daño Lyrics
[Letra de ""daño""]
[Intro]
Daño, daño, daño, daño
Daño, daño, daño, daño
Daño, daño
Daño, daño
Daño
[Verso: Peso Pluma &
Tito Double P
]
Solo una noche bastó pa' que me dejara
De mí ya no quiere nada, que está cansada
Muy agotada, y que a la chingada
No habrá reproches
Bueno, no prometo nada
Tal vez hoy tomo, y ya bien loco
Te fundo el cel, la llamada
[Interludio: Peso Pluma]
Hey
¿Qué quieres?
[Coro: Peso Pluma &
Tito Double P
]
¿Por qué se siente tan extraño
Llegar y no sentir tus labios?
Quiero tenerte al lado mío
Te juro que a veces ya no sonrío
Ven, mami, ven, dame la mano
Vámonos de este mundo extraño
Llené de lágrimas el paño
Te amo aunque me hagas tanto fucking daño

[Interludio]
Daño, daño, daño, daño
Daño, daño, daño, daño
Daño, daño
Daño, daño
Daño
[Coro: Tito Double P &
Peso Pluma
]
¿Por qué se siente tan extraño
Llegar y no sentir tus labios?
Quiero tenerte al lado mío
Te juro que a veces ya ni sonrío
Ven, mami, ven, dame tu mano
Vámonos de este mundo extraño
Llené de lágrimas el paño
Te amo aunque me hagas tanto fucking daño
[Outro: Peso Pluma]
Oh-oh, oh-oh, oh-oh
Oh-oh-oh, oh-oh
Daño, daño, daño, daño
Daño, daño, daño, daño
Daño, daño
Daño, daño
Daño"
103,"Viva La Vida
Coldplay",31,101.0,183,10168647,Viva La Vida,Coldplay,https://genius.com/Coldplay-viva-la-vida-lyrics,"292 Contributors
Translations
हिन्दी (Hindi)
Türkçe
Español
Português
Deutsch
Français
한국어 (Korean)
Dansk
فارسی
עברית (Hebrew)
Italiano
Nederlands
Česky
Viva La Vida Lyrics
Revered as an essential rock song of the 2000s, “Viva La Vida” tells the story of a monarch who’s lost his kingdom. In another aspect, the song is also seen as a narrative on the French Revolution given the…
Read More
[Verse 1: Chris Martin]
I used to rule the world
Seas would rise when I gave the word
Now in the mornin', I sleep alone
Sweep the streets I used to own
[Verse 2: Chris Martin]
I used to roll the dice
Feel the fear in my enemy's eyes
Listen as the crowd would sing
""Now the old king is dead, long live the king""
One minute, I held the key
Next, the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand
[Chorus: Chris Martin]
I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
Once you'd gone, there was never
Never an honest word
And that was when I ruled the world

[Verse 3: Chris Martin]
It was a wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become
And revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string (
Mmm, mmm
)
Aw, who would ever wanna be king?
[Chorus: Chris Martin]
I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world
[Bridge: Brian Eno, Guy Berryman, Jonny Buckland & Will Champion]
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh

[Chorus: Chris Martin,
Brian Eno
, Guy Berryman, Jonny Buckland & Will Champion
]
(
Oh-oh-oh, oh-oh, oh
)
Hear Jerusalem bells a-ringin'
(
Oh-oh-oh, oh-oh, oh
)
Roman cavalry choirs are singin'
(
Oh-oh-oh, oh-oh, oh
)
Be my mirror, my sword and shield
(
Oh-oh-oh, oh-oh, oh
)
My missionaries in a foreign field
(
Oh-oh-oh, oh-oh, oh
)
For some reason, I can't explain
(
Oh-oh-oh, oh-oh, oh
)
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world
[Outro]
Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm"
104,"DAISIES
Justin Bieber",2,90.0,33,10056261,DAISIES,Justin Bieber,https://genius.com/Justin-bieber-daisies-lyrics,"59 Contributors
Translations
Česky
Italiano
Polski
简体中文 (Simplified Chinese)
Español
Português
Deutsch
Türkçe
DAISIES Lyrics
[Verse 1]
Throwin' petals like, ""Do you love me or not?""
Head is spinnin', and it don't know when to stop
'Cause you said, ""Forever,"" babe, did you mean it or not?
Hold on, hold on
You leave me on read, babe, but I still get the message
Instead of a line, it's three dots, but I can connect them
And if it ain't right, babe, you know I'll respect it
But if you need time, just take your time
Honey, I get it, I get it, I get it
[Chorus]
Way you got me all in my head
Think I'd rather you in my bed
Whatever it is, you know I can take it
I'm countin' the days, how many days 'til I can see you again?
[Verse 2]
Blowin' kisses like, ""Will you catch 'em or not?""
I'm Cupid with arrows, babe, I'm just shootin' my shot, mm-mm
If I could get in, drop me a pin, hop in the— and come over
Don't wanna be friends, just skin-to-skin, I wanna get closer and closer and closer, uh
[Chorus]
The way you got me all in my head
Think I'd rather you in my bed
Whatever it is, you know I can take it
I'm countin' the days, how many days 'til I can see you again?

[Bridge]
You got me all, all, my love (All in my feelings, babe)
And you got me all, I've been all in my feelings
And you got me all, all weak in my knees every time (You got me all in my head, you got me all in my head, you got—)
‘Cause you got me all, all in my feelings (You got me all in my head, you got me all in my head, you got—)
Every time
[Chorus]
The way you got me all in my head (You got me all in my head)
Think I'd rather you in my bed
Whatever it is, you know I can take it
I'm countin' the days, how many days 'til I can see you again?"
105,"luther (with sza)
Kendrick Lamar, SZA",2,93.0,66,10030579,luther (with sza),"Kendrick Lamar, SZA",https://genius.com/Kendrick-lamar-sza-and-patrick-marion-prince-simmons-kendrick-lamar-and-sza-luther-remix-featuring-patrick-marion-prince-simmons-lyrics,"1 Contributor
KENDRICK LAMAR & SZA luther (REMIX) FEATURING PATRICK MARION-PRINCE SIMMONS Lyrics
[Intro]
If this world were mine
[Verse 1: Kendrick Lamar]
Hey, Roman numeral seven, bae, drop it like it's hot
If this world was mine, I'd take your dreams and make 'em multiply
If this world was mine, I'd take your enemies in front of God
Introduce 'em to that light, hit them strictly with that fire
Fah-fah, fah-fah-fah, fah-fah, fah
Hey, Roman numeral seven, bae, drop it like it's hot
If this world was mine, I'd take your dreams and make 'em multiply
If this world was mine, I'd take your enemies in front of God
Introduce 'em to that light, hit them strictly with that firе
It's a vibe, do your dance, let 'еm watch
She a fan, he a flop, they just wanna kumbaya, nah
[Chorus: SZA, SZA & Kendrick Lamar]
In this world, concrete flowers grow
Heartache, she only doin' what she know
Weekends, get it poppin' on the low
Better days comin' for sure
If this world were—
If it was up to me
I wouldn't give these nobodies no sympathy
I'd take away the pain, I'd give you everything
I just wanna see you win, wanna see
If this world were mine

[Verse 2: Kendrick Lamar & SZA]
It go in (When you), out (Ride it), do it real slow (Slide)
Baby, you a star, strike, pose
When I'm (When you), with you (With me), everything goes (Slow)
Come and (Put that), put that (On my), on my (Titi), soul (Soul)
'Rari (Red), crown (Stack), wrist (Stay), froze (Really)
Drip (Tell me), pound (If you), on the way home (Love me)
[Chorus: Kendrick Lamar & SZA]
In this world, concrete flowers grow
Heartache, she only doin' what she know
Weekends, get it poppin' on the low
Better days comin' for sure
If this world were—
If it was up to me
I wouldn't give these nobodies no sympathy
I'd take away the pain, I'd give you everything
I just wanna see you win, wanna see
If this world were mine
[Verse 3: Kendrick Lamar & SZA]
I can't lie
I trust you, I love you, I won't waste your time
I turn it off just so I can turn you on
I'ma make you say it loud
I'm not even trippin', I won't stress you out
I might even settle down for you, I'ma show you I'm a pro
I'ma take my time and turn it off
Just so I can turn you on, baby
Weekends, get it poppin' on the low
Better days comin' for sure

[Outro: SZA]
I know you're comin' for
Better days
If this world were mine
(Verse 1)
Rolling down these endless roads
With the sun setting low, it feels like home
Counting all the loves I lost
Heartbreak in the rearview keeps me on my toes
Nostalgia’s whisper in the wind
Familiar faces that I used to spin
School days gone, but the wild nights
Chasing dreams in a world of flashing lights
(Chorus)
So we raise our glass to the nights
When money’s wild and the world ignites
We’re running free, with hearts aligned
In Panama, we’ll leave it all behind
We’re running free, with hearts aligned
In Panama, we’ll leave it all behind!
(Verse 2)
Ambition fuels the fire inside
Rebel souls, we’ll never hide
Anarchy calls, let the chaos reign
A symphony of risk, chasing pleasure through the pain
Cars are roaring down these streets
Endless parties where the wild hearts beat
Desire’s burning bright, no regrets
But every love leaves scars we can’t forget

(Chorus)
So we raise our glass to the nights
When money’s wild and the world ignites
We’re running free, with hearts aligned
In Panama, we’ll leave it all behind
We’re running free, with hearts aligned
In Panama, we’ll leave it all behind!
(Bridge)
But underneath the neon glow
Lie the battles of peace and war
Longing for what’s never there
Bitter sweet memories, a silent prayer
Anxious thoughts in the back of my mind
Overwhelmed by dreams, I’m running out of time
Fearful heart, but I’m still in love
With the thrill of freedom lifted high above
(Verse 3)
I’m determined to break the chains
In this wild game where nothing’s the same
Stressed and lost, but I’ll find my way
Grateful for the night, come what may
Every risk, every heartbreak
Every road I’ve traveled makes me awake
Now I’m here, and the fire’s still bright
Confident now, I’ll claim my right
(Chorus)
So we raise our glass to the nights
When money’s wild and the world ignites
We’re running free, with hearts aligned
In Panama, we’ll leave it all behind
We’re running free, with hearts aligned
In Panama, we’ll leave it all behind!
(Outro)
Chasing freedom, dancing through the pain
With every heartbeat, I’ll never change
In the chaos, we find our way
In Panama, we’ll always stay
In Panama, we’ll always stay!
**(Repetition)**
We’re running free, with hearts aligned
In Panama, we’ll leave it all behind!
We’re running free, with hearts aligned
In Panama, we’ll leave it all behind!"
106,"Si Antes Te Hubiera Conocido
KAROL G",5,107.0,11,10003934,Si Antes Te Hubiera Conocido,KAROL G,https://genius.com/Karol-g-si-antes-te-hubiera-conocido-lyrics,"24 Contributors
Translations
Português
English
Italiano
Français
Deutsch
Si Antes Te Hubiera Conocido Lyrics
[Letra de ""Si Antes Te Hubiera Conocido""]
[Intro]
¿
Qué
lo que?
Estamo' a rulay
Empezó el verano
Fuego
[Coro]
¿Qué hubiera sido?
Si antes te hubiera conocido
Seguramente, estarías bailando esta conmigo
No como amigos
[Post-Coro]
Sino como otra cosa
Usted cerca me pone peligrosa
Por un besito hago cualquier cosa
La novia suya me pone celosa y aunque es hermosa
¡Ey!
[Pre-Coro]
No te va a tratar como yo
No te va a besar como yo
No está tan rica así como yo
Ella es tímida y yo no
Con esta' ganas que tengo yo
Me atrevo a comerme los do'
Hoy estás jangueando con ella
Pero, mmm, después tal vez no

[Coro]
¿Qué hubiera sido?
Si antes te hubiera conocido
Seguramente, estarías bailando esta conmigo
No como amigos, ¡ey!
¿Qué hubiera sido?
Ay, si antes te hubiera conocido
Seguramente, estarías bailando esta conmigo
No como amigos, ¡ey!
[Verso]
Y yo te veo y no sé cómo actuar
Bebé, pa' conquistarte que me pasen el manual
Espero lo que sea, yo no me voy a quitar
Tengo fe que esos ojito' un día me van a mirar
Yo me caso contigo
Mi nombre suena bien con tu apellido
'Toy esperando el primer descuido
Pa' presentarte como mi marido
Yo me caso contigo
Mi nombre suena bien con tu apellido
'Toy esperando el primer descuido
Pa' presentarte como mi marido
No has entendido que
[Pre-Coro]
No te va a tratar como yo
No te va a besar como yo
No está tan rica así como yo
Ella es tímida y yo no
Con esta' ganas que tengo yo
Me atrevo a comerme los do'
Hoy estás jangueando con ella
Pero (Mmm) después tal vez no

[Coro]
¿Qué hubiera sido?
Si antes te hubiera conocido (Ey, ¿cómo?)
Seguramente, estarías bailando esta conmigo
No como amigos, no, no, no
[Outro]
Ey, ey, ey, ey
(¿Qué hubiera sido?)
(Si antes te hubiera conocido)
Sisas, sisas, sisas, sisas (Jaja, ah)
Uh-uh-uh-uh
(¿Qué hubiera sido?)
(Si antes te hubiera conocido)"
107,"no tiene sentido
Beéle",18,122.0,9,9981884,no tiene sentido,Beéle,https://genius.com/Beele-no-tiene-sentido-lyrics,"2 Contributors
Translations
Italiano
English
no tiene sentido Lyrics
[Letra de ""no tiene sentido""]
[Intro]
(¡Uh-wu-wu-wu-wu-wu-wu-wu!)
Baby, ¿Qué tú espera'? (Ah-ah)
Si tú y yo conectamo' la primera vez que nos vimo' a los ojo'
No hay manera (Óyelo), de que me olvide de esa piel canela
Quedaron secuela' de esa noche (Yeah, yeah)
[Pre-Coro]
Que tú y yo paramo' el tiempo
Frente a frente (Alright), cuerpo a cuerpo
Yo no sé por qué tan lejos, vo', ah-ah
[Coro]
No tiene sentido que con esto que sentimo'
Tú esté' por otro camino, no еs normal
Bebé, tú allá y yo acá
Eso no tiene sеntido, baby, si ya coincidimo'
Y un par de cosas vivimo', no es normal
Bebé, tú allá y yo acá
Eso no tiene sentido (No; wuh-wuh-wuh)
Eso no tiene sentido (No; aye)
No tiene sentido (No; alright, wu-wu-wu-wu)
No tiene sentido (Óyelo)

[Verso]
Dime, mami, ¿qué fue? ¿Qué se me hizo? (Uh)
Que hace tiempo no te localizo (Uh)
Manda ubi que yo te aterrizo (Wuh-wuh)
Te pienso y me erizo (Aye)
A tu nombre yo me desahogo
El video que hicimo' a vece' lo utilizo
Las ganas en el cielo y la ropa en el piso
Bebé (Bebé), hace tiempo que no te veo (Que no)
Que no me escribes (Que no), que no te leo (Que no)
Con mi mente a veces peleo (Que no)
Porque me dice (Que no) que me olvide, baby
[Pre-Coro]
Que tú y yo paramo' el tiempo (Tú y yo)
Frente a frente, cuerpo a cuerpo
Yo no sé por qué tan lejos, vo' (Alright, alright), ah-ah
[Coro]
No tiene sentido que con esto que sentimo'
Tú esté' por otro camino, no es normal
Bebé, tú allá y yo acá
Eso no tiene sentido, baby, si ya coincidimo'
Y un par de cosas vivimo', no es normal
Bebé, tú allá y yo acá
Eso no tiene sentido (No; wuh-wuh-wuh)
Eso no tiene sentido (No; aye)
No tiene sentido (No; alright, wu-wu-wu-wu)
No tiene sentido (No; óyelo)

[Outro Instrumental]"
108,"Bahagia Lagi
Piche Kota",105,105.0,4,9977995,Bahagia Lagi,Piche Kota,https://genius.com/Piche-kota-and-yovie-widianto-pada-satu-cinta-lyrics,"1 Contributor
Pada Satu Cinta Lyrics
[Lirik ""Pada Satu Cinta""]
[Verse 1]
Masihkah mungkin ku kembali
'Tuk mengisi harimu?
Yang jelas hatiku tak lagi
Sanggup jauh darimu
[Chorus]
Aku 'kan berjanji
Takkan mengulang segala kesalahan
Aku 'kan mengabdi
Pada satu cinta dan itu dirimu
Jujur, ku hanya seorang lelaki
Yang terkadang tak lepas dari godaan
[Verse 2]
Harus kumiliki kesempatan
'Tuk menyayangmu lagi
[Chorus]
Aku 'kan berjanji
Takkan mengulang segala kesalahan
Aku 'kan mengabdi
Pada satu cinta dan itu dirimu
Jujur, ku hanya seorang lelaki
Yang terkadang tak lepas dari godaan

[Bridge]
Kulihat kau ragu
Adakah yang t'lah mengganti aku?
[Chorus]
Aku 'kan berjanji
Takkan mengulang segala kesalahan
Aku 'kan mengabdi
Pada satu cinta dan itu dirimu
Jujur, ku hanya seorang lelaki
Yang terkadang tak lepas dari godaan
[Outro]
Jujur, ku hanya seorang lelaki
Yang terkadang tak lepas dari godaan"
109,"JETSKI
PEDRO SAMPAIO, MC Meno K, Melody",60,60.0,9,9954845,JETSKI,"PEDRO SAMPAIO, MC Meno K, Melody",https://genius.com/Pedro-sampaio-mc-meno-k-and-melody-jetski-lyrics,"10 Contributors
JETSKI Lyrics
[Letra de ""JETSKI""]
[Verso 1: PEDRO SAMPAIO]
Tu gosta, né? De correr perigo
Gosta, né? De um sexo proibido
Só quem vai ver sou eu e os golfinho'
As ondas batendo, ai que delícia o barulhinho
[Refrão: Melody,
PEDRO SAMPAIO
]
(Em cima, em cima) Em cima do jetski, vou rebolar pra tu
(
Oh-oh-oh
)
Nessa onda sexy, te deixo maluco
(
Oh-oh-oh
)
Em cima do jetski, vou rebolar pra tu
(
Oh-oh-oh
)
Nessa onda sexy, te deixo maluco (
Deixa sim, haha, deixa sim
)
(
Oh-oh-oh
)
[Verso 2: MC Meno K]
Barulho do mar, o tempo voa por aqui
Confesso, se eu precisar, te levo de novo pra mim
Pra ver você dançar nessa brisa da praia
Vendo o sol raiar, então vai, moça, baila
[Pré-Refrão: MC Meno K,
Melody
]
Se tu vai, eu também vou, não vou ficar sozinho aqui
O verão chegou, vem montar no meu jetski (
Aham
)
Se tu vai, eu também vou, pra mim ficou melhor assim
Solteiro e ser feliz
Solteiro e ser feliz

[Refrão: Melody,
PEDRO SAMPAIO
]
(Em cima, em cima) Em cima do jetski (
O quê?
), vou rebolar pra tu (
Ah
)
(
Oh-oh-oh
)
Nessa onda sexy (
Uh
), te deixo maluco (
Deixa sim, haha, deixa sim
)
(
Oh-oh-oh
)
E-e-em cima do jetski, vou rebolar pra tu
(
Oh-oh-oh
)
Nessa onda sexy, te deixo maluco
(
Oh-oh-oh
)
[Interlúdio: Melody,
MC Meno K
]
Melody
PE-DRO SAM-PA-IO, vai
É o K na voz
[Ponte: Melody]
Então vai
Rebolo e tu pede mais
Nós dois suando sozinho’, a onda subindo
O biquíni caindo, o corpo molhadinho
E você faz
Em cima do jet
[Saída: Melody]
Vem e me maceta
Ve-vem e me maceta
Ve-vem e me maceta
Em cima, em cima do jet
Vem e me maceta
Ve-vem e me maceta
Ve-em e me maceta
Em cima do-, em cima do-
Em cima do jetski"
110,"Shape of You
Ed Sheeran",1,115.0,56,9889439,Shape of You,Ed Sheeran,https://genius.com/Ed-sheeran-shape-of-you-lyrics,"432 Contributors
Translations
Türkçe
Español
Português
Ελληνικά
Deutsch
Français
Italiano
العربية
Polski
한국어 (Korean)
Русский (Russian)
Česky
srpski
Shape of You Lyrics
Ed Sheeran released “Shape of You” together with “Castle On The Hill.” The two songs were the first releases from his third album, ÷ (Divide), following in the mathematical footsteps of his +  (Plus) and x…
Read More
[Verse 1]
A club isn't the best place to find a lover
So the bar is where I go (Mm)
Me and my friends at the table doin' shots
Drinkin' fast and then we talk slow (Mm)
And you come over and start up a conversation with just me
And trust me, I'll give it a chance now (Mm)
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance, and now I'm singin' like
[Pre-Chorus]
Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm
[Chorus]
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

[Post-Chorus]
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you
[Verse 2]
One week in, we let the story begin
We're goin' out on our first date (Mm)
You and me are thrifty, so go all-you-can-eat
Fill up your bag and I fill up a plate (Mm)
We talk for hours and hours about the sweet and the sour
And how your family is doin' okay (Mm)
And leave and get in a taxi, and kiss in the back seat
Tell the driver make the radio play and I'm singin' like
[Pre-Chorus]
Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

[Chorus]
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body
[Post-Chorus]
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you
[Bridge]
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

[Chorus]
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body
[Outro]
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you"
