rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Raindance (feat. Tems)
Dave, Tems",1,2.0,18,108510,Raindance (feat. Tems),"Dave, Tems"
,"Don’t Say You Love Me
Jin",1,6.0,41,91414,Don’t Say You Love Me,Jin
,"Man I Need
Olivia Dean",3,3.0,27,91221,Man I Need,Olivia Dean
,"DtMF
Bad Bunny",1,1.0,4,88181,DtMF,Bad Bunny
,"So Easy (To Fall In Love)
Olivia Dean",4,4.0,22,87277,So Easy (To Fall In Love),Olivia Dean
,"The Fate of Ophelia
Taylor Swift",1,8.0,21,77346,The Fate of Ophelia,Taylor Swift
,"End of Beginning
Djo",2,7.0,106,75850,End of Beginning,Djo
,"KALYANI
ARJN, KDS, FIFTY4, RONN",4,5.0,14,72386,KALYANI,"ARJN, KDS, FIFTY4, RONN"
,"VISA
SB19",9,,1,68117,VISA,SB19
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",10,20.0,8,63661,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"back to friends
sombr",2,11.0,49,63095,back to friends,sombr
,"Lush Life
Zara Larsson",9,12.0,14,57599,Lush Life,Zara Larsson
,"WHERE IS MY HUSBAND!
RAYE",11,13.0,23,55769,WHERE IS MY HUSBAND!,RAYE
,"Ordinary
Alex Warren",4,14.0,54,53301,Ordinary,Alex Warren
,"Babydoll
Dominic Fike",15,38.0,3,48483,Babydoll,Dominic Fike
,"CHANEL
Tyla",3,17.0,16,48258,CHANEL,Tyla
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2,18.0,36,48081,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"BIRDS OF A FEATHER
Billie Eilish",1,15.0,93,48067,BIRDS OF A FEATHER,Billie Eilish
,"NUEVAYoL
Bad Bunny",9,9.0,4,47803,NUEVAYoL,Bad Bunny
,"Tití Me Preguntó
Bad Bunny",10,10.0,3,47765,Tití Me Preguntó,Bad Bunny
,"Love Me Not
Ravyn Lenae",8,21.0,52,47535,Love Me Not,Ravyn Lenae
,"Die On This Hill
SIENNA SPIRO",19,25.0,9,46537,Die On This Hill,SIENNA SPIRO
,"Die With A Smile
Lady Gaga, Bruno Mars",1,16.0,80,45486,Die With A Smile,"Lady Gaga, Bruno Mars"
,"Gehra Hua (From ""Dhurandhar"")
Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",16,19.0,12,43879,"Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan"
,"Opalite
Taylor Swift",2,23.0,21,43756,Opalite,Taylor Swift
,"Gabriela
KATSEYE",5,22.0,36,43255,Gabriela,KATSEYE
,"I Just Might
Bruno Mars",12,28.0,7,42604,I Just Might,Bruno Mars
,"Tahanan
El Manu",28,33.0,7,41099,Tahanan,El Manu
,"E85
Don Toliver",29,41.0,4,38963,E85,Don Toliver
,"One Dance
Drake, Wizkid, Kyla",20,26.0,256,38815,One Dance,"Drake, Wizkid, Kyla"
,"Belyol
Dabzee, Edappal Bappu, Rishi Roy",31,31.0,3,38814,Belyol,"Dabzee, Edappal Bappu, Rishi Roy"
,"DAISIES
Justin Bieber",3,29.0,33,38552,DAISIES,Justin Bieber
,"Multo
Cup of Joe",5,66.0,49,38523,Multo,Cup of Joe
,"Homewrecker
sombr",34,48.0,3,38041,Homewrecker,sombr
,"WILDFLOWER
Billie Eilish",8,27.0,93,37668,WILDFLOWER,Billie Eilish
,"I Thought I Saw Your Face Today
She & Him",25,34.0,12,37201,I Thought I Saw Your Face Today,She & Him
,"Folded
Kehlani",18,39.0,37,36154,Folded,Kehlani
,"Manchild
Sabrina Carpenter",9,37.0,38,35466,Manchild,Sabrina Carpenter
,"Iris
The Goo Goo Dolls",31,47.0,56,35341,Iris,The Goo Goo Dolls
,"ZILL
M.H.R, Shafi Kollam, JOKER390P",40,148.0,2,35249,ZILL,"M.H.R, Shafi Kollam, JOKER390P"
,"Dhurandhar - Title Track (From ""Dhurandhar"")
Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan",19,32.0,14,35031,"Dhurandhar - Title Track (From ""Dhurandhar"")","Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan"
,"What You Saying
Lil Uzi Vert",28,40.0,8,34637,What You Saying,Lil Uzi Vert
,"Sailor Song
Gigi Perez",9,45.0,79,34519,Sailor Song,Gigi Perez
,"BAILE INoLVIDABLE
Bad Bunny",18,24.0,4,33983,BAILE INoLVIDABLE,Bad Bunny
,"Seven (feat. Latto) (Explicit Ver.)
Jung Kook, Latto",1,72.0,137,33633,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
,"Espresso
Sabrina Carpenter",1,35.0,98,33534,Espresso,Sabrina Carpenter
,"All The Stars (with SZA) - From ""Black Panther: The Album""
Kendrick Lamar, SZA",9,36.0,110,33526,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA"
