rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"DtMF
Bad Bunny",1,1.0,8,235718,DtMF,Bad Bunny
,"Lush Life
Zara Larsson",2,2.0,26,209737,Lush Life,Zara Larsson
,"End of Beginning
Djo",1,5.0,26,201881,End of Beginning,Djo
,"WHERE IS MY HUSBAND!
RAYE",3,4.0,23,200384,WHERE IS MY HUSBAND!,RAYE
,"Babydoll
Dominic Fike",5,11.0,5,180320,Babydoll,Dominic Fike
,"The Fate of Ophelia
Taylor Swift",1,7.0,21,177288,The Fate of Ophelia,Taylor Swift
,"Raindance (feat. Tems)
Dave, Tems",5,8.0,11,165844,Raindance (feat. Tems),"Dave, Tems"
,"Tití Me Preguntó
Bad Bunny",3,3.0,3,159974,Tití Me Preguntó,Bad Bunny
,"TANZSCHEIN
COSMÓ",9,,1,155693,TANZSCHEIN,COSMÓ
,"Mr. Brightside
The Killers",9,9.0,61,153590,Mr. Brightside,The Killers
,"Man I Need
Olivia Dean",8,12.0,27,145626,Man I Need,Olivia Dean
,"NUEVAYoL
Bad Bunny",2,6.0,4,140931,NUEVAYoL,Bad Bunny
,"back to friends
sombr",2,16.0,50,131669,back to friends,sombr
,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",14,17.0,8,131026,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
,"Ordinary
Alex Warren",1,13.0,55,130600,Ordinary,Alex Warren
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,15.0,35,125302,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",17,48.0,7,124165,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"No Broke Boys
Disco Lines, Tinashe",3,20.0,36,122625,No Broke Boys,"Disco Lines, Tinashe"
,"12 to 12
sombr",4,19.0,31,120879,12 to 12,sombr
,"Homewrecker
sombr",20,23.0,3,117891,Homewrecker,sombr
,"Every Breath You Take
The Police",7,21.0,79,111935,Every Breath You Take,The Police
,"BAILE INoLVIDABLE
Bad Bunny",5,10.0,4,106745,BAILE INoLVIDABLE,Bad Bunny
,"Love Me Not
Ravyn Lenae",9,24.0,51,106090,Love Me Not,Ravyn Lenae
,"So Easy (To Fall In Love)
Olivia Dean",24,29.0,22,102169,So Easy (To Fall In Love),Olivia Dean
,"Iris
The Goo Goo Dolls",17,35.0,61,101745,Iris,The Goo Goo Dolls
,"tau mich auf
Zartmann",1,30.0,49,99697,tau mich auf,Zartmann
,"Tirol
DJ Ötzi",2,22.0,13,99269,Tirol,DJ Ötzi
,"undressed
sombr",7,28.0,49,96996,undressed,sombr
,"Sex on Fire
Kings of Leon",24,31.0,61,96353,Sex on Fire,Kings of Leon
,"LOVE U ANYWAY
benno!",6,27.0,5,95853,LOVE U ANYWAY,benno!
,"White Keys
Dominic Fike",31,79.0,3,95496,White Keys,Dominic Fike
,"EoO
Bad Bunny",9,14.0,4,93546,EoO,Bad Bunny
,"Drag Path
Twenty One Pilots",33,,1,92250,Drag Path,Twenty One Pilots
,"Riptide
Vance Joy",15,33.0,218,92247,Riptide,Vance Joy
,"The Emptiness Machine
Linkin Park",1,41.0,77,87033,The Emptiness Machine,Linkin Park
,"Wackelkontakt
Oimara",1,18.0,59,86609,Wackelkontakt,Oimara
,"Sailor Song
Gigi Perez",2,40.0,79,84389,Sailor Song,Gigi Perez
,"I Just Might
Bruno Mars",16,49.0,7,83731,I Just Might,Bruno Mars
,"TRIPPIN
BUNT., Mapei",18,47.0,34,83513,TRIPPIN,"BUNT., Mapei"
,"AKON
Jazeek",2,37.0,48,83394,AKON,Jazeek
