rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Man I Need
Olivia Dean",1,1.0,28,2480645,Man I Need,Olivia Dean
,"So Easy (To Fall In Love)
Olivia Dean",2,2.0,22,1729137,So Easy (To Fall In Love),Olivia Dean
,"Rein Me In (with Olivia Dean)
Sam Fender, Olivia Dean",3,8.0,25,1531818,Rein Me In (with Olivia Dean),"Sam Fender, Olivia Dean"
,"Homewrecker
sombr",4,4.0,3,1403002,Homewrecker,sombr
,"WHERE IS MY HUSBAND!
RAYE",3,3.0,23,1338215,WHERE IS MY HUSBAND!,RAYE
,"Raindance (feat. Tems)
Dave, Tems",5,5.0,18,1309203,Raindance (feat. Tems),"Dave, Tems"
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",7,16.0,8,1280215,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"12 to 12
sombr",4,6.0,31,1276194,12 to 12,sombr
,"No Broke Boys
Disco Lines, Tinashe",2,9.0,38,1214658,No Broke Boys,"Disco Lines, Tinashe"
,"Lush Life
Zara Larsson",7,7.0,15,1201062,Lush Life,Zara Larsson
,"Nice To Each Other
Olivia Dean",7,12.0,38,1194303,Nice To Each Other,Olivia Dean
,"End of Beginning
Djo",2,11.0,16,1186701,End of Beginning,Djo
,"The Fate of Ophelia
Taylor Swift",1,13.0,21,1095090,The Fate of Ophelia,Taylor Swift
,"Ordinary
Alex Warren",1,14.0,55,1040928,Ordinary,Alex Warren
,"back to friends
sombr",2,15.0,50,1036499,back to friends,sombr
,"iloveitiloveitiloveit
Bella Kay",16,50.0,3,958191,iloveitiloveitiloveit,Bella Kay
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,17.0,36,952362,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"DtMF
Bad Bunny",3,10.0,4,947907,DtMF,Bad Bunny
,"I Just Might
Bruno Mars",9,19.0,7,942502,I Just Might,Bruno Mars
,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)
White Noise Radiance, Rain Sounds",18,18.0,4,879495,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)","White Noise Radiance, Rain Sounds"
,"Choosin' Texas
Ella Langley",21,21.0,9,868398,Choosin' Texas,Ella Langley
,"Babydoll
Dominic Fike",22,32.0,7,848396,Babydoll,Dominic Fike
,"The Hardest Part
Olivia Dean",20,20.0,27,840305,The Hardest Part,Olivia Dean
,"Dreams - 2004 Remaster
Fleetwood Mac",7,25.0,322,829124,Dreams - 2004 Remaster,Fleetwood Mac
,"Mr. Brightside
The Killers",14,24.0,479,815195,Mr. Brightside,The Killers
,"A Couple Minutes
Olivia Dean",22,22.0,21,810938,A Couple Minutes,Olivia Dean
,"Iris
The Goo Goo Dolls",13,23.0,217,797161,Iris,The Goo Goo Dolls
,"Die On This Hill
SIENNA SPIRO",19,27.0,9,794328,Die On This Hill,SIENNA SPIRO
,"undressed
sombr",2,26.0,49,788986,undressed,sombr
,"Love Me Not
Ravyn Lenae",4,30.0,53,756546,Love Me Not,Ravyn Lenae
,"Ok Love You Bye
Olivia Dean",31,36.0,26,751512,Ok Love You Bye,Olivia Dean
,"Baby Steps
Olivia Dean",16,33.0,22,745479,Baby Steps,Olivia Dean
,"Opalite
Taylor Swift",2,29.0,21,722465,Opalite,Taylor Swift
,"DAISIES
Justin Bieber",1,28.0,33,719887,DAISIES,Justin Bieber
,"Beautiful Things
Benson Boone",1,38.0,110,696835,Beautiful Things,Benson Boone
,"Dive
Olivia Dean",23,35.0,27,691771,Dive,Olivia Dean
,"The Great Divide
Noah Kahan",16,37.0,4,690144,The Great Divide,Noah Kahan
,"I Run
HAVEN., Kaitlin Aragon",11,41.0,14,635818,I Run,"HAVEN., Kaitlin Aragon"
,"Sex on Fire
Kings of Leon",38,46.0,217,627210,Sex on Fire,Kings of Leon
,"Lose Control
Teddy Swims",5,44.0,121,621095,Lose Control,Teddy Swims
,"Victory Lap
Fred again.., Skepta, Plaqueboymax",4,45.0,37,610554,Victory Lap,"Fred again.., Skepta, Plaqueboymax"
,"BIRDS OF A FEATHER
Billie Eilish",1,40.0,93,607507,BIRDS OF A FEATHER,Billie Eilish
,"The Chain - 2004 Remaster
Fleetwood Mac",31,47.0,51,606884,The Chain - 2004 Remaster,Fleetwood Mac
,"4 Raws
EsDeeKid",21,48.0,15,605956,4 Raws,EsDeeKid
,"Manchild
Sabrina Carpenter",2,43.0,38,605372,Manchild,Sabrina Carpenter
,"Something in the Orange
Zach Bryan",7,57.0,183,588631,Something in the Orange,Zach Bryan
,"Pink Pony Club
Chappell Roan",3,42.0,61,583561,Pink Pony Club,Chappell Roan
,"I've Seen It
Olivia Dean",48,55.0,21,581544,I've Seen It,Olivia Dean
,"Let Alone The One You Love
Olivia Dean",20,51.0,22,577770,Let Alone The One You Love,Olivia Dean
,"White Keys
Dominic Fike",50,78.0,4,573406,White Keys,Dominic Fike
,"A Bar Song (Tipsy)
Shaboozey",2,61.0,98,571652,A Bar Song (Tipsy),Shaboozey
,"Tití Me Preguntó
Bad Bunny",31,31.0,3,567817,Tití Me Preguntó,Bad Bunny
,"I Remember Everything (feat. Kacey Musgraves)
Zach Bryan, Kacey Musgraves",5,59.0,131,559653,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves"
,"Dracula
Tame Impala",24,67.0,22,559441,Dracula,Tame Impala
,"Sailor Song
Gigi Perez",5,54.0,82,556744,Sailor Song,Gigi Perez
,"Aperture
Harry Styles",2,34.0,5,556425,Aperture,Harry Styles
,"Landslide
Fleetwood Mac",45,65.0,30,552800,Landslide,Fleetwood Mac
,"Fame is a Gun
Addison Rae",34,56.0,9,550334,Fame is a Gun,Addison Rae
,"Scar Tissue
Red Hot Chili Peppers",57,68.0,47,547715,Scar Tissue,Red Hot Chili Peppers
,"Every Breath You Take
The Police",21,52.0,65,538909,Every Breath You Take,The Police
