rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"DtMF
Bad Bunny",1,1.0,6,383341,DtMF,Bad Bunny
,"melodrama
disiz, Theodora",1,2.0,21,362681,melodrama,"disiz, Theodora"
,"MON BÉBÉ
RnBoi",1,3.0,18,351606,MON BÉBÉ,RnBoi
,"WHERE IS MY HUSBAND!
RAYE",2,6.0,23,340538,WHERE IS MY HUSBAND!,RAYE
,"End of Beginning
Djo",1,5.0,15,339560,End of Beginning,Djo
,"Lush Life
Zara Larsson",4,4.0,37,330259,Lush Life,Zara Larsson
,"Man I Need
Olivia Dean",4,8.0,27,322567,Man I Need,Olivia Dean
,"Raindance (feat. Tems)
Dave, Tems",4,7.0,18,319027,Raindance (feat. Tems),"Dave, Tems"
,"The Fate of Ophelia
Taylor Swift",1,9.0,21,314933,The Fate of Ophelia,Taylor Swift
,"Die On This Hill
SIENNA SPIRO",10,15.0,16,267974,Die On This Hill,SIENNA SPIRO
,"B.M.S (by my side)
Rambo goyard",10,12.0,7,263832,B.M.S (by my side),Rambo goyard
,"NUEVAYoL
Bad Bunny",7,10.0,4,260341,NUEVAYoL,Bad Bunny
,"No Broke Boys
Disco Lines, Tinashe",4,17.0,33,254425,No Broke Boys,"Disco Lines, Tinashe"
,"Ordinary
Alex Warren",1,13.0,55,252059,Ordinary,Alex Warren
,"LOVE YOU
Nono La Grinta",7,14.0,17,249219,LOVE YOU,Nono La Grinta
,"Tití Me Preguntó
Bad Bunny",11,11.0,3,246026,Tití Me Preguntó,Bad Bunny
,"So Easy (To Fall In Love)
Olivia Dean",13,21.0,22,239490,So Easy (To Fall In Love),Olivia Dean
,"Lekker voor je
Lil Kleine",18,,1,238064,Lekker voor je,Lil Kleine
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2,16.0,35,236490,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"12 to 12
sombr",17,19.0,31,233228,12 to 12,sombr
,"Argent Sale - A COLORS SHOW
La Rvfleuze, COLORS",21,127.0,2,222811,Argent Sale - A COLORS SHOW,"La Rvfleuze, COLORS"
,"I Just Might
Bruno Mars",13,22.0,7,222755,I Just Might,Bruno Mars
,"PARISIENNE
GIMS, La Mano 1.9",1,20.0,30,219797,PARISIENNE,"GIMS, La Mano 1.9"
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",24,38.0,6,206763,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"Babydoll
Dominic Fike",25,31.0,4,203175,Babydoll,Dominic Fike
,"Love Me Not
Ravyn Lenae",4,26.0,48,192856,Love Me Not,Ravyn Lenae
,"BAILE INoLVIDABLE
Bad Bunny",11,18.0,4,188118,BAILE INoLVIDABLE,Bad Bunny
,"Zoo
Disney, Shakira",28,34.0,9,186963,Zoo,"Disney, Shakira"
,"AVEC MOI
RnBoi, Nono La Grinta",15,24.0,6,186069,AVEC MOI,"RnBoi, Nono La Grinta"
,"back to friends
sombr",8,29.0,49,184407,back to friends,sombr
,"Génération impolie
Franglish, KeBlack",12,23.0,19,182245,Génération impolie,"Franglish, KeBlack"
