rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Хавте
Tsvetelina Yaneva, Azis",1,2.0,2,92718,Хавте,"Tsvetelina Yaneva, Azis"
,"КУ-КУ
Djordan",1,1.0,10,87775,КУ-КУ,Djordan
,"Охрана
Lidia",3,3.0,5,76235,Охрана,Lidia
,"Катинара
SIMONA",2,5.0,37,71489,Катинара,SIMONA
,"Флиртаджийка
Kiara",2,4.0,9,69018,Флиртаджийка,Kiara
,"Хотел
Ivayla, Galin",3,7.0,11,67554,Хотел,"Ivayla, Galin"
,"Вдига му бившата
Selina",3,6.0,14,66947,Вдига му бившата,Selina
,"Габриела
Gabriella, Medi",2,8.0,12,65586,Габриела,"Gabriella, Medi"
,"Highlife 3
BM, MBT",9,,1,60023,Highlife 3,"BM, MBT"
,"Who
Jimin",1,14.0,84,54024,Who,Jimin
,"Kasay
Emanuela",1,10.0,18,53516,Kasay,Emanuela
,"Halkata
Emanuela, DJ Damyan",12,17.0,2,50967,Halkata,"Emanuela, DJ Damyan"
,"Тази дискотека
Galin, Azis",1,12.0,35,50761,Тази дискотека,"Galin, Azis"
,"Целувка с Tequila
Mirela, Lidia",1,11.0,32,50431,Целувка с Tequila,"Mirela, Lidia"
,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",15,19.0,12,48845,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
,"Балканска двойка
DJ Damyan, Selina",1,9.0,19,47692,Балканска двойка,"DJ Damyan, Selina"
,"Бам Бам Бам
Mirela",4,15.0,14,45142,Бам Бам Бам,Mirela
,"Трафик
Selina",2,16.0,34,44436,Трафик,Selina
,"Loro Piana
VANE$$A, Danna",2,13.0,8,44372,Loro Piana,"VANE$$A, Danna"
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",20,52.0,7,41157,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"PORSCHE
V:RGO, Emil TRF, MBT",1,23.0,21,39805,PORSCHE,"V:RGO, Emil TRF, MBT"
,"Добро момче
Dessita",4,18.0,20,39578,Добро момче,Dessita
,"Bez teb
Preslava",9,36.0,28,38196,Bez teb,Preslava
,"Грешници
Lidia, Konstantin",6,34.0,29,36079,Грешници,"Lidia, Konstantin"
,"Без коз
Kiara, Andrea",7,20.0,26,35911,Без коз,"Kiara, Andrea"
,"S men da varvish
Djena, Galin",21,27.0,72,35654,S men da varvish,"Djena, Galin"
,"Джумбаре
Krissy, Selina",13,25.0,29,35278,Джумбаре,"Krissy, Selina"
,"Откачила
Selina, Medi",15,38.0,33,35043,Откачила,"Selina, Medi"
,"Notarialno zaveren
Emanuela",23,44.0,77,34392,Notarialno zaveren,Emanuela
,"Маниак
Djordan",8,30.0,31,34016,Маниак,Djordan
,"Мисли му
Kiara, Monkey",1,22.0,47,33491,Мисли му,"Kiara, Monkey"
,"Рано призори
Robi",32,,1,33105,Рано призори,Robi
