rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Cuando No Era Cantante
El Bogueto, Yung Beef",1,2.0,22,146026,Cuando No Era Cantante,"El Bogueto, Yung Beef"
,"BAILE INoLVIDABLE
Bad Bunny",1,1.0,60,144206,BAILE INoLVIDABLE,Bad Bunny
,"COQUETA
Fuerza Regida, Grupo Frontera",1,4.0,53,132789,COQUETA,"Fuerza Regida, Grupo Frontera"
,"DtMF
Bad Bunny",1,3.0,60,122643,DtMF,Bad Bunny
,"EoO
Bad Bunny",5,5.0,60,111095,EoO,Bad Bunny
,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",6,11.0,11,106190,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
,"Niño
Milo j",7,12.0,22,105056,Niño,Milo j
,"TU VAS SIN (fav)
Rels B",1,8.0,34,103377,TU VAS SIN (fav),Rels B
,"LA VILLA
Ryan Castro, Kapo, Gangsta",3,9.0,10,103353,LA VILLA,"Ryan Castro, Kapo, Gangsta"
,"LA CANCIÓN
J Balvin, Bad Bunny",2,6.0,348,99736,LA CANCIÓN,"J Balvin, Bad Bunny"
,"Es un Secreto
Plan B",6,15.0,215,99126,Es un Secreto,Plan B
,"QLOO*
Young Cister, Kreamly",1,14.0,39,94284,QLOO*,"Young Cister, Kreamly"
,"no tiene sentido
Beéle",2,18.0,41,91035,no tiene sentido,Beéle
,"NUEVAYoL
Bad Bunny",4,7.0,60,91012,NUEVAYoL,Bad Bunny
,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",2,10.0,67,90918,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
,"Me Rehúso
Danny Ocean",1,21.0,479,90070,Me Rehúso,Danny Ocean
,"YOGURCITO REMIX (feat. Kris R., ROA)
Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",6,22.0,26,85025,"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA"
,"VOY A LLeVARTE PA PR
Bad Bunny",4,13.0,60,83971,VOY A LLeVARTE PA PR,Bad Bunny
,"Dardos
Romeo Santos, Prince Royce",11,29.0,12,83793,Dardos,"Romeo Santos, Prince Royce"
,"Amárrame
Mon Laferte, Juanes",20,24.0,19,83250,Amárrame,"Mon Laferte, Juanes"
,"Borro Cassette
Maluma",19,27.0,130,82796,Borro Cassette,Maluma
,"Khé?
Rauw Alejandro, Romeo Santos",1,30.0,67,82681,Khé?,"Rauw Alejandro, Romeo Santos"
,"Rara Vez
Milo j, Taiu",3,26.0,159,82269,Rara Vez,"Milo j, Taiu"
,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,28.0,53,80368,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
,"Diles
Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",16,46.0,39,80148,Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz"
,"Tiroteo - Remix
Marc Seguí, Rauw Alejandro, Pol Granch",11,31.0,97,79549,Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch"
