rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"JETSKI
PEDRO SAMPAIO, MC Meno K, Melody",1,1.0,10,8401124,JETSKI,"PEDRO SAMPAIO, MC Meno K, Melody"
,"Posso Até Não Te Dar Flores
DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",1,2.0,23,7759690,Posso Até Não Te Dar Flores,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG"
,"Carnívoro
Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK",3,5.0,5,7056852,Carnívoro,"Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK"
,"Eu Te Seguro - Ao Vivo
Panda, MJ Records",3,4.0,23,6719280,Eu Te Seguro - Ao Vivo,"Panda, MJ Records"
,"Amo Minha Favela
DJ Japa NK, MC Meno K",3,3.0,11,6664016,Amo Minha Favela,"DJ Japa NK, MC Meno K"
,"Reliquia do 2T
DJ Gu, MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte",6,20.0,2,6600072,Reliquia do 2T,"DJ Gu, MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte"
,"Gauchinha
DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY",7,10.0,10,5552074,Gauchinha,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY"
,"ME POSTOU NO DAILY - FESTA DO BIG G
MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat",2,11.0,22,5314598,ME POSTOU NO DAILY - FESTA DO BIG G,"MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat"
,"Diário de um Cafajeste
DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original",6,12.0,16,5257925,Diário de um Cafajeste,"DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original"
,"Faz Parte De Mim
MC Tuto, DJ Oreia",10,16.0,3,5130766,Faz Parte De Mim,"MC Tuto, DJ Oreia"
,"P do Pecado - Ao Vivo
Grupo Menos É Mais, Simone Mendes",1,6.0,43,4908122,P do Pecado - Ao Vivo,"Grupo Menos É Mais, Simone Mendes"
,"Calcinha de Renda - Ao Vivo
Panda, Gusttavo Lima, MJ Records",11,14.0,13,4566974,Calcinha de Renda - Ao Vivo,"Panda, Gusttavo Lima, MJ Records"
,"Eu Me Apaixonei
Vitinho Imperador",3,7.0,27,4381309,Eu Me Apaixonei,Vitinho Imperador
,"Lembrei de Tu
MC Meno K, Oruam, Fepache",14,100.0,2,4381285,Lembrei de Tu,"MC Meno K, Oruam, Fepache"
,"SET DO JAPA NK 2.0
DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam",5,15.0,14,4367181,SET DO JAPA NK 2.0,"DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam"
,"SEQUÊNCIA FEITICEIRA
PEDRO SAMPAIO, Mc Gw, Mc Jhey, Mc Rodrigo do CN, MC Nito",2,8.0,26,4341347,SEQUÊNCIA FEITICEIRA,"PEDRO SAMPAIO, Mc Gw, Mc Jhey, Mc Rodrigo do CN, MC Nito"
,"Pela Última Vez - Ao Vivo
Grupo Menos É Mais, NATTAN",3,9.0,27,4335486,Pela Última Vez - Ao Vivo,"Grupo Menos É Mais, NATTAN"
,"PEGA A MALDADE DA BANDIDA
Dj Luan Gomes, Mc Ws da leste, Delleon, Tropa da W&S",18,25.0,4,3959485,PEGA A MALDADE DA BANDIDA,"Dj Luan Gomes, Mc Ws da leste, Delleon, Tropa da W&S"
,"Deixa Eu - Ao Vivo
Murilo Huff",8,23.0,28,3831452,Deixa Eu - Ao Vivo,Murilo Huff
,"Vai Tomando Pock Pock
Mc Lele JP, MC Leozinho ZS, MC GH Original, MC Menor ZL, DJ GORDINHO DA VF, MC Meno K, MC PR",13,19.0,21,3797568,Vai Tomando Pock Pock,"Mc Lele JP, MC Leozinho ZS, MC GH Original, MC Menor ZL, DJ GORDINHO DA VF, MC Meno K, MC PR"
,"Vagabundo
Gusttavo Lima, Luis Fonsi",13,21.0,20,3742297,Vagabundo,"Gusttavo Lima, Luis Fonsi"
,"Tubarões - Ao Vivo
Diego & Victor Hugo",1,22.0,54,3694199,Tubarões - Ao Vivo,Diego & Victor Hugo
,"Última Saudade - Ao Vivo
Henrique & Juliano",1,27.0,74,3604015,Última Saudade - Ao Vivo,Henrique & Juliano
,"Ignora (Ao Vivo)
Felipe e Rodrigo",17,32.0,12,3390588,Ignora (Ao Vivo),Felipe e Rodrigo
,"Não Mexe nas Minhas Gavetas - Ao Vivo
Danilo e Davi",25,26.0,4,3321639,Não Mexe nas Minhas Gavetas - Ao Vivo,Danilo e Davi
,"Bebe, Beija e Trai - Ao Vivo
Mayke & Rodrigo, Panda",24,31.0,12,3271881,"Bebe, Beija e Trai - Ao Vivo","Mayke & Rodrigo, Panda"
,"DtMF
Bad Bunny",14,39.0,4,3239191,DtMF,Bad Bunny
,"OLHO MARROM - Ao Vivo em Lisboa
Luan Santana",25,33.0,22,3232369,OLHO MARROM - Ao Vivo em Lisboa,Luan Santana
,"GOSTOSIN
Anitta, Felipe Amorim, HITMAKER",17,17.0,12,3176161,GOSTOSIN,"Anitta, Felipe Amorim, HITMAKER"
,"Baqueado - Ao Vivo
Panda, Ícaro e Gilmar, MJ Records",9,30.0,49,3046707,Baqueado - Ao Vivo,"Panda, Ícaro e Gilmar, MJ Records"
,"Semi Nua
MC GP, MC Meno K, Aaron Modesto, MC RN do Capão, DU'L, MC Rick, DJ Guh Mix, Marquinho no Beat, MC Ryan SP, Mc Negão Original",31,49.0,8,3035735,Semi Nua,"MC GP, MC Meno K, Aaron Modesto, MC RN do Capão, DU'L, MC Rick, DJ Guh Mix, Marquinho no Beat, MC Ryan SP, Mc Negão Original"
