rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"DtMF
Bad Bunny",1,1.0,4,1424725,DtMF,Bad Bunny
,"Man I Need
Olivia Dean",2,4.0,27,1230122,Man I Need,Olivia Dean
,"Tití Me Preguntó
Bad Bunny",2,2.0,3,1118168,Tití Me Preguntó,Bad Bunny
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",4,27.0,8,1099337,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"Choosin' Texas
Ella Langley",5,6.0,19,1078888,Choosin' Texas,Ella Langley
,"End of Beginning
Djo",1,8.0,26,1027559,End of Beginning,Djo
,"Ordinary
Alex Warren",1,5.0,55,1005959,Ordinary,Alex Warren
,"So Easy (To Fall In Love)
Olivia Dean",7,10.0,22,1001248,So Easy (To Fall In Love),Olivia Dean
,"NUEVAYoL
Bad Bunny",2,3.0,4,993349,NUEVAYoL,Bad Bunny
,"The Fate of Ophelia
Taylor Swift",1,9.0,21,991205,The Fate of Ophelia,Taylor Swift
,"Babydoll
Dominic Fike",11,19.0,7,919841,Babydoll,Dominic Fike
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,11.0,36,882032,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"E85
Don Toliver",13,22.0,4,841789,E85,Don Toliver
,"WHERE IS MY HUSBAND!
RAYE",9,13.0,23,835899,WHERE IS MY HUSBAND!,RAYE
,"back to friends
sombr",3,17.0,50,833384,back to friends,sombr
,"Lush Life
Zara Larsson",6,14.0,14,821393,Lush Life,Zara Larsson
,"Homewrecker
sombr",15,15.0,3,808499,Homewrecker,sombr
,"No Broke Boys
Disco Lines, Tinashe",5,20.0,37,794691,No Broke Boys,"Disco Lines, Tinashe"
,"I Just Might
Bruno Mars",2,18.0,7,776831,I Just Might,Bruno Mars
,"The Great Divide
Noah Kahan",1,16.0,4,731930,The Great Divide,Noah Kahan
,"BAILE INoLVIDABLE
Bad Bunny",3,7.0,4,713602,BAILE INoLVIDABLE,Bad Bunny
,"Mr. Brightside
The Killers",19,23.0,61,700552,Mr. Brightside,The Killers
,"Iris
The Goo Goo Dolls",12,24.0,93,688705,Iris,The Goo Goo Dolls
,"Beautiful Things
Benson Boone",1,28.0,110,660810,Beautiful Things,Benson Boone
,"Raindance (feat. Tems)
Dave, Tems",22,29.0,8,651550,Raindance (feat. Tems),"Dave, Tems"
,"Be By You
Luke Combs",21,21.0,2,648536,Be By You,Luke Combs
,"Opalite
Taylor Swift",2,25.0,21,647170,Opalite,Taylor Swift
,"Body
Don Toliver",16,26.0,4,645928,Body,Don Toliver
,"EoO
Bad Bunny",6,12.0,4,640988,EoO,Bad Bunny
