rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"DUBAI
Jere Klein, Jairo Vera, Gittobeatz",1,1.0,2,1911023,DUBAI,"Jere Klein, Jairo Vera, Gittobeatz"
,"ALO
Katteyes, SINAKA",1,2.0,4,1791014,ALO,"Katteyes, SINAKA"
,"SENDA BELLAKONA
SINAKA",1,3.0,14,1315955,SENDA BELLAKONA,SINAKA
,"Who
Jimin",1,5.0,84,1203119,Who,Jimin
,"BAILE INoLVIDABLE
Bad Bunny",1,4.0,60,1040519,BAILE INoLVIDABLE,Bad Bunny
,"EoO
Bad Bunny",6,6.0,60,989491,EoO,Bad Bunny
,"DtMF
Bad Bunny",1,7.0,60,921715,DtMF,Bad Bunny
,"Pasajero
King Savagge, Lyon la f, Katteyes, Lewis Somes",1,11.0,15,895642,Pasajero,"King Savagge, Lyon la f, Katteyes, Lewis Somes"
,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",3,10.0,11,862628,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
,"NUEVAYoL
Bad Bunny",5,8.0,60,839846,NUEVAYoL,Bad Bunny
,"Cuando No Era Cantante
El Bogueto, Yung Beef",3,14.0,19,822904,Cuando No Era Cantante,"El Bogueto, Yung Beef"
,"VOY A LLeVARTE PA PR
Bad Bunny",1,9.0,60,809868,VOY A LLeVARTE PA PR,Bad Bunny
,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",3,12.0,60,784451,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
,"Marbella
Lucky Brown, Lyon la f, Tobal Mj, Tony El Golden Boy, Lamelodiadelhampa, JhonAlex, Germanini, Renaglock, Mateo on the Beatz, IGNACIO ON THE BEAT",13,13.0,3,752432,Marbella,"Lucky Brown, Lyon la f, Tobal Mj, Tony El Golden Boy, Lamelodiadelhampa, JhonAlex, Germanini, Renaglock, Mateo on the Beatz, IGNACIO ON THE BEAT"
,"LA VILLA
Ryan Castro, Kapo, Gangsta",15,19.0,8,717568,LA VILLA,"Ryan Castro, Kapo, Gangsta"
,"Comando Estelar
Germanini, Lyon la f, JhonAlex, Nacho G Flow",1,16.0,28,716724,Comando Estelar,"Germanini, Lyon la f, JhonAlex, Nacho G Flow"
,"no tiene sentido
Beéle",6,17.0,41,713544,no tiene sentido,Beéle
,"TU VAS SIN (fav)
Rels B",17,23.0,31,689925,TU VAS SIN (fav),Rels B
,"Dardos
Romeo Santos, Prince Royce",14,22.0,9,681603,Dardos,"Romeo Santos, Prince Royce"
,"TODO KE VER
Jere Klein, Katteyes, Mateo on the Beatz",1,20.0,29,663785,TODO KE VER,"Jere Klein, Katteyes, Mateo on the Beatz"
,"KLOuFRENS
Bad Bunny",9,18.0,60,626341,KLOuFRENS,Bad Bunny
,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",4,15.0,67,590702,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
,"Puñaladas
Lauta, Amigo de Artistas, Tote",23,34.0,7,584362,Puñaladas,"Lauta, Amigo de Artistas, Tote"
,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",2,28.0,53,568652,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
