rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"LA VILLA
Ryan Castro, Kapo, Gangsta",1,1.0,12,339414,LA VILLA,"Ryan Castro, Kapo, Gangsta"
,"WO OH OH
Omar Courtz, ROA",2,,1,213954,WO OH OH,"Omar Courtz, ROA"
,"CHÉVERE (premium_remix)
ARIA VEGA, Ryan Castro",3,37.0,2,202642,CHÉVERE (premium_remix),"ARIA VEGA, Ryan Castro"
,"BAILE INoLVIDABLE
Bad Bunny",1,2.0,60,200107,BAILE INoLVIDABLE,Bad Bunny
,"EoO
Bad Bunny",3,3.0,60,197763,EoO,Bad Bunny
,"MVLAN
YOVNGCHIMI, JC Reyes",6,8.0,5,189284,MVLAN,"YOVNGCHIMI, JC Reyes"
,"DtMF
Bad Bunny",1,4.0,60,188153,DtMF,Bad Bunny
,"FOREVER TU GANTEL
Omar Courtz, Ñengo Flow",8,,1,181674,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow"
,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,10.0,53,175457,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
,"POR SI MAÑANA NO ESTOY
Omar Courtz",10,,1,174449,POR SI MAÑANA NO ESTOY,Omar Courtz
,"no tiene sentido
Beéle",2,11.0,41,170652,no tiene sentido,Beéle
,"SI ESTÁS CON ALGUIEN
Omar Courtz",12,,1,169258,SI ESTÁS CON ALGUIEN,Omar Courtz
,"NUEVAYoL
Bad Bunny",1,5.0,60,168138,NUEVAYoL,Bad Bunny
,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",1,6.0,60,164733,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
,"KOKO
Omar Courtz",15,,1,158742,KOKO,Omar Courtz
,"Las Muñequitas
Mr Plata, El Americano 4KT",16,29.0,4,153293,Las Muñequitas,"Mr Plata, El Americano 4KT"
,"Dardos
Romeo Santos, Prince Royce",4,15.0,13,149557,Dardos,"Romeo Santos, Prince Royce"
,"WHAT U NEED? (SexPlaylist 2)
Omar Courtz, Myke Towers",18,,1,148522,WHAT U NEED? (SexPlaylist 2),"Omar Courtz, Myke Towers"
,"$UELTA GATITA $UELTA
Omar Courtz, Dei V, Clarent, Tito ""El Bambino""",19,,1,146124,$UELTA GATITA $UELTA,"Omar Courtz, Dei V, Clarent, Tito ""El Bambino"""
,"mi refe
Beéle, Ovy On The Drums",1,14.0,64,145901,mi refe,"Beéle, Ovy On The Drums"
,"YOGURCITO REMIX (feat. Kris R., ROA)
Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",1,17.0,27,141946,"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA"
,"VOY A LLeVARTE PA PR
Bad Bunny",4,7.0,60,140900,VOY A LLeVARTE PA PR,Bad Bunny
,"EL MUNDO SE VA A ACABAR
Omar Courtz, KARBeats",23,,1,135060,EL MUNDO SE VA A ACABAR,"Omar Courtz, KARBeats"
,"DÓNDE
Kapo, Ryan Castro",8,21.0,33,133899,DÓNDE,"Kapo, Ryan Castro"
,"Imagínate
Danny Ocean, Kapo",5,22.0,68,133564,Imagínate,"Danny Ocean, Kapo"
,"quédate
Beéle",5,16.0,41,131692,quédate,Beéle
,"VAMOaCOCHI
Omar Courtz",27,,1,131436,VAMOaCOCHI,Omar Courtz
,"San Jose
BARBEL",15,19.0,12,130330,San Jose,BARBEL
,"Ba Ba Bad Remix
Kybba, Sean Paul, Ryan Castro, Busy Signal",2,23.0,35,130058,Ba Ba Bad Remix,"Kybba, Sean Paul, Ryan Castro, Busy Signal"
,"UWAIE
Kapo",1,20.0,80,129975,UWAIE,Kapo
,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",2,12.0,67,128892,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
,"LA CANCIÓN
J Balvin, Bad Bunny",2,9.0,348,128854,LA CANCIÓN,"J Balvin, Bad Bunny"
,"Who
Jimin",2,26.0,84,128851,Who,Jimin
,"L a k e n o s h i
Omar Courtz",34,,1,127817,L a k e n o s h i,Omar Courtz
,"orióN
Boza, ELENA ROSE",3,28.0,90,126258,orióN,"Boza, ELENA ROSE"
,"KLOuFRENS
Bad Bunny",9,18.0,60,123415,KLOuFRENS,Bad Bunny
,"YO y TÚ
Ovy On The Drums, Quevedo, Beéle",2,25.0,37,123206,YO y TÚ,"Ovy On The Drums, Quevedo, Beéle"
,"ROSITA
Tainy, Rauw Alejandro, JHAYCO",38,,1,122409,ROSITA,"Tainy, Rauw Alejandro, JHAYCO"
,"SIRENA
Omar Courtz",39,,1,119013,SIRENA,Omar Courtz
,"Talento
Yan Block, Panda Black",33,34.0,23,118001,Talento,"Yan Block, Panda Black"
,"TU VAS SIN (fav)
Rels B",4,30.0,35,117897,TU VAS SIN (fav),Rels B
,"Tití Me Preguntó
Bad Bunny",1,13.0,15,115112,Tití Me Preguntó,Bad Bunny
,"COQUETA
Fuerza Regida, Grupo Frontera",22,24.0,48,114801,COQUETA,"Fuerza Regida, Grupo Frontera"
,"El Beneficio De La Duda
Grupo Firme",13,31.0,29,113617,El Beneficio De La Duda,Grupo Firme
,"COMERNOS
Omar Courtz, Bad Gyal",34,,1,111407,COMERNOS,"Omar Courtz, Bad Gyal"
,"MOONLIGHT
Omar Courtz, Eladio Carrion",46,,1,109502,MOONLIGHT,"Omar Courtz, Eladio Carrion"
,"OUTRO
Omar Courtz",47,,1,108216,OUTRO,Omar Courtz
,"Me Rehúso
Danny Ocean",1,33.0,478,105267,Me Rehúso,Danny Ocean
,"SANKA
Ryan Castro, Dongo",16,35.0,37,104727,SANKA,"Ryan Castro, Dongo"
,"Diles
Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",15,50.0,42,102418,Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz"
,"En Privado
Xavi, Manuel Turizo",12,32.0,53,102412,En Privado,"Xavi, Manuel Turizo"
,"Inglés En Miami
Rawayana, Manuel Turizo",25,36.0,7,101340,Inglés En Miami,"Rawayana, Manuel Turizo"
,"SUSU
Omar Courtz",53,,1,100181,SUSU,Omar Courtz
,"Dulces SueñoZzz (+INTERLUDIO)
Omar Courtz, Rubí",54,,1,96095,Dulces SueñoZzz (+INTERLUDIO),"Omar Courtz, Rubí"
,"MONACO
Bad Bunny",1,27.0,21,95655,MONACO,Bad Bunny
,"Coleccionando Heridas
KAROL G, Marco Antonio Solís",4,41.0,36,95621,Coleccionando Heridas,"KAROL G, Marco Antonio Solís"
,"SKY
Omar Courtz",57,,1,95079,SKY,Omar Courtz
,"GANTEL y BELLAKz
Omar Courtz, BASSYY",58,,1,95007,GANTEL y BELLAKz,"Omar Courtz, BASSYY"
,"top diesel
Beéle",3,42.0,41,94609,top diesel,Beéle
,"Khé?
Rauw Alejandro, Romeo Santos",1,38.0,67,93716,Khé?,"Rauw Alejandro, Romeo Santos"
,"Yo sé
Yan Block, TORRRES",25,52.0,70,93134,Yo sé,"Yan Block, TORRRES"
,"capaz (merengueton)
Alleh, Yorghaki",3,44.0,63,93025,capaz (merengueton),"Alleh, Yorghaki"
,"Verano Rosa
KAROL G, Feid",5,40.0,36,92895,Verano Rosa,"KAROL G, Feid"
,"⁠LUCES DE COLORES
Omar Courtz",23,66.0,56,92675,⁠LUCES DE COLORES,Omar Courtz
,"NO CRY
Kapo",41,43.0,10,91827,NO CRY,Kapo
,"LUNA
Feid, ATL Jacob",1,45.0,117,88877,LUNA,"Feid, ATL Jacob"
,"YOGURCITO
Blessd",25,67.0,39,86670,YOGURCITO,Blessd
,"EL AMOR DE SU VIDA
Grupo Frontera, Grupo Firme",5,46.0,16,86520,EL AMOR DE SU VIDA,"Grupo Frontera, Grupo Firme"
,"Si Antes Te Hubiera Conocido
KAROL G",1,49.0,88,83785,Si Antes Te Hubiera Conocido,KAROL G
,"NO ME QUIERO CASAR
Bad Bunny",19,48.0,26,82845,NO ME QUIERO CASAR,Bad Bunny
,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",52,65.0,11,81447,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
,"Q U E V A S H A C E R H O Y ?
Omar Courtz, De La Rose",1,76.0,75,81085,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose"
,"Una Vida Pasada
Camilo, Carín León",10,54.0,98,81075,Una Vida Pasada,"Camilo, Carín León"
,"La player (Bandolera)
Zion & Lennox",2,47.0,34,80775,La player (Bandolera),Zion & Lennox
,"WELTiTA
Bad Bunny, Chuwi",7,39.0,60,80510,WELTiTA,"Bad Bunny, Chuwi"
,"Cuando No Era Cantante
El Bogueto, Yung Beef",38,57.0,17,79357,Cuando No Era Cantante,"El Bogueto, Yung Beef"
,"si te pillara
Beéle",2,58.0,40,78804,si te pillara,Beéle
,"OHNANA
Kapo",2,64.0,88,78786,OHNANA,Kapo
,"Imitadora
Romeo Santos",39,51.0,29,78578,Imitadora,Romeo Santos
,"Es un Secreto
Plan B",11,70.0,23,78199,Es un Secreto,Plan B
,"Primera Cita
Carín León",1,56.0,143,77819,Primera Cita,Carín León
,"444
Yan Block, Panda Black",25,73.0,74,76217,444,"Yan Block, Panda Black"
,"frente al mar
Beéle",12,69.0,74,76149,frente al mar,Beéle
,"BIENVENIDA
Clarent",75,95.0,4,76053,BIENVENIDA,Clarent
,"Por Amar A Ciegas
Arcángel",85,,1,75567,Por Amar A Ciegas,Arcángel
,"M U S A E L E V Á
Omar Courtz",53,87.0,30,75502,M U S A E L E V Á,Omar Courtz
,"GANAS
Kris R.",63,72.0,6,74523,GANAS,Kris R.
,"Regalo De Dios
Julión Álvarez y su Norteño Banda",35,53.0,75,73276,Regalo De Dios,Julión Álvarez y su Norteño Banda
,"Hasta Aquí Llegué
Nanpa Básico, Beéle",8,68.0,84,72253,Hasta Aquí Llegué,"Nanpa Básico, Beéle"
,"MOJABI GHOST
Tainy, Bad Bunny",3,55.0,21,71383,MOJABI GHOST,"Tainy, Bad Bunny"
,"Volver
Piso 21, Marc Anthony, Beéle",9,79.0,55,70495,Volver,"Piso 21, Marc Anthony, Beéle"
,"Kyoto
Omar Courtz, De La Rose, Haze",22,118.0,68,70341,Kyoto,"Omar Courtz, De La Rose, Haze"
,"Ojitos Lindos
Bad Bunny, Bomba Estéreo",1,61.0,199,70333,Ojitos Lindos,"Bad Bunny, Bomba Estéreo"
,"COSITA LINDA
ELENA ROSE, Justin Quiles",46,74.0,26,69706,COSITA LINDA,"ELENA ROSE, Justin Quiles"
