rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"JALLA
Antigoni",1,1.0,3,63608,JALLA,Antigoni
,"Logariasmos
Katerina Lioliou",1,2.0,6,40830,Logariasmos,Katerina Lioliou
,"Tití Me Preguntó
Bad Bunny",3,3.0,3,39228,Tití Me Preguntó,Bad Bunny
,"Raindance (feat. Tems)
Dave, Tems",2,6.0,18,32754,Raindance (feat. Tems),"Dave, Tems"
,"Yeraltı
Eypio",5,7.0,3,31261,Yeraltı,Eypio
,"NUEVAYoL
Bad Bunny",3,5.0,4,30717,NUEVAYoL,Bad Bunny
,"DtMF
Bad Bunny",2,4.0,4,29783,DtMF,Bad Bunny
,"AMAZING - Remix
SIDARTA, RACK",8,11.0,2,27853,AMAZING - Remix,"SIDARTA, RACK"
,"Ferto
Akylas",9,22.0,2,27637,Ferto,Akylas
,"Lete Lete
SNIK, Trannos, Fy",1,8.0,13,27257,Lete Lete,"SNIK, Trannos, Fy"
,"KUSURA BAKMA
BLOK3",1,9.0,13,25524,KUSURA BAKMA,BLOK3
,"Halef Selef
Wegh",12,,1,23712,Halef Selef,Wegh
,"Cennet
UZI, Motive",6,12.0,5,21466,Cennet,"UZI, Motive"
,"vODKA BELUGA
Lvbel C5, AKDO",7,15.0,4,20283,vODKA BELUGA,"Lvbel C5, AKDO"
,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",15,19.0,9,19831,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
,"EoO
Bad Bunny",10,10.0,3,18697,EoO,Bad Bunny
,"CHANEL
Trannos, SNIK, CHEKKIS",3,14.0,5,18603,CHANEL,"Trannos, SNIK, CHEKKIS"
,"NAFİLE
ERAY067, Mansur",6,24.0,7,17513,NAFİLE,"ERAY067, Mansur"
,"End of Beginning
Djo",3,17.0,14,17475,End of Beginning,Djo
,"BAILE INoLVIDABLE
Bad Bunny",11,13.0,4,17429,BAILE INoLVIDABLE,Bad Bunny
,"Isos Isoun Kiria
Pantelis Pantelidis",1,21.0,26,17424,Isos Isoun Kiria,Pantelis Pantelidis
,"Ou
UZI, Motive",2,18.0,5,16547,Ou,"UZI, Motive"
,"BYE BYE
Era7capone, Murda",8,23.0,11,16170,BYE BYE,"Era7capone, Murda"
,"hay Allah
Murda",24,134.0,2,16120,hay Allah,Murda
,"Geri Ver
Wegh",1,58.0,15,15660,Geri Ver,Wegh
,"DIO KARDIES
Ivan Greko, Michalis Karagkounis, Sin Laurent",6,20.0,6,15428,DIO KARDIES,"Ivan Greko, Michalis Karagkounis, Sin Laurent"
,"En Derine
WTSOUNDS, WTFRANK",27,69.0,4,15179,En Derine,"WTSOUNDS, WTFRANK"
,"Lush Life
Zara Larsson",15,26.0,11,14687,Lush Life,Zara Larsson
,"WHERE IS MY HUSBAND!
RAYE",14,27.0,23,14283,WHERE IS MY HUSBAND!,RAYE
,"ASTEIO
ZAF",30,139.0,2,13957,ASTEIO,ZAF
,"Her Nerdeysen
Ati242",19,47.0,72,13924,Her Nerdeysen,Ati242
,"Maraton
Ati242",4,51.0,9,13889,Maraton,Ati242
,"Cambaz
mor ve ötesi",33,104.0,2,13784,Cambaz,mor ve ötesi
,"Ti Kaname...
Nikos Makropoulos",7,25.0,16,13713,Ti Kaname...,Nikos Makropoulos
,"Daha Çok Var
Wegh",35,,1,13712,Daha Çok Var,Wegh
,"The Fate of Ophelia
Taylor Swift",2,28.0,21,13693,The Fate of Ophelia,Taylor Swift
,"CHOCO FRESH
HermesHermes, Ivan Greko, Arab",3,30.0,12,13508,CHOCO FRESH,"HermesHermes, Ivan Greko, Arab"
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",38,90.0,6,13490,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"Eipes
Thodoris Ferris",12,34.0,12,13460,Eipes,Thodoris Ferris
,"Papaoutai - Afro Soul
mikeeysmind, Chill77, Unjaps",5,32.0,2,13181,Papaoutai - Afro Soul,"mikeeysmind, Chill77, Unjaps"
,"git
BLOK3",3,29.0,32,13174,git,BLOK3
,"Teleia - Unplugged
Petros Iakovidis, Foivos",27,31.0,10,13079,Teleia - Unplugged,"Petros Iakovidis, Foivos"
,"Çıkmaz Bir Sokakta
Semicenk",2,35.0,18,12838,Çıkmaz Bir Sokakta,Semicenk
,"COOOK PARDON
Lvbel C5, AKDO",3,44.0,23,12759,COOOK PARDON,"Lvbel C5, AKDO"
,"Şarkılar Sokaklara Ait
UZI, Motive",1,46.0,18,12650,Şarkılar Sokaklara Ait,"UZI, Motive"
,"Babydoll
Dominic Fike",46,64.0,3,12503,Babydoll,Dominic Fike
,"Margarita
Christos Mastoras, ARCADE",37,49.0,6,12494,Margarita,"Christos Mastoras, ARCADE"
,"So Easy (To Fall In Love)
Olivia Dean",43,43.0,19,12396,So Easy (To Fall In Love),Olivia Dean
,"Funny Valentine
Light, Adams",16,16.0,2,12284,Funny Valentine,"Light, Adams"
,"back to friends
sombr",15,48.0,48,12222,back to friends,sombr
,"TAK TAK TAK
Lvbel C5, AKDO",4,36.0,30,11926,TAK TAK TAK,"Lvbel C5, AKDO"
,"WILDFLOWER
Billie Eilish",10,39.0,93,11661,WILDFLOWER,Billie Eilish
,"Inopnevma Ftino
Giorgos Mazonakis",12,42.0,20,11636,Inopnevma Ftino,Giorgos Mazonakis
,"Balbiber
Wegh",54,,1,11583,Balbiber,Wegh
,"Ordinary
Alex Warren",6,38.0,51,11515,Ordinary,Alex Warren
,"Keşke
BLOK3, Ati242",1,72.0,48,11483,Keşke,"BLOK3, Ati242"
,"SOSA
SNIK",1,59.0,43,11436,SOSA,SNIK
,"ALCANTARA
HermesHermes, Kidd, BLVD",37,37.0,2,11360,ALCANTARA,"HermesHermes, Kidd, BLVD"
,"Kendine İyi Bak
Şam, Laçin",3,52.0,20,11106,Kendine İyi Bak,"Şam, Laçin"
,"Alitiki Agapi
LEX, Dof Twogee",1,61.0,66,11034,Alitiki Agapi,"LEX, Dof Twogee"
,"Caliente
INNA",61,86.0,15,11033,Caliente,INNA
,"Oloi
Kid Young, RACK, Oge",35,40.0,5,11030,Oloi,"Kid Young, RACK, Oge"
,"Danza Kuduro
Don Omar, Lucenzo",63,79.0,11,11025,Danza Kuduro,"Don Omar, Lucenzo"
,"Fer Tin Mou Na Tin Gnoriso
Katerina Lioliou",26,41.0,19,10943,Fer Tin Mou Na Tin Gnoriso,Katerina Lioliou
,"napıyosun mesela ?
BLOK3",2,62.0,32,10846,napıyosun mesela ?,BLOK3
,"Başrol Sensin - 1. Yıl Özel
manifest",45,45.0,2,10839,Başrol Sensin - 1. Yıl Özel,manifest
,"Man I Need
Olivia Dean",44,54.0,26,10808,Man I Need,Olivia Dean
,"Trap House
UZI, Motive",11,56.0,5,10643,Trap House,"UZI, Motive"
,"Phantom
EsDeeKid, Rico Ace",30,57.0,20,10641,Phantom,"EsDeeKid, Rico Ace"
,"We Are The People
Empire Of The Sun",40,50.0,52,10619,We Are The People,Empire Of The Sun
,"Seni Düşündüm
Çağla, Doğu Swag",3,71.0,30,10599,Seni Düşündüm,"Çağla, Doğu Swag"
,"Kontra
Anna Vissi",6,68.0,43,10591,Kontra,Anna Vissi
,"Xeiroteri Genia
LEX, Dof Twogee",3,55.0,66,10564,Xeiroteri Genia,"LEX, Dof Twogee"
,"Babaflow
UZI, Motive",15,78.0,5,10366,Babaflow,"UZI, Motive"
,"Aeroplana
Bloody Hawk, TOQUEL",1,82.0,39,10364,Aeroplana,"Bloody Hawk, TOQUEL"
,"Paramithiazome
Pantelis Pantelidis",21,67.0,24,10338,Paramithiazome,Pantelis Pantelidis
,"Aspirini
Antzy Samiou",51,92.0,11,10337,Aspirini,Antzy Samiou
,"Ores Mikres
Giorgos Mazonakis",17,66.0,28,10219,Ores Mikres,Giorgos Mazonakis
,"Radikal Eşkiya
Wegh, Şehinşah",79,,1,10185,Radikal Eşkiya,"Wegh, Şehinşah"
,"Exigiste Mou
Ria Ellinidou",73,73.0,4,10174,Exigiste Mou,Ria Ellinidou
,"VOY A LLeVARTE PA PR
Bad Bunny",30,33.0,3,10146,VOY A LLeVARTE PA PR,Bad Bunny
,"Kalbini Verdin
Eypio",82,137.0,2,10123,Kalbini Verdin,Eypio
,"Murabba
Wegh",63,63.0,8,10077,Murabba,Wegh
,"Pame Stihima Tha Xanarthis
Pantelis Pantelidis",24,110.0,26,10046,Pame Stihima Tha Xanarthis,Pantelis Pantelidis
,"One Dance
Drake, Wizkid, Kyla",10,70.0,12,9960,One Dance,"Drake, Wizkid, Kyla"
,"Güldüğün Gün
Wegh",51,98.0,15,9846,Güldüğün Gün,Wegh
,"90th FLOOR
FLY LO, SNIK, BLVD",3,60.0,11,9816,90th FLOOR,"FLY LO, SNIK, BLVD"
,"PARÉA
Evangelia",88,,1,9744,PARÉA,Evangelia
,"AGAINST ALL
Trannos, SKEZ, HermesHermes, LOSHA",12,75.0,5,9683,AGAINST ALL,"Trannos, SKEZ, HermesHermes, LOSHA"
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",13,77.0,35,9588,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"SEVMEYİ DENEMEDİN
BLOK3",4,80.0,76,9579,SEVMEYİ DENEMEDİN,BLOK3
,"Meğerse
Linet",92,126.0,4,9504,Meğerse,Linet
,"Sen Kaldın
Semicenk",5,88.0,61,9427,Sen Kaldın,Semicenk
,"Love Me Not
Ravyn Lenae",27,83.0,9,9402,Love Me Not,Ravyn Lenae
,"Die With A Smile
Lady Gaga, Bruno Mars",1,65.0,80,9393,Die With A Smile,"Lady Gaga, Bruno Mars"
,"Lioma Se Gremo
Pantelis Pantelidis",36,81.0,24,9360,Lioma Se Gremo,Pantelis Pantelidis
,"Primo
Light",7,87.0,25,9334,Primo,Light
,"KOUKLA
Sicario, Beyond",1,112.0,34,9324,KOUKLA,"Sicario, Beyond"
,"BOYKA
Sadam, RACK, Dof Twogee, Xjay",32,53.0,4,9306,BOYKA,"Sadam, RACK, Dof Twogee, Xjay"
,"Bir Çift Göz
Norm Ender, Ebru Gündeş",11,127.0,34,9302,Bir Çift Göz,"Norm Ender, Ebru Gündeş"
,"I Adore You (feat. Daecolm)
HUGEL, Topic, Arash, Daecolm",3,93.0,84,9181,I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm"
,"St' Apogevmata T' Adeia - Tango
Glykeria",102,150.0,2,9160,St' Apogevmata T' Adeia - Tango,Glykeria
,"Sweater Weather
The Neighbourhood",20,84.0,98,9140,Sweater Weather,The Neighbourhood
,"STOP SMOKING
ALIZADE",53,91.0,4,9126,STOP SMOKING,ALIZADE
,"Every Breath You Take
The Police",28,74.0,61,9033,Every Breath You Take,The Police
,"Anexartiti
Ioulia Kallimani, Michael Touratzidis",42,128.0,13,8976,Anexartiti,"Ioulia Kallimani, Michael Touratzidis"
,"Alleluia
Eleni Foureira, ARCADE",13,99.0,19,8953,Alleluia,"Eleni Foureira, ARCADE"
