rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Lush Life
Zara Larsson",1,2.0,16,246380,Lush Life,Zara Larsson
,"Kdo??
Robin Zoot, BUKA",1,1.0,3,241701,Kdo??,"Robin Zoot, BUKA"
,"End of Beginning
Djo",1,3.0,26,236882,End of Beginning,Djo
,"The Fate of Ophelia
Taylor Swift",1,4.0,21,235179,The Fate of Ophelia,Taylor Swift
,"Babydoll
Dominic Fike",5,9.0,4,224854,Babydoll,Dominic Fike
,"Pistácie (feat. Sofian Medjmedj)
Calin, Sofian Medjmedj",1,5.0,64,205117,Pistácie (feat. Sofian Medjmedj),"Calin, Sofian Medjmedj"
,"Vodka není voda
Lboy Bsc, Dorian, Freez247",7,27.0,6,183212,Vodka není voda,"Lboy Bsc, Dorian, Freez247"
,"Painkillers
Yzomandias, P T K, Luca Brassi10x, Le Winter",5,7.0,67,181873,Painkillers,"Yzomandias, P T K, Luca Brassi10x, Le Winter"
,"back to friends
sombr",1,8.0,51,177927,back to friends,sombr
,"WHERE IS MY HUSBAND!
RAYE",5,10.0,23,175679,WHERE IS MY HUSBAND!,RAYE
,"Ordinary
Alex Warren",2,12.0,55,167521,Ordinary,Alex Warren
,"Raindance (feat. Tems)
Dave, Tems",9,13.0,10,164127,Raindance (feat. Tems),"Dave, Tems"
,"Strach
BUKA",1,11.0,16,164066,Strach,BUKA
,"TVOJE OČI
4rano, krystuffek",12,16.0,7,156253,TVOJE OČI,"4rano, krystuffek"
,"12 to 12
sombr",5,14.0,31,155166,12 to 12,sombr
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",16,77.0,6,152505,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"Rozdělený světy
Viktor Sheen",2,17.0,61,150650,Rozdělený světy,Viktor Sheen
,"KSN - PINTLICH REMIX
Yzomandias, Ektor, P T K, Robin Zoot, Nik Tendo, PINTLICH",1,19.0,39,148454,KSN - PINTLICH REMIX,"Yzomandias, Ektor, P T K, Robin Zoot, Nik Tendo, PINTLICH"
,"DtMF
Bad Bunny",4,6.0,4,142434,DtMF,Bad Bunny
,"No Broke Boys
Disco Lines, Tinashe",10,23.0,33,138701,No Broke Boys,"Disco Lines, Tinashe"
,"Vítej mezi náma (feat. STEIN27)
Calin, STEIN27",2,36.0,64,135049,Vítej mezi náma (feat. STEIN27),"Calin, STEIN27"
,"Až po uši
Slavíček",1,35.0,42,134409,Až po uši,Slavíček
,"Love Me Not
Ravyn Lenae",23,28.0,48,131485,Love Me Not,Ravyn Lenae
,"Talk2me
Sara Rikas, Yzomandias",1,29.0,46,130834,Talk2me,"Sara Rikas, Yzomandias"
,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",25,37.0,7,127787,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
,"Homewrecker
sombr",25,25.0,3,126866,Homewrecker,sombr
,"Every Breath You Take
The Police",8,21.0,65,126117,Every Breath You Take,The Police
,"Just Keep Watching (From F1® The Movie)
Tate McRae, F1 The Album",8,34.0,39,125728,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album"
,"Sailor Song
Gigi Perez",3,33.0,80,125319,Sailor Song,Gigi Perez
,"DMG (feat. Ohan B)
BUKA, Ohan B",2,24.0,16,124807,DMG (feat. Ohan B),"BUKA, Ohan B"
,"Až na měsíc
Viktor Sheen, Calin, Hasan, Nik Tendo",1,47.0,354,123540,Až na měsíc,"Viktor Sheen, Calin, Hasan, Nik Tendo"
,"PEXESO
OG PAV",32,,1,122762,PEXESO,OG PAV
,"NEPO
Mat213, Franta Prachař, Anna Mercedes",9,22.0,4,122575,NEPO,"Mat213, Franta Prachař, Anna Mercedes"
,"ONLY WAY OUT IS THROUGH THE SHITS 2
P T K",2,44.0,20,122384,ONLY WAY OUT IS THROUGH THE SHITS 2,P T K
,"Stíny
Viktor Sheen",1,57.0,224,121489,Stíny,Viktor Sheen
,"Phantom
EsDeeKid, Rico Ace",7,30.0,22,120960,Phantom,"EsDeeKid, Rico Ace"
,"SI JE*LA
Hard Rico",1,32.0,26,120462,SI JE*LA,Hard Rico
,"Iné Plemená
Sara Rikas, Viktor Sheen",3,51.0,63,119684,Iné Plemená,"Sara Rikas, Viktor Sheen"
,"Vlajka
Ben Cristovao",6,15.0,4,118557,Vlajka,Ben Cristovao
,"Syndrom
Viktor Sheen",1,55.0,68,117778,Syndrom,Viktor Sheen
,"TINTED WINDOWS
P T K",7,45.0,21,117481,TINTED WINDOWS,P T K
,"Sunset
Separ, Jerry Lee, P T K",4,48.0,156,117457,Sunset,"Separ, Jerry Lee, P T K"
,"Virtuální drogy
Viktor Sheen, Calin",3,59.0,61,116371,Virtuální drogy,"Viktor Sheen, Calin"
,"Jak Robot
GUFRAU, Victor Kal., SIMILIVINLIFE",9,39.0,8,116109,Jak Robot,"GUFRAU, Victor Kal., SIMILIVINLIFE"
,"ZA KATREM
Hard Rico",3,31.0,8,115759,ZA KATREM,Hard Rico
,"Svaz českých bohémů
Wohnout",9,68.0,59,114970,Svaz českých bohémů,Wohnout
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",3,49.0,35,113932,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"Safír
Calin, Viktor Sheen",1,65.0,160,113618,Safír,"Calin, Viktor Sheen"
,"Givenchy
Robin Zoot",2,54.0,140,113201,Givenchy,Robin Zoot
,"Pátky
Viktor Sheen",7,58.0,68,112432,Pátky,Viktor Sheen
,"VÍŠ JAK BOLÍ ŘÍKAT RIP
P T K",7,53.0,21,111995,VÍŠ JAK BOLÍ ŘÍKAT RIP,P T K
,"Riptide
Vance Joy",17,62.0,9,111546,Riptide,Vance Joy
,"Drag Path
Twenty One Pilots",53,,1,111345,Drag Path,Twenty One Pilots
,"Spaceship
Viktor Sheen",8,63.0,15,111228,Spaceship,Viktor Sheen
,"Iris
The Goo Goo Dolls",32,60.0,61,108760,Iris,The Goo Goo Dolls
,"NARCOS
Hard Rico, Yzomandias",1,69.0,91,107818,NARCOS,"Hard Rico, Yzomandias"
,"Silnej hlad
Dorian, Lboy Bsc",2,112.0,6,107603,Silnej hlad,"Dorian, Lboy Bsc"
,"undressed
sombr",12,56.0,9,105987,undressed,sombr
,"Sweater Weather
The Neighbourhood",15,61.0,282,105646,Sweater Weather,The Neighbourhood
,"S&M
Rihanna",60,74.0,37,104527,S&M,Rihanna
,"Bouřka
Lboy Bsc",61,141.0,3,103459,Bouřka,Lboy Bsc
,"Síla Starejch Vín
ŠKWOR",7,90.0,322,103305,Síla Starejch Vín,ŠKWOR
,"Život je krása
Robin Zoot",43,43.0,2,103131,Život je krása,Robin Zoot
,"Can't Hold Us (feat. Ray Dalton)
Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",25,80.0,9,102706,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton"
,"The Emptiness Machine
Linkin Park",1,81.0,77,102598,The Emptiness Machine,Linkin Park
,"Somewhere I Belong
Linkin Park",61,82.0,37,102521,Somewhere I Belong,Linkin Park
,"NÁS NEZASTAVÍ (feat. Hard Rico)
13Many, Hard Rico",11,41.0,5,102482,NÁS NEZASTAVÍ (feat. Hard Rico),"13Many, Hard Rico"
,"V Hlavě
P T K, Yzomandias, Viktor Sheen",10,84.0,9,102368,V Hlavě,"P T K, Yzomandias, Viktor Sheen"
,"All The Things She Said
t.A.T.u.",41,66.0,11,101386,All The Things She Said,t.A.T.u.
,"Zub za zub
Separ, Raphael",45,67.0,29,101312,Zub za zub,"Separ, Raphael"
,"Svoboda
Yzomandias, P T K, Sara Rikas",15,93.0,66,100957,Svoboda,"Yzomandias, P T K, Sara Rikas"
,"Malá dáma
Kabát",25,97.0,270,99831,Malá dáma,Kabát
,"NAVŽDYCKY BLÁZEN
GUFRAU, Victor Kal., Rohony",1,70.0,20,99449,NAVŽDYCKY BLÁZEN,"GUFRAU, Victor Kal., Rohony"
