rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"DtMF
Bad Bunny",1,1.0,4,2054554,DtMF,Bad Bunny
,"Lush Life
Zara Larsson",2,2.0,15,1982382,Lush Life,Zara Larsson
,"The Fate of Ophelia
Taylor Swift",1,4.0,21,1806297,The Fate of Ophelia,Taylor Swift
,"End of Beginning
Djo",1,6.0,21,1742332,End of Beginning,Djo
,"WHERE IS MY HUSBAND!
RAYE",3,7.0,23,1707075,WHERE IS MY HUSBAND!,RAYE
,"Raindance (feat. Tems)
Dave, Tems",5,10.0,11,1668168,Raindance (feat. Tems),"Dave, Tems"
,"LOVE U ANYWAY
benno!",1,12.0,5,1498024,LOVE U ANYWAY,benno!
,"Tití Me Preguntó
Bad Bunny",3,3.0,3,1442555,Tití Me Preguntó,Bad Bunny
,"Renn!
AYLIVA",1,11.0,4,1391127,Renn!,AYLIVA
,"Babydoll
Dominic Fike",10,33.0,4,1326419,Babydoll,Dominic Fike
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,19.0,36,1303597,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"NUEVAYoL
Bad Bunny",2,5.0,4,1282227,NUEVAYoL,Bad Bunny
,"Ordinary
Alex Warren",2,21.0,55,1252393,Ordinary,Alex Warren
,"Mr. Brightside
The Killers",10,26.0,61,1220941,Mr. Brightside,The Killers
,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",15,27.0,8,1215132,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
,"tau mich auf
Zartmann",1,25.0,49,1204890,tau mich auf,Zartmann
,"Man I Need
Olivia Dean",10,28.0,26,1160564,Man I Need,Olivia Dean
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",18,56.0,6,1151852,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"No Broke Boys
Disco Lines, Tinashe",4,32.0,33,1149255,No Broke Boys,"Disco Lines, Tinashe"
,"back to friends
sombr",4,30.0,49,1143652,back to friends,sombr
,"UZI
LACAZETTE, Gzuz",9,9.0,2,1081129,UZI,"LACAZETTE, Gzuz"
,"AKON
Jazeek",1,35.0,48,1030315,AKON,Jazeek
,"12 to 12
sombr",9,36.0,31,1004853,12 to 12,sombr
,"BAILE INoLVIDABLE
Bad Bunny",6,18.0,4,990896,BAILE INoLVIDABLE,Bad Bunny
,"7OO PFERDE
reezy",25,161.0,2,983074,7OO PFERDE,reezy
,"Nur Mailbox
MERO, Aymen",17,17.0,2,899102,Nur Mailbox,"MERO, Aymen"
,"The Emptiness Machine
Linkin Park",1,46.0,77,886642,The Emptiness Machine,Linkin Park
,"Every Breath You Take
The Police",9,40.0,65,881389,Every Breath You Take,The Police
,"Papaoutai - Afro Soul
mikeeysmind, Chill77, Unjaps",9,41.0,2,874616,Papaoutai - Afro Soul,"mikeeysmind, Chill77, Unjaps"
,"Iris
The Goo Goo Dolls",30,55.0,56,867002,Iris,The Goo Goo Dolls
,"Homewrecker
sombr",31,48.0,3,846834,Homewrecker,sombr
,"White Keys
Dominic Fike",32,170.0,2,846831,White Keys,Dominic Fike
,"EoO
Bad Bunny",12,24.0,3,843357,EoO,Bad Bunny
,"Erlkönig
Lūcadelic",33,45.0,16,839332,Erlkönig,Lūcadelic
,"Love Me Not
Ravyn Lenae",25,49.0,47,837989,Love Me Not,Ravyn Lenae
,"Sweater Weather
The Neighbourhood",24,47.0,113,823380,Sweater Weather,The Neighbourhood
,"Shabab(e)s im VIP
Pashanim, Ceren",1,51.0,44,807584,Shabab(e)s im VIP,"Pashanim, Ceren"
,"Baby Bell
Breitner",8,8.0,9,805211,Baby Bell,Breitner
,"Gute Laune
GroßstadtEngel",16,16.0,5,804557,Gute Laune,GroßstadtEngel
,"Bleib stark
Aymo, Aymen, Amo",4,43.0,9,802706,Bleib stark,"Aymo, Aymen, Amo"
,"Wackelkontakt
Oimara",1,15.0,58,788158,Wackelkontakt,Oimara
,"So Easy (To Fall In Love)
Olivia Dean",42,72.0,9,783026,So Easy (To Fall In Love),Olivia Dean
,"Miami
Jazeek, reezy",1,44.0,6,771406,Miami,"Jazeek, reezy"
,"Waterfalls (feat. Sam Harper & Bobby Harvey)
James Hype, Sam Harper, Bobby Harvey",24,59.0,24,739503,Waterfalls (feat. Sam Harper & Bobby Harvey),"James Hype, Sam Harper, Bobby Harvey"
,"In the End
Linkin Park",15,67.0,113,729369,In the End,Linkin Park
,"Opalite
Taylor Swift",2,58.0,9,724196,Opalite,Taylor Swift
