rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Msh Awl Marra
Lege-Cy, Ghaliaa",1,1.0,5,466503,Msh Awl Marra,"Lege-Cy, Ghaliaa"
,"3alam Kadaba - From The TV Series Ma Trah Lays Kama Ybdo
Lege-Cy",2,4.0,27,372998,3alam Kadaba - From The TV Series Ma Trah Lays Kama Ybdo,Lege-Cy
,"كله اتساوس واتكالب ( انا عندي حاسه سابعه )
Essam Sasa",3,7.0,7,309765,كله اتساوس واتكالب ( انا عندي حاسه سابعه ),Essam Sasa
,"Be3teeny Leh | Red Bull Mazzika Salonat
Amr Mostafa, ZIAD ZAZA, Moataz Mady, Red Bull Sika",1,3.0,13,305689,Be3teeny Leh | Red Bull Mazzika Salonat,"Amr Mostafa, ZIAD ZAZA, Moataz Mady, Red Bull Sika"
,"Kan 3ala 3eny (Red Bull Mazzika Salonat)
Lege-Cy, Hamid Al Shaeri, Ismail Nosrat, Red Bull Sika",2,2.0,3,302156,Kan 3ala 3eny (Red Bull Mazzika Salonat),"Lege-Cy, Hamid Al Shaeri, Ismail Nosrat, Red Bull Sika"
,"سوا سوا
Bahaa Sultan",6,,1,260028,سوا سوا,Bahaa Sultan
,"Seneen
TUL8TE",3,12.0,7,257157,Seneen,TUL8TE
,"El Waat El Daye3
Lege-Cy",6,11.0,15,255803,El Waat El Daye3,Lege-Cy
,"معايا
Bahaa Sultan",2,8.0,14,253605,معايا,Bahaa Sultan
,"LAW NASYANY
Lege-Cy, Ismail Nosrat",2,9.0,39,253482,LAW NASYANY,"Lege-Cy, Ismail Nosrat"
,"El Neyya
Lege-Cy",7,13.0,70,252337,El Neyya,Lege-Cy
,"هنا مصر هفضل كل مرة اجيلك
Bahaa Sultan, Mahmoud El Esseily, Banque Misr",12,,1,249498,هنا مصر هفضل كل مرة اجيلك,"Bahaa Sultan, Mahmoud El Esseily, Banque Misr"
,"Makrehtosh
Tamer Ashour",2,6.0,58,243141,Makrehtosh,Tamer Ashour
,"انت فاردلي ضلوعك - شبشب مستهلسك
مصطفي الجن و هادي الصغير - تيم الابداع, Karim Cristiano",9,16.0,14,242659,انت فاردلي ضلوعك - شبشب مستهلسك,"مصطفي الجن و هادي الصغير - تيم الابداع, Karim Cristiano"
,"WALA MEEN
ZIAD ZAZA, Ismail Nosrat, Lege-Cy",4,10.0,34,235073,WALA MEEN,"ZIAD ZAZA, Ismail Nosrat, Lege-Cy"
,"Emshy
Tommyy, Rally",3,19.0,61,202923,Emshy,"Tommyy, Rally"
,"Heseeny
TUL8TE",1,14.0,30,200981,Heseeny,TUL8TE
,"AGBHA
ZIAD ZAZA, 5mstashr",12,21.0,11,196215,AGBHA,"ZIAD ZAZA, 5mstashr"
,"Shedeeny
TUL8TE",4,18.0,30,195835,Shedeeny,TUL8TE
,"هو الصح فين ؟
Magdy El Zahar",20,22.0,16,195657,هو الصح فين ؟,Magdy El Zahar
