rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"NI BORRACHO
Quevedo",1,1.0,2,3204081,NI BORRACHO,Quevedo
,"FOREVER TU GANTEL
Omar Courtz, Ñengo Flow",2,,1,2394626,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow"
,"WO OH OH
Omar Courtz, ROA",3,,1,1914156,WO OH OH,"Omar Courtz, ROA"
,"Dardos
Romeo Santos, Prince Royce",1,5.0,13,1899886,Dardos,"Romeo Santos, Prince Royce"
,"$UELTA GATITA $UELTA
Omar Courtz, Dei V, Clarent, Tito ""El Bambino""",5,,1,1896704,$UELTA GATITA $UELTA,"Omar Courtz, Dei V, Clarent, Tito ""El Bambino"""
,"SUPERESTRELLA
Aitana",2,4.0,39,1890502,SUPERESTRELLA,Aitana
,"LA VILLA
Ryan Castro, Kapo, Gangsta",4,6.0,9,1793371,LA VILLA,"Ryan Castro, Kapo, Gangsta"
,"BAILE INoLVIDABLE
Bad Bunny",1,2.0,60,1708002,BAILE INoLVIDABLE,Bad Bunny
,"NUEVAYoL
Bad Bunny",2,3.0,60,1665303,NUEVAYoL,Bad Bunny
,"La Perla
ROSALÍA, Yahritza Y Su Esencia",1,8.0,16,1575999,La Perla,"ROSALÍA, Yahritza Y Su Esencia"
,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,10.0,53,1498362,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
,"LOQUITA
JC Reyes, Slayter",4,9.0,16,1485557,LOQUITA,"JC Reyes, Slayter"
,"TU VAS SIN (fav)
Rels B",1,11.0,36,1468478,TU VAS SIN (fav),Rels B
,"DtMF
Bad Bunny",1,7.0,60,1417605,DtMF,Bad Bunny
,"WHAT U NEED? (SexPlaylist 2)
Omar Courtz, Myke Towers",15,,1,1373872,WHAT U NEED? (SexPlaylist 2),"Omar Courtz, Myke Towers"
,"MVLAN
YOVNGCHIMI, JC Reyes",13,13.0,6,1373063,MVLAN,"YOVNGCHIMI, JC Reyes"
,"TUCHAT
Quevedo",1,12.0,34,1365546,TUCHAT,Quevedo
,"no tiene sentido
Beéle",1,16.0,41,1347921,no tiene sentido,Beéle
,"COMERNOS
Omar Courtz, Bad Gyal",5,58.0,45,1289427,COMERNOS,"Omar Courtz, Bad Gyal"
,"SI ESTÁS CON ALGUIEN
Omar Courtz",20,,1,1241240,SI ESTÁS CON ALGUIEN,Omar Courtz
,"POR SI MAÑANA NO ESTOY
Omar Courtz",21,,1,1234758,POR SI MAÑANA NO ESTOY,Omar Courtz
,"BIENVENIDA
Clarent",17,20.0,7,1212574,BIENVENIDA,Clarent
,"Choque
Bad Gyal, Chencho Corleone",15,15.0,2,1206977,Choque,"Bad Gyal, Chencho Corleone"
,"EL MUNDO SE VA A ACABAR
Omar Courtz, KARBeats",24,177.0,10,1206425,EL MUNDO SE VA A ACABAR,"Omar Courtz, KARBeats"
,"Me Mareo
Kidd Voodoo, JC Reyes",1,23.0,35,1199403,Me Mareo,"Kidd Voodoo, JC Reyes"
,"capaz (merengueton)
Alleh, Yorghaki",1,25.0,65,1199118,capaz (merengueton),"Alleh, Yorghaki"
,"Talento
Yan Block, Panda Black",12,24.0,23,1166794,Talento,"Yan Block, Panda Black"
,"YO y TÚ
Ovy On The Drums, Quevedo, Beéle",1,27.0,37,1162939,YO y TÚ,"Ovy On The Drums, Quevedo, Beéle"
,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",10,17.0,11,1160626,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
,"YOGURCITO REMIX (feat. Kris R., ROA)
Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA",5,21.0,27,1141965,"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA"
,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66
Bizarrap, Daddy Yankee",2,26.0,17,1121789,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","Bizarrap, Daddy Yankee"
,"EoO
Bad Bunny",9,14.0,60,1115469,EoO,Bad Bunny
,"LOVE
Clarent",2,22.0,19,1113951,LOVE,Clarent
,"Bad Voy
GRECAS",32,32.0,10,1071643,Bad Voy,GRECAS
,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",3,19.0,60,1043144,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
,"KOKO
Omar Courtz",36,,1,1025707,KOKO,Omar Courtz
,"El Teléfono
Héctor ""El Father"", Wisin & Yandel",22,28.0,21,1022006,El Teléfono,"Héctor ""El Father"", Wisin & Yandel"
,"ROSITA
Tainy, Rauw Alejandro, JHAYCO",38,,1,1018457,ROSITA,"Tainy, Rauw Alejandro, JHAYCO"
,"DROGA
Mora, C. Tangana",1,36.0,41,1010282,DROGA,"Mora, C. Tangana"
,"VOY A LLeVARTE PA PR
Bad Bunny",4,18.0,60,1007924,VOY A LLeVARTE PA PR,Bad Bunny
,"mi refe
Beéle, Ovy On The Drums",4,37.0,63,989122,mi refe,"Beéle, Ovy On The Drums"
