rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"melodrama
disiz, Theodora",1,1.0,22,3341220,melodrama,"disiz, Theodora"
,"MON BÉBÉ
RnBoi",2,2.0,18,2872287,MON BÉBÉ,RnBoi
,"B.M.S (by my side)
Rambo goyard",3,3.0,8,2784696,B.M.S (by my side),Rambo goyard
,"LOVE YOU
Nono La Grinta",3,4.0,20,2517717,LOVE YOU,Nono La Grinta
,"Argent Sale - A COLORS SHOW
La Rvfleuze, COLORS",5,36.0,2,2235146,Argent Sale - A COLORS SHOW,"La Rvfleuze, COLORS"
,"AVEC MOI
RnBoi, Nono La Grinta",5,5.0,6,2024612,AVEC MOI,"RnBoi, Nono La Grinta"
,"GMK
WIXO & LA2S",7,10.0,6,1921566,GMK,WIXO & LA2S
,"OG
Genezio, Niska",6,6.0,13,1916243,OG,"Genezio, Niska"
,"Sex Model
PLK, Theodora",9,,1,1899237,Sex Model,"PLK, Theodora"
,"Génération impolie
Franglish, KeBlack",4,7.0,19,1849749,Génération impolie,"Franglish, KeBlack"
,"SPA
GIMS, Theodora",9,12.0,6,1647738,SPA,"GIMS, Theodora"
,"PARISIENNE
GIMS, La Mano 1.9",1,11.0,30,1581185,PARISIENNE,"GIMS, La Mano 1.9"
,"BLOQUÉ
GIMS, L2B",6,14.0,16,1512338,BLOQUÉ,"GIMS, L2B"
,"RUINART
R2",1,13.0,37,1506928,RUINART,R2
,"DtMF
Bad Bunny",2,8.0,9,1491444,DtMF,Bad Bunny
,"NUEVAYoL
Bad Bunny",9,9.0,5,1463140,NUEVAYoL,Bad Bunny
,"WHERE IS MY HUSBAND!
RAYE",14,19.0,23,1287596,WHERE IS MY HUSBAND!,RAYE
,"BMW
Black Cat",18,25.0,3,1276332,BMW,Black Cat
,"End of Beginning
Djo",9,18.0,13,1252713,End of Beginning,Djo
,"Na Za Désolé
Black Cat",20,23.0,3,1245927,Na Za Désolé,Black Cat
,"Tití Me Preguntó
Bad Bunny",16,16.0,3,1237285,Tití Me Preguntó,Bad Bunny
,"The Fate of Ophelia
Taylor Swift",4,24.0,21,1231301,The Fate of Ophelia,Taylor Swift
,"LES DIAMANTS DE BOKASSA
Ninho, Tiakola",4,21.0,7,1190827,LES DIAMANTS DE BOKASSA,"Ninho, Tiakola"
,"Paris
Nono La Grinta",1,26.0,47,1126166,Paris,Nono La Grinta
