rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Man I Need
Olivia Dean",1,1.0,28,3911923,Man I Need,Olivia Dean
,"Rein Me In (with Olivia Dean)
Sam Fender, Olivia Dean",2,4.0,36,2792471,Rein Me In (with Olivia Dean),"Sam Fender, Olivia Dean"
,"Raindance (feat. Tems)
Dave, Tems",2,2.0,18,2684656,Raindance (feat. Tems),"Dave, Tems"
,"So Easy (To Fall In Love)
Olivia Dean",4,5.0,22,2470626,So Easy (To Fall In Love),Olivia Dean
,"WHERE IS MY HUSBAND!
RAYE",2,3.0,23,2407380,WHERE IS MY HUSBAND!,RAYE
,"iloveitiloveitiloveit
Bella Kay",6,40.0,4,2386470,iloveitiloveitiloveit,Bella Kay
,"Homewrecker
sombr",7,7.0,3,2281296,Homewrecker,sombr
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",8,17.0,9,2124670,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"End of Beginning
Djo",2,6.0,16,2114831,End of Beginning,Djo
,"Die On This Hill
SIENNA SPIRO",8,11.0,20,1863873,Die On This Hill,SIENNA SPIRO
,"Nice To Each Other
Olivia Dean",4,10.0,39,1817733,Nice To Each Other,Olivia Dean
,"12 to 12
sombr",5,13.0,31,1753482,12 to 12,sombr
,"The Fate of Ophelia
Taylor Swift",1,12.0,21,1717316,The Fate of Ophelia,Taylor Swift
,"Lush Life
Zara Larsson",9,9.0,15,1708735,Lush Life,Zara Larsson
,"I Just Might
Bruno Mars",5,16.0,7,1677092,I Just Might,Bruno Mars
,"Ordinary
Alex Warren",1,14.0,55,1625221,Ordinary,Alex Warren
,"Babydoll
Dominic Fike",17,19.0,7,1563888,Babydoll,Dominic Fike
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,15.0,35,1519232,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"back to friends
sombr",3,18.0,50,1518514,back to friends,sombr
,"DtMF
Bad Bunny",3,8.0,4,1507125,DtMF,Bad Bunny
,"Chains of Love
Charli xcx",21,23.0,2,1478226,Chains of Love,Charli xcx
,"No Broke Boys
Disco Lines, Tinashe",2,21.0,37,1360060,No Broke Boys,"Disco Lines, Tinashe"
,"Mr. Brightside
The Killers",12,20.0,479,1356009,Mr. Brightside,The Killers
,"Ok Love You Bye
Olivia Dean",22,29.0,28,1266895,Ok Love You Bye,Olivia Dean
,"The Hardest Part
Olivia Dean",21,27.0,28,1235655,The Hardest Part,Olivia Dean
,"Clean Baby Sleep White Noise (Loopable)
Dream Supplier",17,36.0,114,1185490,Clean Baby Sleep White Noise (Loopable),Dream Supplier
,"Iris
The Goo Goo Dolls",19,26.0,165,1184405,Iris,The Goo Goo Dolls
,"A Couple Minutes
Olivia Dean",23,31.0,22,1180694,A Couple Minutes,Olivia Dean
,"Baby Steps
Olivia Dean",19,34.0,22,1173475,Baby Steps,Olivia Dean
,"Manchild
Sabrina Carpenter",1,28.0,38,1165570,Manchild,Sabrina Carpenter
,"Love Me Not
Ravyn Lenae",2,33.0,54,1143329,Love Me Not,Ravyn Lenae
,"undressed
sombr",2,37.0,49,1129297,undressed,sombr
,"Dreams - 2004 Remaster
Fleetwood Mac",17,38.0,166,1125607,Dreams - 2004 Remaster,Fleetwood Mac
,"Opalite
Taylor Swift",2,30.0,21,1112597,Opalite,Taylor Swift
,"Dying for You
Charli xcx",35,44.0,2,1107537,Dying for You,Charli xcx
,"Dive
Olivia Dean",27,35.0,38,1095376,Dive,Olivia Dean
,"The Great Divide
Noah Kahan",7,32.0,4,1094671,The Great Divide,Noah Kahan
,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)
White Noise Radiance, Rain Sounds",38,41.0,4,1080681,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)","White Noise Radiance, Rain Sounds"
,"Drag Path
Twenty One Pilots",39,,1,1066032,Drag Path,Twenty One Pilots
,"Aperture
Harry Styles",1,24.0,5,1046038,Aperture,Harry Styles
,"I've Seen It
Olivia Dean",34,42.0,22,1030761,I've Seen It,Olivia Dean
,"Clean Baby Sleep White Noise (Loopable no fade)
Dream Supplier",42,49.0,30,1028901,Clean Baby Sleep White Noise (Loopable no fade),Dream Supplier
,"Let Alone The One You Love
Olivia Dean",19,43.0,22,1021260,Let Alone The One You Love,Olivia Dean
,"Midnight Sun
Zara Larsson",44,45.0,8,1002712,Midnight Sun,Zara Larsson
,"The Chain - 2004 Remaster
Fleetwood Mac",38,46.0,61,980352,The Chain - 2004 Remaster,Fleetwood Mac
,"Pink Pony Club
Chappell Roan",2,48.0,88,948599,Pink Pony Club,Chappell Roan
,"Every Breath You Take
The Police",18,39.0,65,934195,Every Breath You Take,The Police
,"Sailor Song
Gigi Perez",1,52.0,83,929223,Sailor Song,Gigi Perez
,"Everywhere - 2017 Remaster
Fleetwood Mac",41,51.0,61,907608,Everywhere - 2017 Remaster,Fleetwood Mac
,"Tití Me Preguntó
Bad Bunny",22,22.0,3,893291,Tití Me Preguntó,Bad Bunny
,"NUEVAYoL
Bad Bunny",19,25.0,3,884772,NUEVAYoL,Bad Bunny
,"Boys Don't Cry - Single Version
The Cure",34,53.0,11,878000,Boys Don't Cry - Single Version,The Cure
,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",53,64.0,7,876422,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
,"White Keys
Dominic Fike",54,96.0,3,868750,White Keys,Dominic Fike
,"Naive
The Kooks",45,62.0,61,866244,Naive,The Kooks
,"Phantom
EsDeeKid, Rico Ace",11,47.0,24,857035,Phantom,"EsDeeKid, Rico Ace"
,"Beautiful Things
Benson Boone",1,56.0,110,856922,Beautiful Things,Benson Boone
,"Creep
Radiohead",33,60.0,61,852499,Creep,Radiohead
,"Just The Way You Are
Milky, Mall Grab",59,87.0,2,842733,Just The Way You Are,"Milky, Mall Grab"
,"Sweater Weather
The Neighbourhood",19,57.0,30,833078,Sweater Weather,The Neighbourhood
,"Landslide
Fleetwood Mac",35,67.0,9,829290,Landslide,Fleetwood Mac
,"Fame is a Gun
Addison Rae",23,58.0,9,829258,Fame is a Gun,Addison Rae
,"BIRDS OF A FEATHER
Billie Eilish",1,54.0,93,827564,BIRDS OF A FEATHER,Billie Eilish
,"You Stole The Show
SIENNA SPIRO",40,73.0,16,821085,You Stole The Show,SIENNA SPIRO
,"Riptide
Vance Joy",13,65.0,270,818362,Riptide,Vance Joy
,"That’s So True
Gracie Abrams",1,59.0,71,814452,That’s So True,Gracie Abrams
,"Purple Rain
Prince",17,66.0,8,811359,Purple Rain,Prince
,"One Dance
Drake, Wizkid, Kyla",15,55.0,24,811240,One Dance,"Drake, Wizkid, Kyla"
,"Sex on Fire
Kings of Leon",40,69.0,113,809080,Sex on Fire,Kings of Leon
,"Good Luck, Babe!
Chappell Roan",2,63.0,99,803965,"Good Luck, Babe!",Chappell Roan
,"I Run
HAVEN., Kaitlin Aragon",25,70.0,14,789819,I Run,"HAVEN., Kaitlin Aragon"
,"I Thought I Saw Your Face Today
She & Him",36,61.0,11,787887,I Thought I Saw Your Face Today,She & Him
,"Can't Stop
Red Hot Chili Peppers",69,88.0,9,784863,Can't Stop,Red Hot Chili Peppers
,"wgft (feat. Burna Boy)
Gunna, Burna Boy",45,68.0,29,766896,wgft (feat. Burna Boy),"Gunna, Burna Boy"
,"Lose Control
Teddy Swims",3,77.0,119,758754,Lose Control,Teddy Swims
,"Stick Season
Noah Kahan",1,85.0,9,757136,Stick Season,Noah Kahan
,"Lady Lady
Olivia Dean",17,81.0,9,749926,Lady Lady,Olivia Dean
,"The Man Who Can't Be Moved
The Script",65,79.0,9,744172,The Man Who Can't Be Moved,The Script
,"The Less I Know The Better
Tame Impala",74,84.0,9,741713,The Less I Know The Better,Tame Impala
,"Sports car
Tate McRae",5,91.0,9,740249,Sports car,Tate McRae
,"4 Raws
EsDeeKid",19,72.0,20,739407,4 Raws,EsDeeKid
,"Seventeen Going Under
Sam Fender",2,110.0,9,735845,Seventeen Going Under,Sam Fender
,"Dog Days Are Over
Florence + The Machine",21,90.0,9,734140,Dog Days Are Over,Florence + The Machine
,"Feel Good Inc.
Gorillaz, De La Soul",24,82.0,61,725277,Feel Good Inc.,"Gorillaz, De La Soul"
,"Die With A Smile
Lady Gaga, Bruno Mars",3,75.0,9,724269,Die With A Smile,"Lady Gaga, Bruno Mars"
,"Century
EsDeeKid",10,76.0,17,723660,Century,EsDeeKid
,"Espresso
Sabrina Carpenter",1,83.0,98,721006,Espresso,Sabrina Carpenter
,"DAISIES
Justin Bieber",2,80.0,33,720768,DAISIES,Justin Bieber
,"Take Me to Church
Hozier",39,98.0,9,720570,Take Me to Church,Hozier
,"Messy
Lola Young",1,105.0,67,714491,Messy,Lola Young
,"Piano Man
Billy Joel",68,92.0,26,713770,Piano Man,Billy Joel
,"Dakota
Stereophonics",49,99.0,14,708956,Dakota,Stereophonics
,"Promiscuous
Nelly Furtado, Timbaland",73,94.0,59,707133,Promiscuous,"Nelly Furtado, Timbaland"
,"Scar Tissue
Red Hot Chili Peppers",94,118.0,8,703279,Scar Tissue,Red Hot Chili Peppers
,"Victory Lap
Fred again.., Skepta, Plaqueboymax",5,109.0,37,701920,Victory Lap,"Fred again.., Skepta, Plaqueboymax"
,"Wuthering Heights - 2018 Remaster
Kate Bush",96,190.0,2,696397,Wuthering Heights - 2018 Remaster,Kate Bush
,"Always Everywhere
Charli xcx",71,71.0,2,692724,Always Everywhere,Charli xcx
,"Everybody Wants To Rule The World
Tears For Fears",34,104.0,61,690442,Everybody Wants To Rule The World,Tears For Fears
,"Carry You Home
Alex Warren",19,97.0,9,687918,Carry You Home,Alex Warren
,"Yellow
Coldplay",21,86.0,9,687603,Yellow,Coldplay
,"Stargazing
Myles Smith",7,101.0,9,686418,Stargazing,Myles Smith
,"Headlines
Drake",75,93.0,33,684540,Headlines,Drake
,"Folded
Kehlani",56,100.0,26,683767,Folded,Kehlani
,"Bitter Sweet Symphony - Remastered 2016
The Verve",86,113.0,9,682900,Bitter Sweet Symphony - Remastered 2016,The Verve
,"The Sick
Bella Kay",105,,1,680661,The Sick,Bella Kay
,"Just The Way You Are
Milky",106,178.0,3,680127,Just The Way You Are,Milky
,"505
Arctic Monkeys",17,103.0,9,679292,505,Arctic Monkeys
,"Choosin' Texas
Ella Langley",108,119.0,4,677344,Choosin' Texas,Ella Langley
,"What You Saying
Lil Uzi Vert",43,78.0,8,677026,What You Saying,Lil Uzi Vert
,"All The Stars (with SZA) - From ""Black Panther: The Album""
Kendrick Lamar, SZA",2,95.0,9,676013,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA"
,"Running Up That Hill (A Deal With God)
Kate Bush",1,108.0,14,669876,Running Up That Hill (A Deal With God),Kate Bush
,"We Are The People
Empire Of The Sun",69,102.0,9,667593,We Are The People,Empire Of The Sun
,"Bring Me To Life
Evanescence",108,120.0,9,667239,Bring Me To Life,Evanescence
,"Let Down
Radiohead",28,114.0,43,663815,Let Down,Radiohead
,"Escapism.
RAYE, 070 Shake",1,136.0,9,663224,Escapism.,"RAYE, 070 Shake"
,"Somebody Told Me
The Killers",105,141.0,9,662902,Somebody Told Me,The Killers
,"Silver Springs - 2004 Remaster
Fleetwood Mac",76,122.0,9,652767,Silver Springs - 2004 Remaster,Fleetwood Mac
,"E85
Don Toliver",118,161.0,4,649866,E85,Don Toliver
,"Think About Us
Sonny Fodera, D.O.D, Poppy Baskcomb",89,128.0,8,646000,Think About Us,"Sonny Fodera, D.O.D, Poppy Baskcomb"
,"She Moves In Her Own Way
The Kooks",74,127.0,9,644032,She Moves In Her Own Way,The Kooks
