rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"DtMF
Bad Bunny",1,1.0,60,45722046,DtMF,Bad Bunny
,"BAILE INoLVIDABLE
Bad Bunny",2,2.0,60,33278386,BAILE INoLVIDABLE,Bad Bunny
,"End of Beginning
Djo",1,5.0,106,32979053,End of Beginning,Djo
,"NUEVAYoL
Bad Bunny",3,3.0,60,32180613,NUEVAYoL,Bad Bunny
,"Man I Need
Olivia Dean",3,7.0,27,31180371,Man I Need,Olivia Dean
,"The Fate of Ophelia
Taylor Swift",1,8.0,21,30757410,The Fate of Ophelia,Taylor Swift
,"Tití Me Preguntó
Bad Bunny",4,4.0,3,29191815,Tití Me Preguntó,Bad Bunny
,"So Easy (To Fall In Love)
Olivia Dean",6,9.0,22,28614470,So Easy (To Fall In Love),Olivia Dean
,"back to friends
sombr",1,10.0,49,26755674,back to friends,sombr
,"EoO
Bad Bunny",4,6.0,60,26351243,EoO,Bad Bunny
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",11,30.0,7,25677341,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"WHERE IS MY HUSBAND!
RAYE",6,11.0,23,24535223,WHERE IS MY HUSBAND!,RAYE
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,12.0,36,23841951,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"Raindance (feat. Tems)
Dave, Tems",11,16.0,11,23414904,Raindance (feat. Tems),"Dave, Tems"
,"Ordinary
Alex Warren",1,15.0,55,22490852,Ordinary,Alex Warren
,"Lush Life
Zara Larsson",7,14.0,15,22445035,Lush Life,Zara Larsson
,"Die On This Hill
SIENNA SPIRO",9,19.0,11,21216467,Die On This Hill,SIENNA SPIRO
,"Babydoll
Dominic Fike",18,27.0,4,21157710,Babydoll,Dominic Fike
,"Die With A Smile
Lady Gaga, Bruno Mars",1,18.0,80,19554816,Die With A Smile,"Lady Gaga, Bruno Mars"
,"I Just Might
Bruno Mars",3,21.0,7,19005481,I Just Might,Bruno Mars
,"Homewrecker
sombr",21,24.0,3,18683334,Homewrecker,sombr
,"Iris
The Goo Goo Dolls",12,23.0,93,18641507,Iris,The Goo Goo Dolls
,"VOY A LLeVARTE PA PR
Bad Bunny",8,13.0,12,18194109,VOY A LLeVARTE PA PR,Bad Bunny
,"I Thought I Saw Your Face Today
She & Him",14,25.0,12,17940391,I Thought I Saw Your Face Today,She & Him
,"BIRDS OF A FEATHER
Billie Eilish",1,20.0,93,17802863,BIRDS OF A FEATHER,Billie Eilish
,"Every Breath You Take
The Police",8,22.0,113,17401604,Every Breath You Take,The Police
,"Love Me Not
Ravyn Lenae",8,33.0,49,16786160,Love Me Not,Ravyn Lenae
,"Manchild
Sabrina Carpenter",1,29.0,38,16767561,Manchild,Sabrina Carpenter
,"Sailor Song
Gigi Perez",7,32.0,80,16639107,Sailor Song,Gigi Perez
,"Opalite
Taylor Swift",2,28.0,21,16383272,Opalite,Taylor Swift
,"WILDFLOWER
Billie Eilish",9,31.0,93,16112077,WILDFLOWER,Billie Eilish
,"12 to 12
sombr",14,35.0,31,15463614,12 to 12,sombr
,"LA CANCIÓN
J Balvin, Bad Bunny",11,17.0,12,15399710,LA CANCIÓN,"J Balvin, Bad Bunny"
,"Sweater Weather
The Neighbourhood",16,36.0,287,15369878,Sweater Weather,The Neighbourhood
,"Creep
Radiohead",27,39.0,61,14341750,Creep,Radiohead
,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",17,26.0,4,14181459,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
,"Gabriela
KATSEYE",10,37.0,36,14146352,Gabriela,KATSEYE
,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",30,38.0,11,13972264,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
,"No Broke Boys
Disco Lines, Tinashe",13,45.0,35,13956831,No Broke Boys,"Disco Lines, Tinashe"
,"Beautiful Things
Benson Boone",1,49.0,110,13702193,Beautiful Things,Benson Boone
,"I Wanna Be Yours
Arctic Monkeys",15,44.0,190,13475592,I Wanna Be Yours,Arctic Monkeys
,"Don’t Say You Love Me
Jin",2,43.0,41,13458054,Don’t Say You Love Me,Jin
,"One Of The Girls (with JENNIE, Lily Rose Depp)
The Weeknd, JENNIE, Lily-Rose Depp",3,42.0,125,13304956,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp"
,"Espresso
Sabrina Carpenter",1,46.0,98,13150901,Espresso,Sabrina Carpenter
,"That's What I Like
Bruno Mars",6,47.0,31,13140248,That's What I Like,Bruno Mars
,"Choosin' Texas
Ella Langley",46,54.0,8,13130717,Choosin' Texas,Ella Langley
,"Yellow
Coldplay",19,48.0,269,13094544,Yellow,Coldplay
,"One Dance
Drake, Wizkid, Kyla",12,40.0,42,13040588,One Dance,"Drake, Wizkid, Kyla"
,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",9,34.0,7,12997233,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
