rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"AMAZING - Remix
SIDARTA, RACK",1,1.0,2,949335,AMAZING - Remix,"SIDARTA, RACK"
,"ALCANTARA
HermesHermes, Kidd, BLVD",2,3.0,2,604939,ALCANTARA,"HermesHermes, Kidd, BLVD"
,"CHANEL
Trannos, SNIK, CHEKKIS",1,4.0,5,550091,CHANEL,"Trannos, SNIK, CHEKKIS"
,"Logariasmos
Katerina Lioliou",1,5.0,6,496989,Logariasmos,Katerina Lioliou
,"Lete Lete
SNIK, Trannos, Fy",1,7.0,14,474344,Lete Lete,"SNIK, Trannos, Fy"
,"XHAMAT E ZINJ
HermesHermes, Tr4cer, Ivan Greko",6,,1,473235,XHAMAT E ZINJ,"HermesHermes, Tr4cer, Ivan Greko"
,"KENZO
HermesHermes, Tr4cer, Trannos",7,,1,466737,KENZO,"HermesHermes, Tr4cer, Trannos"
,"DIO KARDIES
Ivan Greko, Michalis Karagkounis, Sin Laurent",1,6.0,6,465345,DIO KARDIES,"Ivan Greko, Michalis Karagkounis, Sin Laurent"
,"AGAINST ALL
Trannos, SKEZ, HermesHermes, LOSHA",2,9.0,5,391073,AGAINST ALL,"Trannos, SKEZ, HermesHermes, LOSHA"
,"CHOCO FRESH
HermesHermes, Ivan Greko, Arab",2,10.0,12,378406,CHOCO FRESH,"HermesHermes, Ivan Greko, Arab"
,"Funny Valentine
Light, Adams",2,2.0,2,372217,Funny Valentine,"Light, Adams"
,"MARRAKESH
HermesHermes, Tr4cer",12,,1,369933,MARRAKESH,"HermesHermes, Tr4cer"
,"Ferto
Akylas",13,17.0,2,362718,Ferto,Akylas
,"Gonzales
Donn, Kidd, Ivan Greko",3,8.0,4,358000,Gonzales,"Donn, Kidd, Ivan Greko"
,"KILA
HermesHermes, Tr4cer",15,,1,351888,KILA,"HermesHermes, Tr4cer"
,"Tití Me Preguntó
Bad Bunny",11,11.0,3,311549,Tití Me Preguntó,Bad Bunny
,"PRONTO
HermesHermes, Tr4cer, SKEZ",17,,1,295257,PRONTO,"HermesHermes, Tr4cer, SKEZ"
,"PISTEPSE ME
Strat, BeTaf Beats",18,179.0,2,286054,PISTEPSE ME,"Strat, BeTaf Beats"
,"NUEVAYoL
Bad Bunny",9,12.0,4,282011,NUEVAYoL,Bad Bunny
,"BAM BAM
HermesHermes, Tr4cer, Arab, ASOK",20,,1,278811,BAM BAM,"HermesHermes, Tr4cer, Arab, ASOK"
,"BOYKA
Sadam, RACK, Dof Twogee, Xjay",5,13.0,4,267967,BOYKA,"Sadam, RACK, Dof Twogee, Xjay"
,"DG
HermesHermes, Tr4cer",22,,1,262728,DG,"HermesHermes, Tr4cer"
,"Margarita
Christos Mastoras, ARCADE",12,20.0,6,256729,Margarita,"Christos Mastoras, ARCADE"
,"ASTEIO
ZAF",24,53.0,2,243411,ASTEIO,ZAF
,"LETRA
HermesHermes, Tr4cer",25,,1,238761,LETRA,"HermesHermes, Tr4cer"
