rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Pvta Luna
Neton Vega",1,1.0,20,498821,Pvta Luna,Neton Vega
,"daño
Peso Pluma, Tito Double P",1,2.0,9,448229,daño,"Peso Pluma, Tito Double P"
,"dopamina
Peso Pluma, Tito Double P",1,3.0,9,442223,dopamina,"Peso Pluma, Tito Double P"
,"Ya Borracho
Herencia De Grandes",4,4.0,15,432790,Ya Borracho,Herencia De Grandes
,"POR SUS BESOS
Tito Double P",1,5.0,33,399980,POR SUS BESOS,Tito Double P
,"Entre tú y yo
Tu Corrido Mx",6,8.0,8,388125,Entre tú y yo,Tu Corrido Mx
,"Todo Lo Fue
Lenin Ramírez",7,12.0,6,376649,Todo Lo Fue,Lenin Ramírez
,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",2,13.0,11,349069,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
,"7-3
Peso Pluma, Tito Double P",4,10.0,9,348964,7-3,"Peso Pluma, Tito Double P"
,"DtMF
Bad Bunny",1,6.0,60,343653,DtMF,Bad Bunny
,"BAILE INoLVIDABLE
Bad Bunny",2,7.0,60,329239,BAILE INoLVIDABLE,Bad Bunny
,"EoO
Bad Bunny",3,9.0,60,314430,EoO,Bad Bunny
,"2+2
Omar Camacho, Victor Mendivil",5,14.0,34,308962,2+2,"Omar Camacho, Victor Mendivil"
,"COQUETA
Fuerza Regida, Grupo Frontera",4,15.0,62,296031,COQUETA,"Fuerza Regida, Grupo Frontera"
,"LA CANCIÓN
J Balvin, Bad Bunny",1,11.0,348,286771,LA CANCIÓN,"J Balvin, Bad Bunny"
,"Marlboro Rojo
Fuerza Regida",1,17.0,43,286073,Marlboro Rojo,Fuerza Regida
,"Cuando No Era Cantante
El Bogueto, Yung Beef",2,16.0,22,272700,Cuando No Era Cantante,"El Bogueto, Yung Beef"
,"ni pedo
Peso Pluma, Tito Double P",5,21.0,9,268565,ni pedo,"Peso Pluma, Tito Double P"
,"ANSIEDAD
Fuerza Regida",6,22.0,43,268135,ANSIEDAD,Fuerza Regida
,"Mi Entorno
Virlan Garcia",12,19.0,14,263396,Mi Entorno,Virlan Garcia
,"PUES QUE LE HAGO ?
Chuyin",21,25.0,7,261825,PUES QUE LE HAGO ?,Chuyin
,"tu con el
Peso Pluma, Tito Double P",22,30.0,9,255314,tu con el,"Peso Pluma, Tito Double P"
,"MIENTRAS DUERMES
Junior H",9,18.0,55,255177,MIENTRAS DUERMES,Junior H
,"TU SANCHO
Fuerza Regida",1,27.0,43,248711,TU SANCHO,Fuerza Regida
,"Y LLORO
Junior H",6,20.0,125,242140,Y LLORO,Junior H
,"LA VILLA
Ryan Castro, Kapo, Gangsta",13,33.0,10,238887,LA VILLA,"Ryan Castro, Kapo, Gangsta"
,"NUEVAYoL
Bad Bunny",4,23.0,60,234679,NUEVAYoL,Bad Bunny
,"DROGA LETAL
Junior H, Gael Valenzuela, Peso Pluma",26,26.0,2,231617,DROGA LETAL,"Junior H, Gael Valenzuela, Peso Pluma"
,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",5,24.0,67,226759,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
,"Me Rehúso
Danny Ocean",1,36.0,479,226165,Me Rehúso,Danny Ocean
,"Tu Boda
Oscar Maydon, Fuerza Regida",1,38.0,74,223352,Tu Boda,"Oscar Maydon, Fuerza Regida"
,"Diles
Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",22,54.0,39,221545,Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz"
,"KLOuFRENS
Bad Bunny",14,34.0,60,220580,KLOuFRENS,Bad Bunny
,"CHAVALITAS
Fuerza Regida",9,35.0,25,211583,CHAVALITAS,Fuerza Regida
,"HOLLYWOOD
Peso Pluma, Estevan Plazola",10,40.0,88,211063,HOLLYWOOD,"Peso Pluma, Estevan Plazola"
,"caperuza
Fuerza Regida",36,39.0,26,208579,caperuza,Fuerza Regida
,"Todo a Su Tiempo
Neton Vega, JR",24,48.0,58,207790,Todo a Su Tiempo,"Neton Vega, JR"
,"Es un Secreto
Plan B",4,50.0,243,205036,Es un Secreto,Plan B
,"Tití Me Preguntó
Bad Bunny",2,28.0,3,204743,Tití Me Preguntó,Bad Bunny
,"Amor
Emmanuel Cortes",8,29.0,92,203048,Amor,Emmanuel Cortes
,"Frecuencia
Los Dareyes De La Sierra",2,41.0,37,199268,Frecuencia,Los Dareyes De La Sierra
,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",6,37.0,60,195759,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
,"VOY A LLeVARTE PA PR
Bad Bunny",7,32.0,60,195553,VOY A LLeVARTE PA PR,Bad Bunny
,"El Final De Nuestra Historia
La Arrolladora Banda El Limón De Rene Camacho",26,49.0,31,194128,El Final De Nuestra Historia,La Arrolladora Banda El Limón De Rene Camacho
,"Morena
Neton Vega, Peso Pluma",1,56.0,54,194076,Morena,"Neton Vega, Peso Pluma"
,"Imitadora
Romeo Santos",16,42.0,48,193543,Imitadora,Romeo Santos
,"DOS DÍAS
Tito Double P, Peso Pluma",4,55.0,79,188787,DOS DÍAS,"Tito Double P, Peso Pluma"
,"4x4
Omar Camacho, Victor Mendivil, Angel Almaguer, $HUPE",29,67.0,6,186996,4x4,"Omar Camacho, Victor Mendivil, Angel Almaguer, $HUPE"
,"Pase y Toque
BeatBoy, Victor Mendivil",37,46.0,10,184813,Pase y Toque,"BeatBoy, Victor Mendivil"
,"TATTOO
Tito Double P",1,63.0,52,184531,TATTOO,Tito Double P
,"Te Amo y Me Amas
Ian Cordova",28,51.0,12,183214,Te Amo y Me Amas,Ian Cordova
,"Al Final del Día
Xolo Music",52,66.0,9,182555,Al Final del Día,Xolo Music
,"PIÉNSALO
Junior H",16,43.0,81,180976,PIÉNSALO,Junior H
,"Regalo De Dios
Julión Álvarez y su Norteño Banda",3,52.0,112,179561,Regalo De Dios,Julión Álvarez y su Norteño Banda
,"Canasteo
Régulo Molina, Oscar Maydon, Neton Vega",16,57.0,6,176998,Canasteo,"Régulo Molina, Oscar Maydon, Neton Vega"
,"En Privado
Xavi, Manuel Turizo",1,53.0,55,176138,En Privado,"Xavi, Manuel Turizo"
,"MOJABI GHOST
Tainy, Bad Bunny",11,47.0,66,176128,MOJABI GHOST,"Tainy, Bad Bunny"
,"SUIZA
Calle 24",1,74.0,43,171739,SUIZA,Calle 24
,"Khé?
Rauw Alejandro, Romeo Santos",4,62.0,67,171293,Khé?,"Rauw Alejandro, Romeo Santos"
,"Ansiedad
Grupo Arriesgado",31,60.0,58,170182,Ansiedad,Grupo Arriesgado
,"no tiene sentido
Beéle",10,68.0,41,169949,no tiene sentido,Beéle
,"LAS NOCHES
Junior H",25,44.0,25,168440,LAS NOCHES,Junior H
