rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Don’t Say You Love Me
Jin",1,1.0,41,270912,Don’t Say You Love Me,Jin
,"寂寞圓舞
Keung To",2,3.0,11,236318,寂寞圓舞,Keung To
,"你要倔強
Keung To",2,4.0,11,228559,你要倔強,Keung To
,"Better Man
Keung To",4,6.0,11,194930,Better Man,Keung To
,"Gimme Gimme
Anson Lo 盧瀚霆",3,5.0,14,189130,Gimme Gimme,Anson Lo 盧瀚霆
,"Winter Ahead (with PARK HYO SHIN)
V, Park Hyo Shin",1,2.0,65,188600,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin"
,"Boulder
Keung To",2,8.0,11,185423,Boulder,Keung To
,"用背脊唱情歌
Gareth.T",1,7.0,38,170196,用背脊唱情歌,Gareth.T
,"追愛狂想
Keung To",8,9.0,11,166511,追愛狂想,Keung To
,"Lemonade
Anson Lo 盧瀚霆",2,10.0,29,122291,Lemonade,Anson Lo 盧瀚霆
,"BANG BANG
IVE",11,15.0,3,117908,BANG BANG,IVE
,"流浪星球
Keung To",2,17.0,26,116833,流浪星球,Keung To
,"你都有今日
Anson Lo 盧瀚霆",2,11.0,40,115516,你都有今日,Anson Lo 盧瀚霆
,"緊急聯絡人
Gareth.T",4,14.0,117,106586,緊急聯絡人,Gareth.T
,"Heartbreaker
Anson Lo 盧瀚霆",1,12.0,52,103689,Heartbreaker,Anson Lo 盧瀚霆
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2,16.0,36,101903,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"我的支持型伴侶
Anson Lo 盧瀚霆",13,18.0,12,97263,我的支持型伴侶,Anson Lo 盧瀚霆
,"白果
Keung To",1,21.0,60,95905,白果,Keung To
,"我看見今晚的月色很美，你呢？
晚安莉莉",19,25.0,15,95672,我看見今晚的月色很美，你呢？,晚安莉莉
,"說謊者
MC 張天賦",1,20.0,61,93130,說謊者,MC 張天賦
,"On a SunnyDay
Keung To",1,28.0,44,90992,On a SunnyDay,Keung To
,"Rude Boy
Anson Lo 盧瀚霆",17,24.0,12,87397,Rude Boy,Anson Lo 盧瀚霆
,"Take That
Anson Lo 盧瀚霆",20,26.0,12,87074,Take That,Anson Lo 盧瀚霆
,"Trippin’ Up
Anson Lo 盧瀚霆",18,27.0,12,85512,Trippin’ Up,Anson Lo 盧瀚霆
,"命硬
Justin Lo",24,30.0,47,85428,命硬,Justin Lo
,"記憶棉
MC 張天賦",1,19.0,227,85160,記憶棉,MC 張天賦
,"傷口上灑辣椒醬
陳卓賢 Ian",16,23.0,5,84038,傷口上灑辣椒醬,陳卓賢 Ian
,"Running Wild
Jin",1,13.0,67,78198,Running Wild,Jin
,"RUDE!
Hearts2Hearts",29,,1,76350,RUDE!,Hearts2Hearts
,"like JENNIE
JENNIE",3,31.0,51,76294,like JENNIE,JENNIE
,"The Fate of Ophelia
Taylor Swift",3,32.0,21,75080,The Fate of Ophelia,Taylor Swift
,"無名氏
MC 張天賦",12,29.0,6,72975,無名氏,MC 張天賦
,"Seven (feat. Latto) (Explicit Ver.)
Jung Kook, Latto",1,36.0,137,71971,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
,"End of Beginning
Djo",15,34.0,13,70566,End of Beginning,Djo
,"DtMF
Bad Bunny",17,22.0,3,70088,DtMF,Bad Bunny
,"So Easy (To Fall In Love)
Olivia Dean",34,38.0,20,69963,So Easy (To Fall In Love),Olivia Dean
,"至少做一件離譜的事
Kiri T",8,42.0,101,68493,至少做一件離譜的事,Kiri T
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",38,155.0,5,68491,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"世一
MC 張天賦",1,33.0,163,68331,世一,MC 張天賦
,"擱淺
Jay Chou",30,45.0,176,65177,擱淺,Jay Chou
,"Die With A Smile
Lady Gaga, Bruno Mars",5,37.0,80,64676,Die With A Smile,"Lady Gaga, Bruno Mars"
,"Let go
Nancy Kwai",15,39.0,17,64515,Let go,Nancy Kwai
,"JUMP
BLACKPINK",3,41.0,33,63177,JUMP,BLACKPINK
,"追
Tyson Yoshi",20,35.0,4,62156,追,Tyson Yoshi
,"Opalite
Taylor Swift",11,47.0,21,61733,Opalite,Taylor Swift
,"太陽與地球
Crowd Lu",22,43.0,23,61056,太陽與地球,Crowd Lu
,"APT.
ROSÉ, Bruno Mars",1,40.0,71,60907,APT.,"ROSÉ, Bruno Mars"
,"黑玻璃
Kaho Hung",7,48.0,112,60783,黑玻璃,Kaho Hung
,"toxic till the end
ROSÉ",3,44.0,64,60716,toxic till the end,ROSÉ
,"無名指
陳卓賢 Ian",50,,1,59180,無名指,陳卓賢 Ian
,"老派約會之必要
MC 張天賦",1,46.0,189,58857,老派約會之必要,MC 張天賦
,"懷疑人生
MC 張天賦",5,50.0,48,57200,懷疑人生,MC 張天賦
,"404 (New Era)
KiiiKiii",53,54.0,4,56462,404 (New Era),KiiiKiii
,"給千億顆星選中的二人
陳卓賢 Ian",14,55.0,23,56154,給千億顆星選中的二人,陳卓賢 Ian
,"遠在眼前
Jay Fung",33,52.0,26,56102,遠在眼前,Jay Fung
,"美麗之最
Justin Lo",56,60.0,26,55992,美麗之最,Justin Lo
,"思覺失調
Wilfred Lau",34,58.0,50,55488,思覺失調,Wilfred Lau
,"Man I Need
Olivia Dean",46,56.0,25,55056,Man I Need,Olivia Dean
,"BIRDS OF A FEATHER
Billie Eilish",11,49.0,93,54883,BIRDS OF A FEATHER,Billie Eilish
,"back to friends
sombr",30,57.0,45,54114,back to friends,sombr
,"Kong
Justin Lo",55,65.0,26,52754,Kong,Justin Lo
,"單程票
Patrick Brasca",62,72.0,2,52422,單程票,Patrick Brasca
,"NOT CUTE ANYMORE
ILLIT",15,53.0,14,52130,NOT CUTE ANYMORE,ILLIT
,"富士山下
Eason Chan",59,64.0,173,51430,富士山下,Eason Chan
,"夜闌人靜
moon tang",23,74.0,50,50918,夜闌人靜,moon tang
,"Gabriela
KATSEYE",19,59.0,36,50319,Gabriela,KATSEYE
,"國際孤獨等級
Gareth.T",8,73.0,38,49939,國際孤獨等級,Gareth.T
,"FRI(END)S
V",7,51.0,27,49833,FRI(END)S,V
,"在錯誤的宇宙尋找愛
陳健安",69,77.0,25,49754,在錯誤的宇宙尋找愛,陳健安
,"獅虎流
Fatboy, Keung To",16,104.0,2,49498,獅虎流,"Fatboy, Keung To"
,"會痊癒的 PTSD
JACE",24,61.0,20,49262,會痊癒的 PTSD,JACE
,"Whiplash
aespa",8,68.0,71,49011,Whiplash,aespa
,"囍帖街
Kay Tse",19,66.0,479,48728,囍帖街,Kay Tse
,"樹會流眼淚
陳卓賢 Ian",13,67.0,38,48356,樹會流眼淚,陳卓賢 Ian
,"SPAGHETTI
LE SSERAFIM, j-hope",15,63.0,18,48079,SPAGHETTI,"LE SSERAFIM, j-hope"
,"特別的人
Khalil Fong",7,87.0,52,47651,特別的人,Khalil Fong
,"晴天
Jay Chou",28,71.0,182,47549,晴天,Jay Chou
,"GO!
CORTIS",19,62.0,25,47507,GO!,CORTIS
,"凡星
Panther Chan",35,79.0,27,46826,凡星,Panther Chan
,"反對無效
MC 張天賦",2,70.0,247,46671,反對無效,MC 張天賦
,"到此為止
Shiga Lin",66,76.0,36,45499,到此為止,Shiga Lin
,"四月物語
Terence Lam",11,89.0,46,45106,四月物語,Terence Lam
,"Is that you?
Nancy Kwai",73,94.0,3,44589,Is that you?,Nancy Kwai
,"WHERE IS MY HUSBAND!
RAYE",69,85.0,22,44081,WHERE IS MY HUSBAND!,RAYE
,"去北極忘記你
Gareth.T",59,75.0,17,43983,去北極忘記你,Gareth.T
,"Good Goodbye
HWASA",14,78.0,14,43708,Good Goodbye,HWASA
,"幾分之幾 - 電影<花甲大人轉男孩>主題曲
Crowd Lu",69,69.0,22,43490,幾分之幾 - 電影<花甲大人轉男孩>主題曲,Crowd Lu
,"以孤獨命名
陳卓賢 Ian",4,92.0,87,43139,以孤獨命名,陳卓賢 Ian
,"時光機
Terence Siufay",48,98.0,26,43092,時光機,Terence Siufay
,"BLACKHOLE
IVE",90,,1,42906,BLACKHOLE,IVE
,"number one girl
ROSÉ",3,86.0,66,42774,number one girl,ROSÉ
,"耿耿於懷
Juno Mak",60,120.0,44,42663,耿耿於懷,Juno Mak
,"我本人
Kary Ng",80,105.0,68,42640,我本人,Kary Ng
,"一百個未老先衰的方法
MC 張天賦",11,82.0,65,42426,一百個未老先衰的方法,MC 張天賦
,"你瞞我瞞
Jason Chan",16,80.0,479,42276,你瞞我瞞,Jason Chan
,"WE GO UP
BABYMONSTER",20,100.0,20,41776,WE GO UP,BABYMONSTER
,"PSYCHO
BABYMONSTER",59,90.0,14,41684,PSYCHO,BABYMONSTER
