rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"MIRE SZÁMÍTOTTÁL
Beton.Hofi, Hundred Sins",1,,1,522175,MIRE SZÁMÍTOTTÁL,"Beton.Hofi, Hundred Sins"
,"Jól leszek újra
Nagy Bogi, DESH",1,1.0,2,460993,Jól leszek újra,"Nagy Bogi, DESH"
,"PANASONIC
Beton.Hofi",3,,1,414381,PANASONIC,Beton.Hofi
,"PÁNCZÉL
Beton.Hofi",4,,1,338513,PÁNCZÉL,Beton.Hofi
,"TOP G
Beton.Hofi",5,,1,319719,TOP G,Beton.Hofi
,"BETON.HOF1
Beton.Hofi",6,,1,303028,BETON.HOF1,Beton.Hofi
,"DISNEY
Beton.Hofi",7,,1,288958,DISNEY,Beton.Hofi
,"BE VAGYOK ZÁRVA
Beton.Hofi",1,20.0,43,287972,BE VAGYOK ZÁRVA,Beton.Hofi
,"INTERREGNUM
Beton.Hofi",9,,1,274906,INTERREGNUM,Beton.Hofi
,"VIZIPAÓK
Beton.Hofi",10,,1,272089,VIZIPAÓK,Beton.Hofi
,"PONT JÓ
Beton.Hofi, ANUBII$",2,35.0,26,267408,PONT JÓ,"Beton.Hofi, ANUBII$"
,"SHOW ME WHAT YOU GOT
VZS, JOJO, KKevin",1,2.0,5,263854,SHOW ME WHAT YOU GOT,"VZS, JOJO, KKevin"
,"MAGIC
Beton.Hofi",13,,1,255417,MAGIC,Beton.Hofi
,"ANGYALOK
Beton.Hofi",8,85.0,37,248449,ANGYALOK,Beton.Hofi
,"AZT MONDJÁK
Beton.Hofi, Dan Pinto",15,,1,248271,AZT MONDJÁK,"Beton.Hofi, Dan Pinto"
,"POKOL
Beton.Hofi",8,,1,247484,POKOL,Beton.Hofi
,"SHAKE DAT
VINI, BELANO",2,3.0,3,227758,SHAKE DAT,"VINI, BELANO"
,"VILIBÁ
Beton.Hofi, don sea",18,,1,217050,VILIBÁ,"Beton.Hofi, don sea"
,"FEGYHOUSE
Beton.Hofi",19,,1,214064,FEGYHOUSE,Beton.Hofi
,"TARR BÉLA
Beton.Hofi",8,142.0,4,200978,TARR BÉLA,Beton.Hofi
,"MEK-MEK FREESTYLE
Beton.Hofi",21,,1,190989,MEK-MEK FREESTYLE,Beton.Hofi
,"Passenger Princess
mollywood",4,4.0,2,180567,Passenger Princess,mollywood
,"BULLSHIT
BELANO, BSW",3,5.0,4,176500,BULLSHIT,"BELANO, BSW"
,"AFTERPARTY
Bruno X Spacc, mollywood",1,7.0,23,148625,AFTERPARTY,"Bruno X Spacc, mollywood"
,"Kimaradás
Mario, Ferike",7,13.0,31,132697,Kimaradás,"Mario, Ferike"
,"TOP TIER
Bruno X Spacc",1,11.0,10,132248,TOP TIER,Bruno X Spacc
,"OHMAMMA
DESH, Young Fly",1,19.0,29,132181,OHMAMMA,"DESH, Young Fly"
,"díva
Dzsúdló, DESH",3,14.0,81,131084,díva,"Dzsúdló, DESH"
,"DtMF
Bad Bunny",4,6.0,4,128391,DtMF,Bad Bunny
,"Tití Me Preguntó
Bad Bunny",8,8.0,3,127092,Tití Me Preguntó,Bad Bunny
,"BOTRÁNY
VINI",5,12.0,12,125938,BOTRÁNY,VINI
,"Lush Life
Zara Larsson",4,15.0,15,125381,Lush Life,Zara Larsson
,"RENDŐR BÁCSI, KÉREM
VZS",6,18.0,24,124706,"RENDŐR BÁCSI, KÉREM",VZS
,"PANNONIA
DESH, Young Fly, Azahriah",1,17.0,83,122210,PANNONIA,"DESH, Young Fly, Azahriah"
,"STARBOY
BELANO",3,22.0,16,120702,STARBOY,BELANO
,"WAKE N BAKE
VINI, KKevin",9,16.0,3,120282,WAKE N BAKE,"VINI, KKevin"
,"Babydoll
Dominic Fike",34,34.0,4,119373,Babydoll,Dominic Fike
,"The Fate of Ophelia
Taylor Swift",2,23.0,21,117953,The Fate of Ophelia,Taylor Swift
,"Lidokain
BSW, ByeAlex és a Slepp",3,25.0,81,116703,Lidokain,"BSW, ByeAlex és a Slepp"
,"DADDY
Mirror Glimpse",1,21.0,15,116332,DADDY,Mirror Glimpse
,"Raindance (feat. Tems)
Dave, Tems",11,27.0,10,112546,Raindance (feat. Tems),"Dave, Tems"
,"BUDAI GETTÓ
VINI, VZS, Tirpa, Burai",15,26.0,16,111006,BUDAI GETTÓ,"VINI, VZS, Tirpa, Burai"
,"WHERE IS MY HUSBAND!
RAYE",9,24.0,23,110791,WHERE IS MY HUSBAND!,RAYE
,"Strawberry
DESH",1,33.0,96,110255,Strawberry,DESH
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",45,63.0,8,109947,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"SUV
DESH, Young Fly",1,32.0,83,107374,SUV,"DESH, Young Fly"
,"NUEVAYoL
Bad Bunny",6,10.0,4,106282,NUEVAYoL,Bad Bunny
,"End of Beginning
Djo",4,28.0,14,99656,End of Beginning,Djo
,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",24,36.0,8,98973,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
,"Nosztalgia
Manuel",1,41.0,55,96171,Nosztalgia,Manuel
,"Sex Music
mollywood, KKevin",9,9.0,2,94466,Sex Music,"mollywood, KKevin"
,"Ordinary
Alex Warren",5,31.0,55,94458,Ordinary,Alex Warren
,"MEGGYFÁN
Beton.Hofi, ANUBII$",5,53.0,103,94298,MEGGYFÁN,"Beton.Hofi, ANUBII$"
,"Úgy Hiszem
Pogány Induló",1,48.0,108,91118,Úgy Hiszem,Pogány Induló
,"Afro Beat
Pogány Induló, ANUBII$",8,55.0,157,87945,Afro Beat,"Pogány Induló, ANUBII$"
,"MOKKA
DESH, Young Fly",1,44.0,84,87694,MOKKA,"DESH, Young Fly"
,"SÖTÉT
Dzsúdló",2,40.0,42,86469,SÖTÉT,Dzsúdló
,"vemzavr!
Azahriah, Young Fly",1,49.0,24,85834,vemzavr!,"Azahriah, Young Fly"
,"VÁRJ MEG
VZS, RZMVS",6,38.0,27,85728,VÁRJ MEG,"VZS, RZMVS"
,"Passport
BSW",1,43.0,64,85079,Passport,BSW
,"SeanPaul
Burai, Mario, VZS, Goore, Kretz",22,30.0,11,84906,SeanPaul,"Burai, Mario, VZS, Goore, Kretz"
,"Felednéd
Azahriah, DESH",6,47.0,93,84312,Felednéd,"Azahriah, DESH"
,"Rodalinda
VINI, Bruno",35,46.0,15,84190,Rodalinda,"VINI, Bruno"
,"KERTES HÁZ
LMEN PRALA",33,42.0,10,82073,KERTES HÁZ,LMEN PRALA
,"BAGIRA
Beton.Hofi, Hundred Sins",1,65.0,184,82048,BAGIRA,"Beton.Hofi, Hundred Sins"
,"PROSECCO
KKevin, Bruno X Spacc",12,56.0,87,81604,PROSECCO,"KKevin, Bruno X Spacc"
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",8,52.0,36,81291,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"Jégszívű lány
BSW, Nagy Bogi",18,59.0,9,81112,Jégszívű lány,"BSW, Nagy Bogi"
,"ÉDEN
Mehringer, sosehol",8,45.0,13,80433,ÉDEN,"Mehringer, sosehol"
,"Papírom
RZMVS",23,54.0,20,80341,Papírom,RZMVS
,"12 to 12
sombr",20,51.0,31,80337,12 to 12,sombr
,"NU MĂ LASĂ
Tóth Andi, BELANO",1,50.0,12,78616,NU MĂ LASĂ,"Tóth Andi, BELANO"
,"Talpra cigányok
DESH",1,67.0,44,78175,Talpra cigányok,DESH
,"back to friends
sombr",21,58.0,50,75943,back to friends,sombr
,"CHOCO MOMMY
DESH, Young Fly",5,73.0,83,75490,CHOCO MOMMY,"DESH, Young Fly"
,"Rampapapam
DESH, Young Fly, Azahriah, Lord Panamo",1,57.0,136,74413,Rampapapam,"DESH, Young Fly, Azahriah, Lord Panamo"
,"Homewrecker
sombr",57,60.0,3,74344,Homewrecker,sombr
,"Brazil Fánk
VALMAR, Bruno X Spacc, KKevin",9,61.0,13,74079,Brazil Fánk,"VALMAR, Bruno X Spacc, KKevin"
,"Vinnipu
DESH",1,69.0,42,73781,Vinnipu,DESH
,"Apály
DESH",19,64.0,44,72737,Apály,DESH
,"Lelkem, Nyugodj
Pogány Induló",3,66.0,23,71691,"Lelkem, Nyugodj",Pogány Induló
,"Klitorisz
VINI",56,68.0,9,71541,Klitorisz,VINI
,"ICE SPICE
DESH",7,71.0,14,70938,ICE SPICE,DESH
,"SOFIA COPPOLA
Beton.Hofi, ANUBII$",7,83.0,61,70297,SOFIA COPPOLA,"Beton.Hofi, ANUBII$"
,"EoO
Bad Bunny",29,39.0,3,69295,EoO,Bad Bunny
,"Love Me Not
Ravyn Lenae",22,70.0,52,68351,Love Me Not,Ravyn Lenae
,"BAILE INoLVIDABLE
Bad Bunny",21,37.0,4,67709,BAILE INoLVIDABLE,Bad Bunny
,"Papaoutai - Afro Soul
mikeeysmind, Chill77, Unjaps",15,76.0,2,66604,Papaoutai - Afro Soul,"mikeeysmind, Chill77, Unjaps"
,"Just Keep Watching (From F1® The Movie)
Tate McRae, F1 The Album",9,82.0,9,65057,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album"
,"Demo
Manuel",8,81.0,31,64130,Demo,Manuel
,"WildWest
RZMVS",35,80.0,4,63085,WildWest,RZMVS
,"PLAYBÁNIA
Beton.Hofi, Hundred Sins",10,88.0,9,62477,PLAYBÁNIA,"Beton.Hofi, Hundred Sins"
,"Drag Path
Twenty One Pilots",93,,1,62076,Drag Path,Twenty One Pilots
,"Man I Need
Olivia Dean",63,79.0,9,61961,Man I Need,Olivia Dean
,"SZEPTEMBER VÉGÉN - STRESSZ
Mehringer, sosehol",15,84.0,20,61541,SZEPTEMBER VÉGÉN - STRESSZ,"Mehringer, sosehol"
,"LEVÉL
DESH",4,78.0,64,61532,LEVÉL,DESH
,"Megcsalok veled akárkit
Marics Peti",2,77.0,15,61366,Megcsalok veled akárkit,Marics Peti
,"No Broke Boys
Disco Lines, Tinashe",40,94.0,34,60510,No Broke Boys,"Disco Lines, Tinashe"
,"So Easy (To Fall In Love)
Olivia Dean",86,96.0,9,60286,So Easy (To Fall In Love),Olivia Dean
,"SISS
Bruno X Spacc",17,103.0,26,58400,SISS,Bruno X Spacc
,"BAKPAKK
DESH, Young Fly, Azahriah",1,100.0,86,58360,BAKPAKK,"DESH, Young Fly, Azahriah"
,"Beef
bongor, Kapitány Máté",6,93.0,17,58106,Beef,"bongor, Kapitány Máté"
,"SZÉTSZEDLEK
BELANO, VZS",14,95.0,13,56747,SZÉTSZEDLEK,"BELANO, VZS"
,"S&M
Rihanna",75,108.0,9,56702,S&M,Rihanna
,"Spanom
Dzsúdló",39,87.0,8,56380,Spanom,Dzsúdló
,"Romantika
mollywood, Bruno X Spacc",29,29.0,2,55700,Romantika,"mollywood, Bruno X Spacc"
,"BANDANA
KKevin, DESH, Young Fly",2,114.0,83,55479,BANDANA,"KKevin, DESH, Young Fly"
,"PRESSO
Dzsúdló",2,90.0,26,54611,PRESSO,Dzsúdló
,"Függőség
Nagy Bogi",72,72.0,2,53242,Függőség,Nagy Bogi
,"Phantom
EsDeeKid, Rico Ace",36,105.0,21,53162,Phantom,"EsDeeKid, Rico Ace"
,"Csurran, cseppen
Majka",1,109.0,58,53007,"Csurran, cseppen",Majka
,"LOCA
Bruno X Spacc, KÚTVÖLGYI SÁRA",3,119.0,24,52995,LOCA,"Bruno X Spacc, KÚTVÖLGYI SÁRA"
,"MARIO
LMEN PRALA, BSW",48,89.0,4,52441,MARIO,"LMEN PRALA, BSW"
,"TISZALÖK
Beton.Hofi, ajsa luna, Hundred Sins, Beatrick",7,107.0,9,52105,TISZALÖK,"Beton.Hofi, ajsa luna, Hundred Sins, Beatrick"
,"Mind1
Azahriah, DESH",1,115.0,248,52056,Mind1,"Azahriah, DESH"
,"Osztriga
DESH",2,121.0,61,51933,Osztriga,DESH
,"Fame is a Gun
Addison Rae",86,117.0,9,51868,Fame is a Gun,Addison Rae
,"Tiara
Manuel",1,106.0,106,51851,Tiara,Manuel
,"egyszerű
Dzsúdló",12,92.0,8,51466,egyszerű,Dzsúdló
,"Mámor
Pogány Induló",2,127.0,108,50924,Mámor,Pogány Induló
,"Entitás
Manuel, Dzsúdló",2,99.0,9,50920,Entitás,"Manuel, Dzsúdló"
