rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"kota ini tak sama tanpamu
Nadhif Basalamah",1,1.0,13,10465434,kota ini tak sama tanpamu,Nadhif Basalamah
,"Sedia Aku Sebelum Hujan
Idgitaf",1,2.0,19,9479181,Sedia Aku Sebelum Hujan,Idgitaf
,"Bahagia Lagi
Piche Kota",3,3.0,9,9442145,Bahagia Lagi,Piche Kota
,"everything u are
Hindia",2,4.0,51,7149396,everything u are,Hindia
,"bergema sampai selamanya
Nadhif Basalamah",2,5.0,49,6823428,bergema sampai selamanya,Nadhif Basalamah
,"Ada titik-titik di ujung doa
Sal Priadi",6,8.0,8,6666459,Ada titik-titik di ujung doa,Sal Priadi
,"Monolog
Pamungkas",1,6.0,53,6351832,Monolog,Pamungkas
,"Dirimu Yang Dulu
Anggis Devaki",7,7.0,10,5527019,Dirimu Yang Dulu,Anggis Devaki
,"Bersenja Gurau
Raim Laode",9,9.0,14,5297230,Bersenja Gurau,Raim Laode
,"Lesung Pipi
Raim Laode",2,10.0,47,5230825,Lesung Pipi,Raim Laode
,"Dan...
Sheila On 7",6,11.0,53,4528527,Dan...,Sheila On 7
,"Nina
.Feast",1,14.0,79,4478533,Nina,.Feast
,"Tarot
.Feast",1,12.0,60,4470632,Tarot,.Feast
,"Lihat Kebunku (Taman Bunga)
Aku Jeje",11,15.0,22,4302866,Lihat Kebunku (Taman Bunga),Aku Jeje
,"Cincin
Hindia",7,13.0,137,4291830,Cincin,Hindia
,"Monokrom
Tulus",12,16.0,392,4029718,Monokrom,Tulus
,"Rumah Ke Rumah
Hindia",7,21.0,326,4000456,Rumah Ke Rumah,Hindia
,"penjaga hati
Nadhif Basalamah",1,18.0,125,3969629,penjaga hati,Nadhif Basalamah
,"Mangu
Fourtwnty, Charita Utami",1,22.0,54,3779528,Mangu,"Fourtwnty, Charita Utami"
,"Serana
For Revenge",1,24.0,198,3752160,Serana,For Revenge
,"Menerima Luka
Natasya Sabella",19,19.0,9,3741406,Menerima Luka,Natasya Sabella
