rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Gehra Hua (From ""Dhurandhar"")
Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",1,1.0,13,7189674,"Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan"
,"Sahiba
Aditya Rikhari",1,2.0,34,5593914,Sahiba,Aditya Rikhari
,"Dooron Dooron
Paresh Pahuja, Shiv Tandan, Meghdeep Bose",3,4.0,21,5412616,Dooron Dooron,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose"
,"Samjhawan
Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",3,3.0,45,5149914,Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal"
,"Khat
Navjot Ahuja",5,10.0,6,5023486,Khat,Navjot Ahuja
,"Arz Kiya Hai | Coke Studio Bharat
Anuv Jain",5,6.0,27,4874975,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain
,"Finding Her
Kushagra, Bharath, Saaheal",1,5.0,51,4822515,Finding Her,"Kushagra, Bharath, Saaheal"
,"Apna Bana Le
Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",1,7.0,122,4530493,Apna Bana Le,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya"
,"Shararat (From ""Dhurandhar"")
Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",7,8.0,12,4519071,"Shararat (From ""Dhurandhar"")","Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas"
,"Mann Mera
Gajendra Verma",7,12.0,120,3906098,Mann Mera,Gajendra Verma
,"Saiyaara
Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil",1,11.0,37,3873570,Saiyaara,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil"
,"Ishq
Faheem Abdullah, Rauhan Malik, Amir Ameer",2,13.0,100,3830331,Ishq,"Faheem Abdullah, Rauhan Malik, Amir Ameer"
,"For A Reason
Karan Aujla, Ikky",2,9.0,27,3741921,For A Reason,"Karan Aujla, Ikky"
,"Jo Tum Mere Ho
Anuv Jain",1,15.0,81,3673969,Jo Tum Mere Ho,Anuv Jain
,"Raanjhan (From ""Do Patti"")
Sachet-Parampara, Parampara Tandon, Kausar Munir",1,16.0,71,3668528,"Raanjhan (From ""Do Patti"")","Sachet-Parampara, Parampara Tandon, Kausar Munir"
,"Dhurandhar - Title Track (From ""Dhurandhar"")
Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan",3,14.0,19,3616173,"Dhurandhar - Title Track (From ""Dhurandhar"")","Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan"
,"Tere Liye
Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan",11,18.0,40,3546684,Tere Liye,"Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan"
,"Sitaare (From ""Ikkis"")
Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",18,25.0,12,3510795,"Sitaare (From ""Ikkis"")","Arijit Singh, White Noise Collectives, Amitabh Bhattacharya"
,"Ishqa Ve
Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",17,20.0,14,3407190,Ishqa Ve,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon"
,"Ishq Jalakar - Karvaan
Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi",4,19.0,13,3403232,Ishq Jalakar - Karvaan,"Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi"
,"Haseen
Talwiinder, NDS, Rippy Grewal",2,17.0,39,3350993,Haseen,"Talwiinder, NDS, Rippy Grewal"
,"Tere Bina
A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",8,21.0,79,3340890,Tere Bina,"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan"
,"Sheesha - Aakhya Mai Aakh Ghali Jo Beran
Mitta Ror, Swara Verma",23,30.0,6,3229886,Sheesha - Aakhya Mai Aakh Ghali Jo Beran,"Mitta Ror, Swara Verma"
,"Boyfriend
Karan Aujla, Ikky",9,22.0,27,3194790,Boyfriend,"Karan Aujla, Ikky"
,"Agar Tum Saath Ho (From ""Tamasha"")
Alka Yagnik, Arijit Singh",4,26.0,343,3181856,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh"
,"KALYANI
ARJN, KDS, FIFTY4, RONN",21,24.0,13,3098646,KALYANI,"ARJN, KDS, FIFTY4, RONN"
,"Tum Ho Toh (From ""Saiyaara"")
Vishal Mishra, Hansika Pareek, Raj Shekhar",3,29.0,32,2951722,"Tum Ho Toh (From ""Saiyaara"")","Vishal Mishra, Hansika Pareek, Raj Shekhar"
,"Lutt Le Gaya (From ""Dhurandhar"")
Shashwat Sachdev, Simran Choudhary",26,27.0,11,2916572,"Lutt Le Gaya (From ""Dhurandhar"")","Shashwat Sachdev, Simran Choudhary"
,"Ye Tune Kya Kiya
Pritam, Javed Bashir, Rajat Arora",9,31.0,99,2858901,Ye Tune Kya Kiya,"Pritam, Javed Bashir, Rajat Arora"
,"Not Guilty
Dhanda Nyoliwala",23,32.0,7,2831074,Not Guilty,Dhanda Nyoliwala
,"Mast Magan (From ""2 States)
Arijit Singh, Chinmayi",28,38.0,194,2813158,"Mast Magan (From ""2 States)","Arijit Singh, Chinmayi"
,"Naal Nachna (From ""Dhurandhar"")
Afsana Khan, Reble, Shashwat Sachdev, Irshad Kamil",32,34.0,11,2806388,"Naal Nachna (From ""Dhurandhar"")","Afsana Khan, Reble, Shashwat Sachdev, Irshad Kamil"
,"Dil Lagana Mana Tha
Krish Mondal, Kishore Mondal, Devv Sadaana, Kunaal Vermaa",9,23.0,5,2676447,Dil Lagana Mana Tha,"Krish Mondal, Kishore Mondal, Devv Sadaana, Kunaal Vermaa"
,"Thodi Si Daaru
AP Dhillon, Shreya Ghoshal",3,33.0,30,2659380,Thodi Si Daaru,"AP Dhillon, Shreya Ghoshal"
,"Barbaad (From ""Saiyaara"")
The Rish, Jubin Nautiyal",5,37.0,32,2638478,"Barbaad (From ""Saiyaara"")","The Rish, Jubin Nautiyal"
,"5-7
Karan Aujla, Mxrci",36,,1,2624270,5-7,"Karan Aujla, Mxrci"
,"Ehsaas
Faheem Abdullah, Duha Shah, Vaibhav Pani, Hyder Dar",12,35.0,34,2604489,Ehsaas,"Faheem Abdullah, Duha Shah, Vaibhav Pani, Hyder Dar"
,"Darkhaast
Mithoon, Arijit Singh, Sunidhi Chauhan, Sayeed Quadri",38,41.0,11,2602654,Darkhaast,"Mithoon, Arijit Singh, Sunidhi Chauhan, Sayeed Quadri"
,"Zaalima
Arijit Singh, Harshdeep Kaur",27,36.0,62,2595282,Zaalima,"Arijit Singh, Harshdeep Kaur"
,"Teri Deewani
Kailash Kher, Paresh Kamath, Naresh Kamath",28,28.0,63,2569707,Teri Deewani,"Kailash Kher, Paresh Kamath, Naresh Kamath"
,"High On You
Jind Universe",22,39.0,34,2566546,High On You,Jind Universe
,"Humdard (From ""Ek Villain"")
Arijit Singh",15,46.0,194,2543695,"Humdard (From ""Ek Villain"")",Arijit Singh
,"Kithe Reh Gaya
Neeti Mohan, Abhijit Vaghani",43,44.0,4,2484823,Kithe Reh Gaya,"Neeti Mohan, Abhijit Vaghani"
