rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Týnda kynslóðin
AL0R1AN, Alaska1867, Gross",1,,1,48049,Týnda kynslóðin,"AL0R1AN, Alaska1867, Gross"
,"Kominn heim
Kristmundur Axel, Bubbi Morthens",2,2.0,4,36133,Kominn heim,"Kristmundur Axel, Bubbi Morthens"
,"Dvel ég í draumahöll
Hafdís Huld",1,3.0,374,28864,Dvel ég í draumahöll,Hafdís Huld
,"Litlar stjörnur
Hafdís Huld",2,8.0,322,23062,Litlar stjörnur,Hafdís Huld
,"Man I Need
Olivia Dean",5,5.0,27,22808,Man I Need,Olivia Dean
,"Lush Life
Zara Larsson",3,4.0,15,22364,Lush Life,Zara Larsson
,"DtMF
Bad Bunny",1,1.0,4,22330,DtMF,Bad Bunny
,"Sofðu unga ástin mín
Hafdís Huld",3,9.0,322,22167,Sofðu unga ástin mín,Hafdís Huld
,"Óskasteinar
Hafdís Huld",4,10.0,322,21764,Óskasteinar,Hafdís Huld
,"Sofa urtubörn
Hafdís Huld",5,13.0,322,20068,Sofa urtubörn,Hafdís Huld
,"Ljós
Hafdís Huld",7,17.0,322,19590,Ljós,Hafdís Huld
,"Bíum bíum bambaló
Hafdís Huld",9,16.0,322,19367,Bíum bíum bambaló,Hafdís Huld
,"WHERE IS MY HUSBAND!
RAYE",6,11.0,23,19304,WHERE IS MY HUSBAND!,RAYE
,"Ævintýralönd
Hafdís Huld",10,18.0,270,19023,Ævintýralönd,Hafdís Huld
,"So Easy (To Fall In Love)
Olivia Dean",14,14.0,9,18631,So Easy (To Fall In Love),Olivia Dean
,"Góða nótt
Hafdís Huld",13,19.0,270,18572,Góða nótt,Hafdís Huld
,"End of Beginning
Djo",1,12.0,9,18394,End of Beginning,Djo
,"Hugsa alltof mikið um þig
Izleifur, Elín Hall",18,28.0,5,17857,Hugsa alltof mikið um þig,"Izleifur, Elín Hall"
,"Bí bí og blaka
Hafdís Huld",15,24.0,270,17528,Bí bí og blaka,Hafdís Huld
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",20,36.0,8,17453,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"Sofðu
Hafdís Huld",16,26.0,270,17145,Sofðu,Hafdís Huld
,"Frost er úti fuglinn minn
Hafdís Huld",16,25.0,270,17057,Frost er úti fuglinn minn,Hafdís Huld
,"Vopn
Birnir, Aron Can",2,20.0,40,16884,Vopn,"Birnir, Aron Can"
,"Nóttin læðist inn
Hafdís Huld",18,29.0,270,16824,Nóttin læðist inn,Hafdís Huld
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,21.0,35,16547,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"Elli Egils
Herra Hnetusmjör",1,27.0,80,16514,Elli Egils,Herra Hnetusmjör
,"The Fate of Ophelia
Taylor Swift",2,22.0,21,16081,The Fate of Ophelia,Taylor Swift
,"Þú ert
Hafdís Huld",19,32.0,270,15988,Þú ert,Hafdís Huld
,"Tití Me Preguntó
Bad Bunny",7,7.0,3,15231,Tití Me Preguntó,Bad Bunny
,"Sólskin
Hafdís Huld",14,35.0,270,15219,Sólskin,Hafdís Huld
,"Raindance (feat. Tems)
Dave, Tems",13,31.0,9,14737,Raindance (feat. Tems),"Dave, Tems"
,"Miklu betri einn
ELVAR",1,34.0,9,14672,Miklu betri einn,ELVAR
,"NUEVAYoL
Bad Bunny",3,6.0,4,14456,NUEVAYoL,Bad Bunny
,"I Just Might
Bruno Mars",10,38.0,7,13843,I Just Might,Bruno Mars
,"Ampast upp
HelgiT",1,23.0,4,13805,Ampast upp,HelgiT
,"Ordinary
Alex Warren",5,37.0,9,13667,Ordinary,Alex Warren
,"LXS
Birnir",1,39.0,9,13615,LXS,Birnir
,"Die On This Hill
SIENNA SPIRO",26,41.0,9,12793,Die On This Hill,SIENNA SPIRO
,"Babydoll
Dominic Fike",39,54.0,4,12609,Babydoll,Dominic Fike
,"Blágræn
Kristmundur Axel, GDRN",40,92.0,3,12505,Blágræn,"Kristmundur Axel, GDRN"
,"Midnight Sun
Zara Larsson",41,44.0,9,12220,Midnight Sun,Zara Larsson
,"Efsta hæð
tatjana, Birnir",6,43.0,9,12121,Efsta hæð,"tatjana, Birnir"
,"Homewrecker
sombr",43,47.0,3,12103,Homewrecker,sombr
,"12 to 12
sombr",18,45.0,9,11884,12 to 12,sombr
,"BAILE INoLVIDABLE
Bad Bunny",5,15.0,4,11760,BAILE INoLVIDABLE,Bad Bunny
,"iloveitiloveitiloveit
Bella Kay",46,190.0,2,11737,iloveitiloveitiloveit,Bella Kay
,"back to friends
sombr",20,50.0,9,11499,back to friends,sombr
,"No Broke Boys
Disco Lines, Tinashe",29,48.0,9,11477,No Broke Boys,"Disco Lines, Tinashe"
,"Superman
Saint Pete, Nova Ísland",1,55.0,22,11464,Superman,"Saint Pete, Nova Ísland"
,"Dreams - 2004 Remaster
Fleetwood Mac",30,51.0,9,11343,Dreams - 2004 Remaster,Fleetwood Mac
,"Ljósin Kvikna
Aron Can, Alaska1867, Þormóður",2,57.0,9,11328,Ljósin Kvikna,"Aron Can, Alaska1867, Þormóður"
,"Komdu til baka
Kristmundur Axel, Júlí Heiðar",52,68.0,4,11172,Komdu til baka,"Kristmundur Axel, Júlí Heiðar"
,"nenni ekki á klúbb
Gross, AL0R1AN",53,,1,10646,nenni ekki á klúbb,"Gross, AL0R1AN"
,"Tvíburar
ISSI, Daniil",7,40.0,3,10497,Tvíburar,"ISSI, Daniil"
,"Í Dag Í Nótt Á Morgun
Kristjan Saenz",17,46.0,3,10436,Í Dag Í Nótt Á Morgun,Kristjan Saenz
,"Leyndarmál
Ásgeir",39,65.0,9,10368,Leyndarmál,Ásgeir
,"Rómeó og Júlía
Bubbi Morthens",21,59.0,9,10179,Rómeó og Júlía,Bubbi Morthens
,"Tala minn skít
Saint Pete, Herra Hnetusmjör",3,58.0,9,10121,Tala minn skít,"Saint Pete, Herra Hnetusmjör"
,"Chains of Love
Charli xcx",59,132.0,2,10010,Chains of Love,Charli xcx
,"Stingum Af
Mugison",49,71.0,9,9951,Stingum Af,Mugison
,"Lífsstíll
Floni, Birnir",1,63.0,9,9853,Lífsstíll,"Floni, Birnir"
,"EoO
Bad Bunny",16,30.0,3,9802,EoO,Bad Bunny
,"Iris
The Goo Goo Dolls",46,64.0,9,9796,Iris,The Goo Goo Dolls
,"E85
Don Toliver",64,66.0,4,9794,E85,Don Toliver
,"Esjan
BRÍET",2,73.0,9,9539,Esjan,BRÍET
,"Creep
Radiohead",44,62.0,9,9490,Creep,Radiohead
,"Wuthering Heights - 2018 Remaster
Kate Bush",67,185.0,2,9376,Wuthering Heights - 2018 Remaster,Kate Bush
,"Every Breath You Take
The Police",27,52.0,9,9313,Every Breath You Take,The Police
,"Katowice
Izleifur",8,53.0,5,9303,Katowice,Izleifur
,"Win win
Birnir",7,70.0,9,9184,Win win,Birnir
,"The Chain - 2004 Remaster
Fleetwood Mac",51,79.0,9,9029,The Chain - 2004 Remaster,Fleetwood Mac
,"Landslide
Fleetwood Mac",43,89.0,9,8823,Landslide,Fleetwood Mac
,"Far
Birnir",1,77.0,9,8638,Far,Birnir
,"POPPSTIRNI
Aron Can",1,91.0,9,8553,POPPSTIRNI,Aron Can
,"Love Me Not
Ravyn Lenae",32,76.0,9,8497,Love Me Not,Ravyn Lenae
,"Afgan
Bubbi Morthens",36,101.0,9,8439,Afgan,Bubbi Morthens
,"BIRDS OF A FEATHER
Billie Eilish",1,60.0,9,8375,BIRDS OF A FEATHER,Billie Eilish
,"Sólin
Kristmundur Axel, Herra Hnetusmjör",60,,1,8340,Sólin,"Kristmundur Axel, Herra Hnetusmjör"
,"Nice To Each Other
Olivia Dean",68,75.0,9,8318,Nice To Each Other,Olivia Dean
,"Hjá þér
Sálin hans Jóns míns",45,124.0,9,8314,Hjá þér,Sálin hans Jóns míns
,"Dýrð í Dauðaþögn
Ásgeir",75,96.0,9,8291,Dýrð í Dauðaþögn,Ásgeir
,"Það birtir alltaf til
Kristmundur Axel",82,160.0,3,8260,Það birtir alltaf til,Kristmundur Axel
,"Purple Rain
Prince",31,86.0,8,8139,Purple Rain,Prince
,"Piano Man
Billy Joel",63,99.0,9,8132,Piano Man,Billy Joel
,"Headlines
Drake",53,80.0,9,8130,Headlines,Drake
,"The Less I Know The Better
Tame Impala",60,78.0,9,7986,The Less I Know The Better,Tame Impala
,"From The Start
Laufey",20,110.0,9,7927,From The Start,Laufey
,"Drag Path
Twenty One Pilots",88,,1,7913,Drag Path,Twenty One Pilots
,"Love On The Brain
Rihanna",6,61.0,9,7900,Love On The Brain,Rihanna
,"DAISIES
Justin Bieber",1,82.0,9,7779,DAISIES,Justin Bieber
,"Fade Into You
Mazzy Star",52,93.0,9,7776,Fade Into You,Mazzy Star
,"Síróp
Izleifur, Floni",8,74.0,7,7752,Síróp,"Izleifur, Floni"
,"Ástrós
Bubbi Morthens, BRÍET",1,95.0,9,7705,Ástrós,"Bubbi Morthens, BRÍET"
,"Sparks
Coldplay",45,118.0,9,7678,Sparks,Coldplay
,"Hvar ertu nú?
Maron Birnir, Theodór",4,87.0,9,7648,Hvar ertu nú?,"Maron Birnir, Theodór"
,"Body
Don Toliver",46,72.0,4,7618,Body,Don Toliver
,"Beautiful Things
Benson Boone",7,98.0,9,7614,Beautiful Things,Benson Boone
,"Já ég veit
Birnir, Herra Hnetusmjör",1,100.0,9,7598,Já ég veit,"Birnir, Herra Hnetusmjör"
,"gleymmérei
BRÍET, KK",67,67.0,2,7592,gleymmérei,"BRÍET, KK"
,"Saintro
Saint Pete",32,81.0,9,7574,Saintro,Saint Pete
,"I've Seen It
Olivia Dean",78,97.0,9,7552,I've Seen It,Olivia Dean
,"Rólegur kúreki
BRÍET",1,90.0,9,7546,Rólegur kúreki,BRÍET
,"Fallegur dagur
Bubbi Morthens",56,120.0,9,7540,Fallegur dagur,Bubbi Morthens
,"Baugar
Birnir",2,117.0,9,7516,Baugar,Birnir
,"Lose Control
Teddy Swims",10,107.0,9,7497,Lose Control,Teddy Swims
,"Alveg eins
Egill Airi",56,56.0,2,7447,Alveg eins,Egill Airi
,"Mr. Brightside
The Killers",97,102.0,9,7447,Mr. Brightside,The Killers
,"A Couple Minutes
Olivia Dean",87,104.0,9,7297,A Couple Minutes,Olivia Dean
,"I Thought I Saw Your Face Today
She & Him",54,119.0,9,7294,I Thought I Saw Your Face Today,She & Him
,"Africa
TOTO",69,111.0,9,7262,Africa,TOTO
,"Die With A Smile
Lady Gaga, Bruno Mars",1,85.0,9,7248,Die With A Smile,"Lady Gaga, Bruno Mars"
,"Manchild
Sabrina Carpenter",20,109.0,4,7218,Manchild,Sabrina Carpenter
,"Everywhere - 2017 Remaster
Fleetwood Mac",97,116.0,9,7201,Everywhere - 2017 Remaster,Fleetwood Mac
,"Sultans of Swing
Dire Straits",89,115.0,9,7200,Sultans of Swing,Dire Straits
,"Ég er farinn
Úlfur Úlfur",108,108.0,8,7149,Ég er farinn,Úlfur Úlfur
,"Það er gott að elska
Bubbi Morthens",39,135.0,9,7093,Það er gott að elska,Bubbi Morthens
,"4 Raws
EsDeeKid",36,106.0,21,7026,4 Raws,EsDeeKid
,"RÓA
VÆB",1,105.0,9,7017,RÓA,VÆB
,"Rein Me In (with Olivia Dean)
Sam Fender, Olivia Dean",119,146.0,2,6980,Rein Me In (with Olivia Dean),"Sam Fender, Olivia Dean"
,"Steik og Sushi
Herra Hnetusmjör, Steindi Jr.",2,139.0,2,6946,Steik og Sushi,"Herra Hnetusmjör, Steindi Jr."
,"Stórir strákar
Izleifur, Herra Hnetusmjör",8,125.0,8,6944,Stórir strákar,"Izleifur, Herra Hnetusmjör"
,"Í larí lei
Sigga Beinteins",27,114.0,7,6923,Í larí lei,Sigga Beinteins
,"We Are The People
Empire Of The Sun",83,83.0,8,6900,We Are The People,Empire Of The Sun
,"You Stole The Show
SIENNA SPIRO",56,137.0,8,6869,You Stole The Show,SIENNA SPIRO
,"Syneta
Bubbi Morthens",104,142.0,9,6862,Syneta,Bubbi Morthens
,"One Dance
Drake, Wizkid, Kyla",14,94.0,9,6848,One Dance,"Drake, Wizkid, Kyla"
,"Phantom
EsDeeKid, Rico Ace",37,121.0,24,6842,Phantom,"EsDeeKid, Rico Ace"
,"Y
LADD1",128,182.0,3,6840,Y,LADD1
,"Yellow
Coldplay",53,128.0,9,6825,Yellow,Coldplay
