rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"DARKMONEY (feat. Sfera Ebbasta)
Pyrex, Sfera Ebbasta",1,2.0,2,1764416,DARKMONEY (feat. Sfera Ebbasta),"Pyrex, Sfera Ebbasta"
,"MALE NECESSARIO
Fedez, Marco Masini",2,,1,1708974,MALE NECESSARIO,"Fedez, Marco Masini"
,"TU MI PIACI TANTO
Sayf",3,,1,1648088,TU MI PIACI TANTO,Sayf
,"OSSESSIONE
Samurai Jay, Vito Salamanca",4,,1,1600334,OSSESSIONE,"Samurai Jay, Vito Salamanca"
,"DtMF
Bad Bunny",1,1.0,59,1580633,DtMF,Bad Bunny
,"Che fastidio!
Ditonellapiaga",6,,1,1577226,Che fastidio!,Ditonellapiaga
,"Prima che
nayt",7,,1,1574335,Prima che,nayt
,"DONNE RICCHE - Acoustic Version
TonyPitony",2,6.0,11,1546069,DONNE RICCHE - Acoustic Version,TonyPitony
,"2 GIORNI DI FILA (feat. Sfera Ebbasta, ANNA)
Geolier, Sfera Ebbasta, ANNA",1,5.0,6,1509333,"2 GIORNI DI FILA (feat. Sfera Ebbasta, ANNA)","Geolier, Sfera Ebbasta, ANNA"
,"Labirinto
Luchè",10,,1,1502906,Labirinto,Luchè
,"CANZONE D'AMORE
Geolier",6,7.0,6,1475592,CANZONE D'AMORE,Geolier
,"BAILE INoLVIDABLE
Bad Bunny",4,4.0,59,1446241,BAILE INoLVIDABLE,Bad Bunny
,"Stupida sfortuna
Fulminacci",13,,1,1442547,Stupida sfortuna,Fulminacci
,"NUEVAYoL
Bad Bunny",3,3.0,60,1410112,NUEVAYoL,Bad Bunny
,"QUI CON ME
Serena Brancale",15,,1,1337046,QUI CON ME,Serena Brancale
,"I romantici
Tommaso Paradiso",16,,1,1330819,I romantici,Tommaso Paradiso
,"Magica Favola
Arisa",17,,1,1251436,Magica Favola,Arisa
,"Push It (feat. ANNA)
Kid Yugi, ANNA",1,10.0,8,1181558,Push It (feat. ANNA),"Kid Yugi, ANNA"
,"Amelie
Kid Yugi",2,9.0,4,1145912,Amelie,Kid Yugi
,"Tití Me Preguntó
Bad Bunny",6,11.0,4,1134955,Tití Me Preguntó,Bad Bunny
,"Tristano e Isotta
Kid Yugi",1,8.0,4,1131914,Tristano e Isotta,Kid Yugi
,"Poesie Clandestine
LDA, Aka 7even",22,,1,1122767,Poesie Clandestine,"LDA, Aka 7even"
,"Per sempre sì
Sal Da Vinci",23,,1,1081916,Per sempre sì,Sal Da Vinci
,"Questa domenica
Olly, Juli",1,17.0,26,1080517,Questa domenica,"Olly, Juli"
,"L'Amore Non Mi Basta
Emma",1,16.0,13,1078645,L'Amore Non Mi Basta,Emma
,"AMOR
Achille Lauro",6,25.0,45,1078265,AMOR,Achille Lauro
,"End of Beginning
Djo",2,14.0,14,1041561,End of Beginning,Djo
,"Eroina (feat. Tutti Fenomeni)
Kid Yugi, Tutti Fenomeni",4,13.0,4,1036484,Eroina (feat. Tutti Fenomeni),"Kid Yugi, Tutti Fenomeni"
,"ITALIA STARTER PACK
J-AX",29,,1,1033202,ITALIA STARTER PACK,J-AX
,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,23.0,47,968266,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
,"STELLE
Geolier",4,19.0,6,934048,STELLE,Geolier
,"ARCOBALENO (feat. Anuel AA)
Geolier, Anuel AA",3,22.0,6,922007,ARCOBALENO (feat. Anuel AA),"Geolier, Anuel AA"
,"Non è mica te
Eddie Brock",7,33.0,24,917444,Non è mica te,Eddie Brock
,"Ti penso sempre
chiello",34,,1,908138,Ti penso sempre,chiello
,"La violenza Necessaria (feat. Shiva)
Kid Yugi, Shiva",2,15.0,4,892656,La violenza Necessaria (feat. Shiva),"Kid Yugi, Shiva"
,"EoO
Bad Bunny",18,18.0,6,889695,EoO,Bad Bunny
,"animali notturni
Malika Ayane",37,,1,877178,animali notturni,Malika Ayane
,"Balorda nostalgia
Olly, Juli",1,38.0,55,875732,Balorda nostalgia,"Olly, Juli"
,"Perdutamente
Achille Lauro",24,41.0,7,874959,Perdutamente,Achille Lauro
,"uomo che cade
Tredici Pietro",40,,1,874259,uomo che cade,Tredici Pietro
,"SEI TU
Levante",41,,1,873857,SEI TU,Levante
,"Stella stellina
Ermal Meta",42,,1,862606,Stella stellina,Ermal Meta
,"BERLINO
Ernia",19,35.0,8,853850,BERLINO,Ernia
,"Gilgamesh
Kid Yugi",6,21.0,4,847223,Gilgamesh,Kid Yugi
,"FOTOGRAFIA
Geolier",1,27.0,16,826491,FOTOGRAFIA,Geolier
,"DAVVERODAVVERO
Artie 5ive",33,63.0,7,815580,DAVVERODAVVERO,Artie 5ive
,"Prima o poi
Michele Bravi",47,,1,813053,Prima o poi,Michele Bravi
,"Resta Con Me
Bambole Di Pezza",48,,1,812671,Resta Con Me,Bambole Di Pezza
,"PER TE
Ernia",3,34.0,23,812095,PER TE,Ernia
,"1H
Geolier",5,29.0,6,804877,1H,Geolier
,"Esibizionista
Annalisa",11,36.0,20,798066,Esibizionista,Annalisa
,"le cose che non sai di me
Mara Sattei",52,,1,791594,le cose che non sai di me,Mara Sattei
,"AI AI
Dargen D'Amico",53,,1,778177,AI AI,Dargen D'Amico
,"Chuck Norris (feat. Papa V, RRARI DAL TACCO, Nerissima Serpe)
Kid Yugi, Papa V, RRARI DAL TACCO, Nerissima Serpe",7,24.0,4,764640,"Chuck Norris (feat. Papa V, RRARI DAL TACCO, Nerissima Serpe)","Kid Yugi, Papa V, RRARI DAL TACCO, Nerissima Serpe"
,"OLÈ (feat. Kid Yugi)
Geolier, Kid Yugi",2,31.0,6,761851,OLÈ (feat. Kid Yugi),"Geolier, Kid Yugi"
,"Raindance (feat. Tems)
Dave, Tems",35,42.0,8,755396,Raindance (feat. Tems),"Dave, Tems"
,"La tua canzone
Coez",25,51.0,17,752344,La tua canzone,Coez
,"Ogni volta che non so volare
Enrico Nigiotti",58,,1,751399,Ogni volta che non so volare,Enrico Nigiotti
,"Bullet Ballet (feat. Artie 5ive)
Kid Yugi, Artie 5ive",11,26.0,4,745792,Bullet Ballet (feat. Artie 5ive),"Kid Yugi, Artie 5ive"
,"VOY A LLeVARTE PA PR
Bad Bunny",23,32.0,6,717208,VOY A LLeVARTE PA PR,Bad Bunny
,"Voilà
Elettra Lamborghini",61,,1,710533,Voilà,Elettra Lamborghini
,"Introvabile
Bresh",14,47.0,5,700481,Introvabile,Bresh
,"Avvoltoi
Eddie Brock",63,,1,698477,Avvoltoi,Eddie Brock
,"ACQUARIO
Ultimo",6,44.0,7,695971,ACQUARIO,Ultimo
,"The Fate of Ophelia
Taylor Swift",7,46.0,21,695328,The Fate of Ophelia,Taylor Swift
,"Mostro (feat. Tony Boy)
Kid Yugi, Tony Boy",5,30.0,4,694269,Mostro (feat. Tony Boy),"Kid Yugi, Tony Boy"
,"Jolly
Kid Yugi",8,28.0,4,692837,Jolly,Kid Yugi
,"Ora che non ho più te
Cesare Cremonini",1,56.0,75,677174,Ora che non ho più te,Cesare Cremonini
,"NATURALE
Leo Gassmann",69,,1,663260,NATURALE,Leo Gassmann
,"Nessuna
Luchè",2,61.0,41,658488,Nessuna,Luchè
,"Devastante
Olly, Juli",3,65.0,103,650228,Devastante,"Olly, Juli"
,"PHANTOM (feat. 50 Cent)
Geolier, 50 Cent",1,43.0,9,648532,PHANTOM (feat. 50 Cent),"Geolier, 50 Cent"
,"WHERE IS MY HUSBAND!
RAYE",41,54.0,17,646053,WHERE IS MY HUSBAND!,RAYE
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",15,53.0,34,645143,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"La musica non c'è
Coez",1,57.0,30,644690,La musica non c'è,Coez
,"Ordinary
Alex Warren",12,50.0,49,636227,Ordinary,Alex Warren
,"Mu'Ammar Gheddafi (feat. Simba La Rue)
Kid Yugi, Simba La Rue, FT Kings",12,37.0,4,635929,Mu'Ammar Gheddafi (feat. Simba La Rue),"Kid Yugi, Simba La Rue, FT Kings"
,"La felicità e basta
Maria Antonietta, Colombre",78,,1,632701,La felicità e basta,"Maria Antonietta, Colombre"
,"COME UN LADRO (feat. Shiva)
Pyrex, Shiva",39,39.0,2,621433,COME UN LADRO (feat. Shiva),"Pyrex, Shiva"
,"Amore Disperato
Achille Lauro",5,82.0,9,621237,Amore Disperato,Achille Lauro
,"CAFé CON RON
Bad Bunny, Los Pleneros de la Cresta",49,49.0,3,618731,CAFé CON RON,"Bad Bunny, Los Pleneros de la Cresta"
,"NEON
Sfera Ebbasta, Shiva",1,59.0,46,618730,NEON,"Sfera Ebbasta, Shiva"
,"081
Geolier",1,55.0,12,616490,081,Geolier
,"SOGNO AMERICANO
Artie 5ive",1,69.0,48,607409,SOGNO AMERICANO,Artie 5ive
,"Berserker
Kid Yugi, Ill Santo, FT Kings",5,45.0,11,602060,Berserker,"Kid Yugi, Ill Santo, FT Kings"
,"Per due come noi
Olly, Angelina Mango, Juli",1,66.0,77,601250,Per due come noi,"Olly, Angelina Mango, Juli"
,"Davide e Golia
Kid Yugi",15,40.0,4,592061,Davide e Golia,Kid Yugi
