rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"IRIS OUT
Kenshi Yonezu",1,1.0,24,2486961,IRIS OUT,Kenshi Yonezu
,"Don’t Say You Love Me
Jin",1,3.0,41,2214783,Don’t Say You Love Me,Jin
,"lulu.
Mrs. GREEN APPLE",1,2.0,7,2214199,lulu.,Mrs. GREEN APPLE
,"Blue Jeans
HANA",1,5.0,33,2056536,Blue Jeans,HANA
,"Bakuretsu Aishiteru
M!LK",5,9.0,3,2024481,Bakuretsu Aishiteru,M!LK
,"ROSE
HANA",2,7.0,48,2011564,ROSE,HANA
,"Sukisugite METSU!
M!LK",7,8.0,16,1946754,Sukisugite METSU!,M!LK
,"ライラック
Mrs. GREEN APPLE",1,6.0,98,1883242,ライラック,Mrs. GREEN APPLE
,"AIZO
King Gnu",2,4.0,7,1877883,AIZO,King Gnu
,"SAD SONG
CHANMINA",10,13.0,57,1852813,SAD SONG,CHANMINA
,"花束
back number",4,11.0,181,1627496,花束,back number
,"夢中
BE:FIRST",5,10.0,44,1615627,夢中,BE:FIRST
,"ブルーアンバー
back number",6,14.0,44,1587392,ブルーアンバー,back number
,"Soranji
Mrs. GREEN APPLE",7,12.0,175,1560793,Soranji,Mrs. GREEN APPLE
,"Cold Night
HANA",11,19.0,5,1550902,Cold Night,HANA
,"ハッピーエンド
back number",9,15.0,128,1508788,ハッピーエンド,back number
,"ダーリン
Mrs. GREEN APPLE",2,16.0,58,1503094,ダーリン,Mrs. GREEN APPLE
,"点描の唄
Mrs. GREEN APPLE, Sonoko Inoue",9,17.0,354,1491783,点描の唄,"Mrs. GREEN APPLE, Sonoko Inoue"
,"ハレンチ
CHANMINA",19,28.0,60,1454222,ハレンチ,CHANMINA
,"NON STOP
HANA",3,29.0,12,1445947,NON STOP,HANA
,"革命道中 - On The Way
AiNA THE END",4,18.0,34,1414161,革命道中 - On The Way,AiNA THE END
,"高嶺の花子さん
back number",8,20.0,365,1382269,高嶺の花子さん,back number
,"JANE DOE
Kenshi Yonezu, Hikaru Utada",2,23.0,23,1360164,JANE DOE,"Kenshi Yonezu, Hikaru Utada"
,"水平線
back number",1,22.0,237,1356994,水平線,back number
,"Drop
HANA",15,37.0,56,1352878,Drop,HANA
,"僕のこと
Mrs. GREEN APPLE",15,25.0,169,1342297,僕のこと,Mrs. GREEN APPLE
,"Kaiju
sakanaction",1,21.0,54,1330519,Kaiju,sakanaction
,"Kaiju no Hanauta
Vaundy",1,27.0,270,1328828,Kaiju no Hanauta,Vaundy
,"Theater
King & Prince",9,26.0,10,1292204,Theater,King & Prince
