rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"MOON
Stormy",1,1.0,107,149931,MOON,Stormy
,"Bali maak
Amine Farsi, Stormy",1,2.0,18,137903,Bali maak,"Amine Farsi, Stormy"
,"TAF TAF
OldyGotTheSound, Anys, Shaw",1,3.0,39,126032,TAF TAF,"OldyGotTheSound, Anys, Shaw"
,"Raindance (feat. Tems)
Dave, Tems",4,6.0,11,117991,Raindance (feat. Tems),"Dave, Tems"
,"Dorororo
Gustavo 51",1,4.0,10,117873,Dorororo,Gustavo 51
,"NGHAMER
Bayadis, Manal, Shaw",4,5.0,18,117428,NGHAMER,"Bayadis, Manal, Shaw"
,"DAZOU LYAM
Shaw",3,7.0,28,98842,DAZOU LYAM,Shaw
,"BOOMX3
ElGrandeToto",1,9.0,10,93043,BOOMX3,ElGrandeToto
,"WALLAHI
Shaw",1,8.0,55,91285,WALLAHI,Shaw
,"RIRI&ROCKY
Najm, Manal",8,11.0,32,89966,RIRI&ROCKY,"Najm, Manal"
,"INSOMNIA HOTEL
Najm, ElGrandeToto",2,13.0,7,83088,INSOMNIA HOTEL,"Najm, ElGrandeToto"
,"3DABI
Draganov",1,10.0,137,77679,3DABI,Draganov
,"BON COURAGE
Draganov",1,12.0,35,77350,BON COURAGE,Draganov
,"SO HIGH
Stormy",13,14.0,107,76661,SO HIGH,Stormy
,"Mizane
Stormy, Inkonnu",5,15.0,156,73920,Mizane,"Stormy, Inkonnu"
,"MON BÉBÉ
RnBoi",16,25.0,17,69157,MON BÉBÉ,RnBoi
,"BOUHALI
ElGrandeToto",1,19.0,65,67987,BOUHALI,ElGrandeToto
,"BLUE LOVE
ElGrandeToto",1,16.0,115,66586,BLUE LOVE,ElGrandeToto
,"Solo
Uzishettan",13,20.0,5,64627,Solo,Uzishettan
,"Si tu savais
Anys, Stormy",3,17.0,181,64501,Si tu savais,"Anys, Stormy"
,"STALINE
ElGrandeToto",1,23.0,65,63007,STALINE,ElGrandeToto
,"Ma Jolie
LFERDA",10,21.0,104,62525,Ma Jolie,LFERDA
,"PIRATE
Stormy",1,18.0,59,61621,PIRATE,Stormy
,"Tsswirtek
Draganov",5,24.0,22,60533,Tsswirtek,Draganov
,"kafini
TIF, ElGrandeToto",1,32.0,31,60493,kafini,"TIF, ElGrandeToto"
