rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"dopamina
Peso Pluma, Tito Double P",1,1.0,9,8603080,dopamina,"Peso Pluma, Tito Double P"
,"Todo Lo Fue
Lenin Ramírez",2,3.0,6,7795254,Todo Lo Fue,Lenin Ramírez
,"Pvta Luna
Neton Vega",1,2.0,22,7682822,Pvta Luna,Neton Vega
,"7-3
Peso Pluma, Tito Double P",2,5.0,9,7582017,7-3,"Peso Pluma, Tito Double P"
,"Ya Borracho
Herencia De Grandes",4,4.0,15,7548932,Ya Borracho,Herencia De Grandes
,"daño
Peso Pluma, Tito Double P",2,6.0,9,7340076,daño,"Peso Pluma, Tito Double P"
,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",3,9.0,11,6372023,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
,"4x4
Omar Camacho, Victor Mendivil, Angel Almaguer, $HUPE",5,14.0,6,6198890,4x4,"Omar Camacho, Victor Mendivil, Angel Almaguer, $HUPE"
,"2+2
Omar Camacho, Victor Mendivil",1,11.0,35,6145346,2+2,"Omar Camacho, Victor Mendivil"
,"Marlboro Rojo
Fuerza Regida",1,12.0,43,5872993,Marlboro Rojo,Fuerza Regida
,"Pase y Toque
BeatBoy, Victor Mendivil",10,13.0,11,5704413,Pase y Toque,"BeatBoy, Victor Mendivil"
,"BAILE INoLVIDABLE
Bad Bunny",5,7.0,60,5679567,BAILE INoLVIDABLE,Bad Bunny
,"DtMF
Bad Bunny",1,8.0,60,5558577,DtMF,Bad Bunny
,"TU SANCHO
Fuerza Regida",1,17.0,43,5305903,TU SANCHO,Fuerza Regida
,"Cuando No Era Cantante
El Bogueto, Yung Beef",1,19.0,61,5133595,Cuando No Era Cantante,"El Bogueto, Yung Beef"
,"POR SUS BESOS
Tito Double P",1,16.0,33,5130272,POR SUS BESOS,Tito Double P
,"CHAVALITAS
Fuerza Regida",2,18.0,33,5015093,CHAVALITAS,Fuerza Regida
,"tu con el
Peso Pluma, Tito Double P",17,25.0,9,4911303,tu con el,"Peso Pluma, Tito Double P"
,"EoO
Bad Bunny",12,15.0,60,4846151,EoO,Bad Bunny
,"DROGA LETAL
Junior H, Gael Valenzuela, Peso Pluma",10,10.0,2,4844871,DROGA LETAL,"Junior H, Gael Valenzuela, Peso Pluma"
,"Canasteo
Régulo Molina, Oscar Maydon, Neton Vega",6,22.0,6,4717224,Canasteo,"Régulo Molina, Oscar Maydon, Neton Vega"
,"PUES QUE LE HAGO ?
Chuyin",19,23.0,7,4693680,PUES QUE LE HAGO ?,Chuyin
,"MIENTRAS DUERMES
Junior H",8,21.0,59,4394427,MIENTRAS DUERMES,Junior H
,"NUEVAYoL
Bad Bunny",11,20.0,60,4182329,NUEVAYoL,Bad Bunny
,"Mi Entorno
Virlan Garcia",7,27.0,19,4156449,Mi Entorno,Virlan Garcia
,"ni pedo
Peso Pluma, Tito Double P",4,30.0,9,4115328,ni pedo,"Peso Pluma, Tito Double P"
,"ANSIEDAD
Fuerza Regida",7,33.0,43,4017585,ANSIEDAD,Fuerza Regida
,"COQUETA
Fuerza Regida, Grupo Frontera",15,32.0,62,4012426,COQUETA,"Fuerza Regida, Grupo Frontera"
,"Tus Mentiras (En Vivo)
Moy Bobadilla",29,34.0,10,3845129,Tus Mentiras (En Vivo),Moy Bobadilla
,"caperuza
Fuerza Regida",21,36.0,43,3825777,caperuza,Fuerza Regida
,"EN DONDE ESTA$
Junior H, Gael Valenzuela",26,26.0,2,3565628,EN DONDE ESTA$,"Junior H, Gael Valenzuela"
,"DEMENCIA
Junior H, Gael Valenzuela",32,46.0,2,3545957,DEMENCIA,"Junior H, Gael Valenzuela"
,"Tití Me Preguntó
Bad Bunny",2,28.0,3,3523802,Tití Me Preguntó,Bad Bunny
,"putielegante
Peso Pluma, Tito Double P",12,44.0,9,3411288,putielegante,"Peso Pluma, Tito Double P"
