rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"kota ini tak sama tanpamu
Nadhif Basalamah",1,1.0,11,641943,kota ini tak sama tanpamu,Nadhif Basalamah
,"Sedia Aku Sebelum Hujan
Idgitaf",1,2.0,12,571198,Sedia Aku Sebelum Hujan,Idgitaf
,"bergema sampai selamanya
Nadhif Basalamah",3,3.0,52,504449,bergema sampai selamanya,Nadhif Basalamah
,"Don’t Say You Love Me
Jin",1,6.0,41,463712,Don’t Say You Love Me,Jin
,"Bahagia Lagi
Piche Kota",5,12.0,5,446561,Bahagia Lagi,Piche Kota
,"Die On This Hill
SIENNA SPIRO",2,4.0,11,444581,Die On This Hill,SIENNA SPIRO
,"The Fate of Ophelia
Taylor Swift",1,5.0,21,381199,The Fate of Ophelia,Taylor Swift
,"back to friends
sombr",4,7.0,49,360176,back to friends,sombr
,"WILDFLOWER
Billie Eilish",4,11.0,93,358609,WILDFLOWER,Billie Eilish
,"kota ini tak sama tanpamu (with Aziz Harun & Aisha Retno)
Nadhif Basalamah, Aziz Harun, Aisha Retno",9,9.0,9,334721,kota ini tak sama tanpamu (with Aziz Harun & Aisha Retno),"Nadhif Basalamah, Aziz Harun, Aisha Retno"
,"SO ASU
Naykilla",10,10.0,15,327449,SO ASU,Naykilla
,"bittersweet
Madison Beer",7,15.0,19,321403,bittersweet,Madison Beer
,"So Easy (To Fall In Love)
Olivia Dean",12,20.0,19,308096,So Easy (To Fall In Love),Olivia Dean
,"P Ramlee Saloma
Alpha",1,14.0,30,306133,P Ramlee Saloma,Alpha
,"End of Beginning
Djo",2,16.0,26,303572,End of Beginning,Djo
,"penjaga hati
Nadhif Basalamah",1,18.0,124,301033,penjaga hati,Nadhif Basalamah
,"Hanya Aku
Hyper Act",13,19.0,87,298890,Hanya Aku,Hyper Act
,"Bahagiamu Deritaku
Hafiz Suip",14,17.0,35,295631,Bahagiamu Deritaku,Hafiz Suip
,"TABOLA BALE
Silet Open Up, Jacson Seran, Juan Reza, Diva Aurel",1,8.0,32,284568,TABOLA BALE,"Silet Open Up, Jacson Seran, Juan Reza, Diva Aurel"
,"Mangu
Fourtwnty, Charita Utami",1,26.0,45,277486,Mangu,"Fourtwnty, Charita Utami"
,"Who Knows
Daniel Caesar",18,27.0,17,272022,Who Knows,Daniel Caesar
,"Gabriela
KATSEYE",6,21.0,36,266911,Gabriela,KATSEYE
,"I Thought I Saw Your Face Today
She & Him",21,25.0,12,263600,I Thought I Saw Your Face Today,She & Him
,"BIRDS OF A FEATHER
Billie Eilish",1,24.0,93,255518,BIRDS OF A FEATHER,Billie Eilish
,"Dirimu Yang Dulu
Anggis Devaki",25,36.0,6,254282,Dirimu Yang Dulu,Anggis Devaki
,"like JENNIE
JENNIE",1,31.0,51,250014,like JENNIE,JENNIE
,"Dan...
Sheila On 7",24,29.0,44,249437,Dan...,Sheila On 7
