rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Jogodo
Wizkid, Asake",1,1.0,6,1848642,Jogodo,"Wizkid, Asake"
,"Aura Salad
Mavo, SSSoundGawd",2,,1,1423850,Aura Salad,"Mavo, SSSoundGawd"
,"Tumo Weto
Mavo",3,4.0,26,1264039,Tumo Weto,Mavo
,"Turbulence
Wizkid, Asake",2,2.0,5,1213452,Turbulence,"Wizkid, Asake"
,"BODY (danz)
CKay, Mavo",1,5.0,18,1023656,BODY (danz),"CKay, Mavo"
,"Alaye
Wizkid, Asake",3,3.0,5,1020587,Alaye,"Wizkid, Asake"
,"MONEY CONSTANT
DJ Maphorisa, DJ Tunez, Wizkid, Mavo",1,7.0,18,931455,MONEY CONSTANT,"DJ Maphorisa, DJ Tunez, Wizkid, Mavo"
,"2Factor
Young Jonn, Asake, Focalistic",3,9.0,13,899882,2Factor,"Young Jonn, Asake, Focalistic"
,"ANGELS
Lekaa Beats, Omah Lay, ODUMODUBLVCK",5,8.0,4,872588,ANGELS,"Lekaa Beats, Omah Lay, ODUMODUBLVCK"
,"Paparazzi
Shoday, FOLA",1,10.0,8,860262,Paparazzi,"Shoday, FOLA"
,"you
FOLA",1,12.0,29,859790,you,FOLA
,"MY HEALER
Seyi Vibez, Omah Lay",4,6.0,6,839930,MY HEALER,"Seyi Vibez, Omah Lay"
,"Raindance (feat. Tems)
Dave, Tems",6,16.0,18,794945,Raindance (feat. Tems),"Dave, Tems"
,"Nzaza
Asake",6,17.0,79,776171,Nzaza,Asake
,"Nakupenda
TxC, Davido, Shoday, Scotts Maphuma, Zlatan, Al Xapo",3,15.0,11,755384,Nakupenda,"TxC, Davido, Shoday, Scotts Maphuma, Zlatan, Al Xapo"
,"caricature
FOLA",9,18.0,25,746341,caricature,FOLA
,"FUN
Rema",1,13.0,25,745538,FUN,Rema
,"Remember
Asake",12,20.0,141,727130,Remember,Asake
,"HOW FAR
NO11, Ayjay bobo, Monochrome",9,25.0,7,664487,HOW FAR,"NO11, Ayjay bobo, Monochrome"
,"Very Soon
BNXN, FOLA",1,23.0,39,634533,Very Soon,"BNXN, FOLA"
,"Iskolodo
Wizkid, Asake",4,14.0,5,617842,Iskolodo,"Wizkid, Asake"
,"Uzo Ano
Phyno, Flavour",22,24.0,2,600601,Uzo Ano,"Phyno, Flavour"
,"Feeling
FOLA",13,27.0,47,596277,Feeling,FOLA
,"Allonsy
BabyDaiz, Kvng Vinci",12,29.0,8,593599,Allonsy,"BabyDaiz, Kvng Vinci"
,"One Condition
DJ Tunez, Wizkid, FOLA",1,22.0,31,587972,One Condition,"DJ Tunez, Wizkid, FOLA"
,"WAIST
Omah Lay",3,26.0,15,582332,WAIST,Omah Lay
,"DON'T LOVE ME
Omah Lay",12,19.0,3,572087,DON'T LOVE ME,Omah Lay
,"THEY LOVE ME
ODUMODUBLVCK",11,11.0,2,567808,THEY LOVE ME,ODUMODUBLVCK
,"Dangbana Riddim
Bella Shmurda, FOLA",10,34.0,46,549510,Dangbana Riddim,"Bella Shmurda, FOLA"
,"Get Better
Zlatan, FOLA",5,33.0,49,546197,Get Better,"Zlatan, FOLA"
,"What You Saying
Lil Uzi Vert",15,31.0,9,535572,What You Saying,Lil Uzi Vert
,"EASY WITH ME
DJ Tunez, Wizkid, ODUMODUBLVCK",3,32.0,14,529543,EASY WITH ME,"DJ Tunez, Wizkid, ODUMODUBLVCK"
,"Realize
Rybeena, BhadBoi OML",33,35.0,3,529157,Realize,"Rybeena, BhadBoi OML"
,"Getting Paid (feat. Asake, Wizkid, Skillibeng)
Sarz, Asake, Wizkid, Skillibeng",1,30.0,22,527918,"Getting Paid (feat. Asake, Wizkid, Skillibeng)","Sarz, Asake, Wizkid, Skillibeng"
,"Secondhand (feat. Rema)
Don Toliver, Rema",19,28.0,4,527043,Secondhand (feat. Rema),"Don Toliver, Rema"
,"Lalala
Young Jonn, Rema",7,36.0,13,523040,Lalala,"Young Jonn, Rema"
