rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"DtMF
Bad Bunny",1,2.0,60,88928,DtMF,Bad Bunny
,"BAILE INoLVIDABLE
Bad Bunny",1,3.0,60,86478,BAILE INoLVIDABLE,Bad Bunny
,"EoO
Bad Bunny",3,4.0,60,86164,EoO,Bad Bunny
,"NO TENGA$ MIEDO
Junior H, Gael Valenzuela",4,14.0,2,83456,NO TENGA$ MIEDO,"Junior H, Gael Valenzuela"
,"LA VILLA
Ryan Castro, Kapo, Gangsta",1,7.0,10,75915,LA VILLA,"Ryan Castro, Kapo, Gangsta"
,"LA CANCIÓN
J Balvin, Bad Bunny",1,5.0,348,72090,LA CANCIÓN,"J Balvin, Bad Bunny"
,"NUEVAYoL
Bad Bunny",2,6.0,60,71734,NUEVAYoL,Bad Bunny
,"dopamina
Peso Pluma, Tito Double P",2,8.0,9,69407,dopamina,"Peso Pluma, Tito Double P"
,"DROGA LETAL
Junior H, Gael Valenzuela, Peso Pluma",1,1.0,2,69084,DROGA LETAL,"Junior H, Gael Valenzuela, Peso Pluma"
,"COQUETA
Fuerza Regida, Grupo Frontera",1,10.0,58,65813,COQUETA,"Fuerza Regida, Grupo Frontera"
,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",6,9.0,60,65256,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",12,16.0,11,64820,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
,"Diles
Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",3,19.0,255,64462,Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz"
,"WO OH OH
Omar Courtz, ROA",14,,1,60119,WO OH OH,"Omar Courtz, ROA"
,"Marlboro Rojo
Fuerza Regida",1,18.0,43,59341,Marlboro Rojo,Fuerza Regida
,"Es un Secreto
Plan B",1,20.0,238,59259,Es un Secreto,Plan B
,"POR SUS BESOS
Tito Double P",6,13.0,33,57634,POR SUS BESOS,Tito Double P
,"KLOuFRENS
Bad Bunny",12,17.0,60,56832,KLOuFRENS,Bad Bunny
