rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Lekker voor je
Lil Kleine",1,,1,2533803,Lekker voor je,Lil Kleine
,"Lijntje
Lil Kleine, Milolaathetlukken",2,5.0,4,1251439,Lijntje,"Lil Kleine, Milolaathetlukken"
,"Man I Need
Olivia Dean",1,1.0,28,1072325,Man I Need,Olivia Dean
,"I Just Might
Bruno Mars",1,4.0,7,1018818,I Just Might,Bruno Mars
,"Waar Was Je?
Qlas",1,2.0,6,904539,Waar Was Je?,Qlas
,"Raindance (feat. Tems)
Dave, Tems",4,7.0,18,896328,Raindance (feat. Tems),"Dave, Tems"
,"Lush Life
Zara Larsson",4,6.0,26,867270,Lush Life,Zara Larsson
,"So Easy (To Fall In Love)
Olivia Dean",6,10.0,22,865128,So Easy (To Fall In Love),Olivia Dean
,"DtMF
Bad Bunny",2,3.0,4,864949,DtMF,Bad Bunny
,"WHERE IS MY HUSBAND!
RAYE",3,8.0,23,855218,WHERE IS MY HUSBAND!,RAYE
,"The Fate of Ophelia
Taylor Swift",1,9.0,21,846108,The Fate of Ophelia,Taylor Swift
,"12 to 12
sombr",9,11.0,31,729687,12 to 12,sombr
,"Homewrecker
sombr",13,20.0,3,691521,Homewrecker,sombr
,"Die On This Hill
SIENNA SPIRO",10,16.0,19,688227,Die On This Hill,SIENNA SPIRO
,"CD van mij
Ronnie Flex, Acda en de Munnik",15,19.0,6,678294,CD van mij,"Ronnie Flex, Acda en de Munnik"
,"End of Beginning
Djo",4,14.0,14,675831,End of Beginning,Djo
,"Vervreemd
Kevin, Bente",7,15.0,3,622953,Vervreemd,"Kevin, Bente"
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",18,37.0,8,591791,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"Bare Minimum (Starboy)
Frsh, KM, LA$$A",19,28.0,5,587954,Bare Minimum (Starboy),"Frsh, KM, LA$$A"
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2,22.0,35,576339,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"NUEVAYoL
Bad Bunny",12,12.0,4,574540,NUEVAYoL,Bad Bunny
,"Ordinary
Alex Warren",1,21.0,55,570893,Ordinary,Alex Warren
,"AMG Met Matje
Qlas, Mula B",11,13.0,3,540937,AMG Met Matje,"Qlas, Mula B"
,"Midnight Sun
Zara Larsson",22,26.0,16,538984,Midnight Sun,Zara Larsson
,"Moët Dat Nou
Robert van Hemert, Donnie",25,29.0,7,520965,Moët Dat Nou,"Robert van Hemert, Donnie"
,"Tití Me Preguntó
Bad Bunny",17,17.0,3,506563,Tití Me Preguntó,Bad Bunny
,"Investeren In De Liefde
SFB, Ronnie Flex, Lil Kleine, Bokoesam, Frenna, KM, Jandro",15,25.0,7,495277,Investeren In De Liefde,"SFB, Ronnie Flex, Lil Kleine, Bokoesam, Frenna, KM, Jandro"
,"Harder Dan Ik Spenden Kan
Bankzitters",5,27.0,7,470563,Harder Dan Ik Spenden Kan,Bankzitters
