rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Sjelen
Delara",1,1.0,3,698015,Sjelen,Delara
,"Hånd i hånd
Tobias Sten",1,2.0,3,670999,Hånd i hånd,Tobias Sten
,"Bygda
Synne Vo, Hver gang vi møtes",3,4.0,2,470387,Bygda,"Synne Vo, Hver gang vi møtes"
,"Lush Life
Zara Larsson",1,3.0,61,430318,Lush Life,Zara Larsson
,"Baby, du er rå!
Hagle, Ingebjørg Bratland, Hver gang vi møtes",1,5.0,8,385866,"Baby, du er rå!","Hagle, Ingebjørg Bratland, Hver gang vi møtes"
,"iloveitiloveitiloveit
Bella Kay",6,37.0,3,372342,iloveitiloveitiloveit,Bella Kay
,"The Fate of Ophelia
Taylor Swift",1,6.0,21,359455,The Fate of Ophelia,Taylor Swift
,"SEES IGJEN
Bargee",7,7.0,3,326870,SEES IGJEN,Bargee
,"WHERE IS MY HUSBAND!
RAYE",4,10.0,23,308276,WHERE IS MY HUSBAND!,RAYE
,"Naboen
Hagle, Hver gang vi møtes",3,8.0,4,303504,Naboen,"Hagle, Hver gang vi møtes"
,"Man I Need
Olivia Dean",3,12.0,28,301743,Man I Need,Olivia Dean
,"Ever Lasting (Siberia)
MøkkaFønk, bibbebaby",9,9.0,3,283955,Ever Lasting (Siberia),"MøkkaFønk, bibbebaby"
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,15.0,35,270435,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",14,22.0,9,268377,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"THEO
Ramón",15,,1,264947,THEO,Ramón
,"End of Beginning
Djo",3,14.0,16,261029,End of Beginning,Djo
,"Fy faen du e deili
Tobias Sten",2,13.0,37,259430,Fy faen du e deili,Tobias Sten
,"Ordinary
Alex Warren",1,17.0,55,236779,Ordinary,Alex Warren
,"So Easy (To Fall In Love)
Olivia Dean",12,24.0,22,235944,So Easy (To Fall In Love),Olivia Dean
,"Homewrecker
sombr",20,20.0,3,235231,Homewrecker,sombr
,"Bring It
Hjorterud Allé, Sleiken",11,16.0,5,232443,Bring It,"Hjorterud Allé, Sleiken"
,"12 to 12
sombr",5,19.0,31,230791,12 to 12,sombr
,"Babydoll
Dominic Fike",23,32.0,5,225625,Babydoll,Dominic Fike
,"Nonchalant
Marcus & Martinus, Synne Vo, Hver gang vi møtes",24,,1,218936,Nonchalant,"Marcus & Martinus, Synne Vo, Hver gang vi møtes"
,"Friskis
Kjartan Lauritzen, Astrid S, Hver gang vi møtes",4,26.0,54,216129,Friskis,"Kjartan Lauritzen, Astrid S, Hver gang vi møtes"
,"Raindance (feat. Tems)
Dave, Tems",12,21.0,11,213738,Raindance (feat. Tems),"Dave, Tems"
,"Te de som elske han
Synne Vo, Hver gang vi møtes",3,18.0,5,211876,Te de som elske han,"Synne Vo, Hver gang vi møtes"
,"Falle og slå seg
Ari Bajgora",1,23.0,40,209114,Falle og slå seg,Ari Bajgora
,"I natt
Hagle, Marcus & Martinus, Hver gang vi møtes",29,,1,208162,I natt,"Hagle, Marcus & Martinus, Hver gang vi møtes"
,"Ingen her e deg
Tobias Sten, Synne Vo",1,28.0,28,200608,Ingen her e deg,"Tobias Sten, Synne Vo"
,"DtMF
Bad Bunny",7,11.0,4,196211,DtMF,Bad Bunny
,"Die On This Hill
SIENNA SPIRO",17,33.0,9,193689,Die On This Hill,SIENNA SPIRO
,"Elektrisk
Hagle, Staysman, Hver gang vi møtes",4,25.0,6,191669,Elektrisk,"Hagle, Staysman, Hver gang vi møtes"
,"Wreckonize
Roc Boyz",26,27.0,19,185109,Wreckonize,Roc Boyz
,"back to friends
sombr",12,34.0,51,184109,back to friends,sombr
,"I Just Might
Bruno Mars",10,38.0,7,175595,I Just Might,Bruno Mars
