rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Man I Need
Olivia Dean",1,1.0,28,450605,Man I Need,Olivia Dean
,"So Easy (To Fall In Love)
Olivia Dean",2,2.0,22,332088,So Easy (To Fall In Love),Olivia Dean
,"Rein Me In (with Olivia Dean)
Sam Fender, Olivia Dean",3,4.0,15,248486,Rein Me In (with Olivia Dean),"Sam Fender, Olivia Dean"
,"Raindance (feat. Tems)
Dave, Tems",3,3.0,11,222386,Raindance (feat. Tems),"Dave, Tems"
,"A Couple Minutes
Olivia Dean",5,5.0,22,204744,A Couple Minutes,Olivia Dean
,"Lush Life
Zara Larsson",6,6.0,15,203905,Lush Life,Zara Larsson
,"I Just Might
Bruno Mars",3,12.0,7,200418,I Just Might,Bruno Mars
,"Nice To Each Other
Olivia Dean",5,8.0,38,200093,Nice To Each Other,Olivia Dean
,"WHERE IS MY HUSBAND!
RAYE",5,7.0,23,197094,WHERE IS MY HUSBAND!,RAYE
,"Homewrecker
sombr",10,10.0,3,186501,Homewrecker,sombr
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",11,27.0,7,183042,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"No Broke Boys
Disco Lines, Tinashe",3,15.0,37,180903,No Broke Boys,"Disco Lines, Tinashe"
,"Dreams - 2004 Remaster
Fleetwood Mac",3,13.0,448,180691,Dreams - 2004 Remaster,Fleetwood Mac
,"End of Beginning
Djo",2,14.0,14,168512,End of Beginning,Djo
,"Ordinary
Alex Warren",1,11.0,55,168190,Ordinary,Alex Warren
,"The Fate of Ophelia
Taylor Swift",1,16.0,21,160088,The Fate of Ophelia,Taylor Swift
,"The Hardest Part
Olivia Dean",17,17.0,27,152573,The Hardest Part,Olivia Dean
,"Babydoll
Dominic Fike",18,28.0,7,151607,Babydoll,Dominic Fike
,"Die On This Hill
SIENNA SPIRO",15,18.0,15,149703,Die On This Hill,SIENNA SPIRO
,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)
White Noise Radiance, Rain Sounds",20,22.0,4,149406,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)","White Noise Radiance, Rain Sounds"
,"iloveitiloveitiloveit
Bella Kay",21,69.0,2,146111,iloveitiloveitiloveit,Bella Kay
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,19.0,36,143831,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"DtMF
Bad Bunny",3,9.0,4,143278,DtMF,Bad Bunny
,"back to friends
sombr",2,23.0,50,142095,back to friends,sombr
,"12 to 12
sombr",8,21.0,31,141693,12 to 12,sombr
,"Baby Steps
Olivia Dean",15,24.0,22,138482,Baby Steps,Olivia Dean
,"Choosin' Texas
Ella Langley",27,30.0,8,135716,Choosin' Texas,Ella Langley
,"Let Alone The One You Love
Olivia Dean",12,26.0,22,131006,Let Alone The One You Love,Olivia Dean
,"Dive
Olivia Dean",22,25.0,27,128548,Dive,Olivia Dean
,"Iris
The Goo Goo Dolls",7,29.0,165,127993,Iris,The Goo Goo Dolls
,"The Chain - 2004 Remaster
Fleetwood Mac",13,32.0,74,127623,The Chain - 2004 Remaster,Fleetwood Mac
,"Folded
Kehlani",12,31.0,37,125755,Folded,Kehlani
,"Don’t Say You Love Me
Jin",15,20.0,9,125395,Don’t Say You Love Me,Jin
,"Mr. Brightside
The Killers",19,33.0,322,122090,Mr. Brightside,The Killers
,"Ok Love You Bye
Olivia Dean",35,35.0,20,119910,Ok Love You Bye,Olivia Dean
,"Love Me Not
Ravyn Lenae",3,34.0,53,118058,Love Me Not,Ravyn Lenae
,"I Run
HAVEN., Kaitlin Aragon",12,37.0,14,112972,I Run,"HAVEN., Kaitlin Aragon"
,"Lose Control
Teddy Swims",4,36.0,131,111810,Lose Control,Teddy Swims
,"Sex on Fire
Kings of Leon",28,42.0,265,110511,Sex on Fire,Kings of Leon
,"Everywhere - 2017 Remaster
Fleetwood Mac",18,39.0,177,109705,Everywhere - 2017 Remaster,Fleetwood Mac
,"Midnight Sun
Zara Larsson",41,55.0,6,107679,Midnight Sun,Zara Larsson
,"Beautiful Things
Benson Boone",1,44.0,110,106467,Beautiful Things,Benson Boone
,"Opalite
Taylor Swift",2,38.0,21,106235,Opalite,Taylor Swift
,"Scar Tissue
Red Hot Chili Peppers",30,49.0,74,105892,Scar Tissue,Red Hot Chili Peppers
,"Landslide
Fleetwood Mac",35,47.0,33,105079,Landslide,Fleetwood Mac
,"DAISIES
Justin Bieber",1,40.0,33,102435,DAISIES,Justin Bieber
,"I've Seen It
Olivia Dean",47,50.0,22,99984,I've Seen It,Olivia Dean
,"undressed
sombr",2,51.0,49,97669,undressed,sombr
,"Catch A Wave
Te Wehi, Hori Shaw",49,72.0,8,96705,Catch A Wave,"Te Wehi, Hori Shaw"
,"We Made It
SIX60",43,43.0,9,94034,We Made It,SIX60
,"White Keys
Dominic Fike",51,108.0,3,93402,White Keys,Dominic Fike
,"Go Your Own Way - 2004 Remaster
Fleetwood Mac",27,62.0,392,93311,Go Your Own Way - 2004 Remaster,Fleetwood Mac
,"BIRDS OF A FEATHER
Billie Eilish",1,45.0,93,92095,BIRDS OF A FEATHER,Billie Eilish
,"The Great Divide
Noah Kahan",19,48.0,4,91666,The Great Divide,Noah Kahan
,"Have You Ever Seen The Rain
Creedence Clearwater Revival",23,58.0,196,91104,Have You Ever Seen The Rain,Creedence Clearwater Revival
,"Sultans of Swing
Dire Straits",25,59.0,97,90859,Sultans of Swing,Dire Straits
,"Tennessee Whiskey
Chris Stapleton",30,60.0,270,90383,Tennessee Whiskey,Chris Stapleton
,"Be By You
Luke Combs",41,41.0,2,89292,Be By You,Luke Combs
,"No Role Modelz
J. Cole",12,71.0,9,88033,No Role Modelz,J. Cole
,"Every Breath You Take
The Police",19,52.0,78,87701,Every Breath You Take,The Police
,"The Days - NOTION Remix
Chrystal, NOTION",1,61.0,65,86587,The Days - NOTION Remix,"Chrystal, NOTION"
,"Manchild
Sabrina Carpenter",2,57.0,38,86297,Manchild,Sabrina Carpenter
,"Die With A Smile
Lady Gaga, Bruno Mars",1,56.0,80,85876,Die With A Smile,"Lady Gaga, Bruno Mars"
,"Victory Lap
Fred again.., Skepta, Plaqueboymax",2,67.0,37,84926,Victory Lap,"Fred again.., Skepta, Plaqueboymax"
,"Every Night Every Morning
Maoli",15,70.0,18,84907,Every Night Every Morning,Maoli
,"Something in the Orange
Zach Bryan",10,73.0,182,84805,Something in the Orange,Zach Bryan
,"A Bar Song (Tipsy)
Shaboozey",3,74.0,98,84394,A Bar Song (Tipsy),Shaboozey
,"Drag Path
Twenty One Pilots",68,,1,84361,Drag Path,Twenty One Pilots
,"Sailor Song
Gigi Perez",3,68.0,83,84325,Sailor Song,Gigi Perez
,"Ready To Ride
Hori Shaw, Te Wehi",45,85.0,31,84205,Ready To Ride,"Hori Shaw, Te Wehi"
,"Pink Pony Club
Chappell Roan",12,63.0,87,82990,Pink Pony Club,Chappell Roan
,"Don't Dream It's Over
Crowded House",28,65.0,78,82604,Don't Dream It's Over,Crowded House
,"That's What I Like
Bruno Mars",3,66.0,24,81896,That's What I Like,Bruno Mars
,"In the Air
L.A.B.",2,102.0,326,81460,In the Air,L.A.B.
,"Africa
TOTO",34,79.0,95,81454,Africa,TOTO
,"Purple Rain
Prince",29,64.0,8,81177,Purple Rain,Prince
,"You Should Probably Leave
Chris Stapleton",24,77.0,137,80369,You Should Probably Leave,Chris Stapleton
,"Can't Stop
Red Hot Chili Peppers",78,89.0,9,79956,Can't Stop,Red Hot Chili Peppers
,"Santeria
Sublime",70,87.0,30,78973,Santeria,Sublime
,"Lady Lady
Olivia Dean",41,80.0,22,78043,Lady Lady,Olivia Dean
,"Clean Baby Sleep White Noise (Loopable)
Dream Supplier",69,91.0,53,77758,Clean Baby Sleep White Noise (Loopable),Dream Supplier
,"Too Sweet
Hozier",1,78.0,100,77472,Too Sweet,Hozier
,"E85
Don Toliver",83,134.0,2,77463,E85,Don Toliver
,"Feel Good Inc.
Gorillaz, De La Soul",38,84.0,61,77317,Feel Good Inc.,"Gorillaz, De La Soul"
,"One Dance
Drake, Wizkid, Kyla",23,76.0,24,77215,One Dance,"Drake, Wizkid, Kyla"
,"Could You Be Loved
Bob Marley & The Wailers",44,90.0,167,76390,Could You Be Loved,Bob Marley & The Wailers
,"Creep
Radiohead",44,86.0,51,76330,Creep,Radiohead
,"4 Raws
EsDeeKid",34,83.0,15,76251,4 Raws,EsDeeKid
,"No Scrubs
TLC",38,93.0,46,76234,No Scrubs,TLC
,"Under the Bridge
Red Hot Chili Peppers",45,99.0,61,76018,Under the Bridge,Red Hot Chili Peppers
,"I Thought I Saw Your Face Today
She & Him",68,81.0,11,75551,I Thought I Saw Your Face Today,She & Him
,"Yellow
Coldplay",4,75.0,94,75058,Yellow,Coldplay
,"I Remember Everything (feat. Kacey Musgraves)
Zach Bryan, Kacey Musgraves",10,96.0,131,74821,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves"
