rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"FRISBEE
Sentino, BNP",1,1.0,3,2072898,FRISBEE,"Sentino, BNP"
,"After
Tax Free, Malik Montana, Kazior, CUZCO$",1,2.0,7,1208236,After,"Tax Free, Malik Montana, Kazior, CUZCO$"
,"Baciata
Malik Montana",3,3.0,21,1141664,Baciata,Malik Montana
,"Kalinka
Majki, Major SPZ",4,5.0,16,1086400,Kalinka,"Majki, Major SPZ"
,"BABY?
Kaptur, Fagata",5,6.0,3,1041612,BABY?,"Kaptur, Fagata"
,"O JAK MIŁO
Ekipa, Wujek Łuki, Wiktoria Niekało, Michu Kontrabas, $okolica, KuzynMichu, TOODAY",3,4.0,4,1006503,O JAK MIŁO,"Ekipa, Wujek Łuki, Wiktoria Niekało, Michu Kontrabas, $okolica, KuzynMichu, TOODAY"
,"BALENCI
Malik Montana, FT Kings",7,10.0,2,919915,BALENCI,"Malik Montana, FT Kings"
,"Zabiorę Cię Tam
Fukaj, Vito Bambino",2,9.0,27,907340,Zabiorę Cię Tam,"Fukaj, Vito Bambino"
,"ZA KOGO MNIE MASZ?
Sobel, francis, SHDØW",1,8.0,9,881698,ZA KOGO MNIE MASZ?,"Sobel, francis, SHDØW"
,"Plan B
Pezet, Mata, Kaz Bałagane, Pedro, Frenkie G",3,12.0,19,867123,Plan B,"Pezet, Mata, Kaz Bałagane, Pedro, Frenkie G"
,"TEMACIK
Ekipa, FRIZ, WERSOW, Kostek, Albert RCB",2,7.0,4,771907,TEMACIK,"Ekipa, FRIZ, WERSOW, Kostek, Albert RCB"
,"ZAKOCHAŁEM SIĘ POD APTEKĄ
Taco Hemingway, Rumak, Livka",2,11.0,10,744156,ZAKOCHAŁEM SIĘ POD APTEKĄ,"Taco Hemingway, Rumak, Livka"
,"dopóki się nie znüdzisz
MIÜ, Zalia, Koder, Leon Krześniak",1,14.0,29,737441,dopóki się nie znüdzisz,"MIÜ, Zalia, Koder, Leon Krześniak"
,"Uciekam Do Alicante
Ekipa, MODELKI, Hi Hania, Kostek, Bartek Kubicki, clearmind",14,,1,729199,Uciekam Do Alicante,"Ekipa, MODELKI, Hi Hania, Kostek, Bartek Kubicki, clearmind"
,"End of Beginning
Djo",5,18.0,14,726754,End of Beginning,Djo
,"FREAKY
Fagata, Mata",3,15.0,6,726706,FREAKY,"Fagata, Mata"
,"KAMIKAZE
Mata, Skolim, Khaid",1,16.0,29,726560,KAMIKAZE,"Mata, Skolim, Khaid"
,"Plain Jane
Malik Montana",6,17.0,11,719934,Plain Jane,Malik Montana
,"Róże
QINGA, CrackHouse",19,24.0,10,711721,Róże,"QINGA, CrackHouse"
,"CASABLANCA
Sentino, BNP",1,27.0,44,684682,CASABLANCA,"Sentino, BNP"
,"Babydoll
Dominic Fike",21,31.0,4,671034,Babydoll,Dominic Fike
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",22,51.0,8,667612,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"Belly Dance
Malik Montana",11,19.0,31,665625,Belly Dance,Malik Montana
,"WHERE IS MY HUSBAND!
RAYE",12,20.0,23,661936,WHERE IS MY HUSBAND!,RAYE
,"12 to 12
sombr",10,25.0,31,637136,12 to 12,sombr
,"Lush Life
Zara Larsson",14,23.0,15,631268,Lush Life,Zara Larsson
,"DtMF
Bad Bunny",5,13.0,4,623630,DtMF,Bad Bunny
,"Halo tu Londyn
Weekend",7,21.0,11,593776,Halo tu Londyn,Weekend
,"FRASCATI
Taco Hemingway, Zeppy Zep, Livka",2,26.0,10,589617,FRASCATI,"Taco Hemingway, Zeppy Zep, Livka"
,"Obejmuję noce
Jonatan, Pezet, Livka",29,32.0,15,579416,Obejmuję noce,"Jonatan, Pezet, Livka"
,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",31,33.0,8,563859,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
,"The Fate of Ophelia
Taylor Swift",4,39.0,21,536829,The Fate of Ophelia,Taylor Swift
,"BĘDĘ PREZYDENTEM :)
Mata",2,30.0,10,533098,BĘDĘ PREZYDENTEM :),Mata
,"TOXIC
Frosti, Fagata",34,47.0,2,530567,TOXIC,"Frosti, Fagata"
,"back to friends
sombr",10,40.0,50,525211,back to friends,sombr
,"Decyzje
Vito Bambino, Zalia",36,,1,521983,Decyzje,"Vito Bambino, Zalia"
,"FIKU MIKU
Bungee",1,34.0,22,518885,FIKU MIKU,Bungee
,"Delegacja
Tax Free, Malik Montana, Kazior, Kamil, 730 Huncho, 730purp",24,35.0,27,509068,Delegacja,"Tax Free, Malik Montana, Kazior, Kamil, 730 Huncho, 730purp"
,"HALO
Kenzo1900X",29,29.0,2,506213,HALO,Kenzo1900X
,"Kamień z serca
Bedoes 2115, Kubi Producent",1,41.0,13,496543,Kamień z serca,"Bedoes 2115, Kubi Producent"
,"Rura musi yeah
Tax Free, Malik Montana, Kazior, CUZCO$",13,37.0,9,495128,Rura musi yeah,"Tax Free, Malik Montana, Kazior, CUZCO$"
,"JET SKI
Ekipa, Kostek, Julita Różalska, Wujek Łuki, Mercury",2,22.0,4,492372,JET SKI,"Ekipa, Kostek, Julita Różalska, Wujek Łuki, Mercury"
,"Daj mi noc - koncertowa
MRD",31,36.0,8,485175,Daj mi noc - koncertowa,MRD
,"ONE CHCĄ MIŁOŚCI
Ekipa, Mortal, Julita Różalska, Marta.Err, Pola Słopecka, TOODAY",11,28.0,4,467023,ONE CHCĄ MIŁOŚCI,"Ekipa, Mortal, Julita Różalska, Marta.Err, Pola Słopecka, TOODAY"
,"to nieprawda, że nie lubisz róż ;**
Mata, Sobel",4,46.0,12,464136,"to nieprawda, że nie lubisz róż ;**","Mata, Sobel"
,"SIE KLEI
javier",20,49.0,13,459809,SIE KLEI,javier
,"DYLEMAT
Sentino",38,52.0,20,458767,DYLEMAT,Sentino
,"Luty
Otsochodzi",36,50.0,59,456499,Luty,Otsochodzi
,"KLAP KLAP
Dajczman",39,54.0,4,454902,KLAP KLAP,Dajczman
,"Dom Nad Wodą
Pezet, Auer",1,58.0,71,445293,Dom Nad Wodą,"Pezet, Auer"
,"Wiecznie
Sentino",37,53.0,17,439428,Wiecznie,Sentino
,"NIE CHCĘ WRACAĆ
Fukaj, charlie moncler, Hubert.",7,72.0,39,430452,NIE CHCĘ WRACAĆ,"Fukaj, charlie moncler, Hubert."
,"Homewrecker
sombr",53,65.0,3,426254,Homewrecker,sombr
,"KOCHASZ?
Sobel, francis, Deemz",1,56.0,61,421866,KOCHASZ?,"Sobel, francis, Deemz"
,"Uno Momento
Majki, Kumi, Major SPZ",32,57.0,49,421223,Uno Momento,"Majki, Kumi, Major SPZ"
,"Komu miałabym powiedzieć?
Bletka",44,62.0,8,419033,Komu miałabym powiedzieć?,Bletka
,"Ordinary
Alex Warren",7,45.0,52,417715,Ordinary,Alex Warren
,"VINI JR.
Ekipa, Fausti, jakubjezy, Albert RCB",6,42.0,4,401605,VINI JR.,"Ekipa, Fausti, jakubjezy, Albert RCB"
,"AUTOBANA
Bungee, Skolim, CrackHouse",6,64.0,19,399630,AUTOBANA,"Bungee, Skolim, CrackHouse"
,"Pach Pach
Majki, Major SPZ",60,68.0,4,399284,Pach Pach,"Majki, Major SPZ"
,"KANCLERZ
Kizo, clearmind, BeMelo",9,71.0,15,398757,KANCLERZ,"Kizo, clearmind, BeMelo"
,"No Broke Boys
Disco Lines, Tinashe",23,78.0,30,397313,No Broke Boys,"Disco Lines, Tinashe"
,"Raffles
Tax Free, Malik Montana, Kazior, CUZCO$",22,43.0,4,393042,Raffles,"Tax Free, Malik Montana, Kazior, CUZCO$"
,"Every Breath You Take
The Police",28,55.0,65,391299,Every Breath You Take,The Police
,"TAK TO LATA (feat. Tuszol)
Bungee, Tuszol",1,67.0,34,389798,TAK TO LATA (feat. Tuszol),"Bungee, Tuszol"
,"Lato
Sentino, CrackHouse",17,93.0,9,385811,Lato,"Sentino, CrackHouse"
,"BEZ STRESU
Taco Hemingway, Rumak, Livka",6,66.0,10,379252,BEZ STRESU,"Taco Hemingway, Rumak, Livka"
,"Love Me Not
Ravyn Lenae",17,69.0,51,378536,Love Me Not,Ravyn Lenae
,"Ay ya yay
Malik Montana, FT Kings",17,60.0,5,377271,Ay ya yay,"Malik Montana, FT Kings"
,"Adieu
Majki, Major SPZ, Cypis",70,81.0,4,373797,Adieu,"Majki, Major SPZ, Cypis"
,"Raindance (feat. Tems)
Dave, Tems",71,85.0,7,373083,Raindance (feat. Tems),"Dave, Tems"
,"NUEVAYoL
Bad Bunny",29,38.0,3,370497,NUEVAYoL,Bad Bunny
,"Mów
Otsochodzi",16,88.0,16,369262,Mów,Otsochodzi
,"Vitalyi
Sentino",54,74.0,9,367380,Vitalyi,Sentino
,"Nie ucieknę
Favst, Zalia",43,76.0,4,367264,Nie ucieknę,"Favst, Zalia"
,"Blondynki
Kaz Bałagane",44,44.0,2,366657,Blondynki,Kaz Bałagane
,"Tití Me Preguntó
Bad Bunny",48,48.0,3,365811,Tití Me Preguntó,Bad Bunny
,"Jagodzianki
Malik Montana, Mr. Polska",22,80.0,9,364786,Jagodzianki,"Malik Montana, Mr. Polska"
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",7,77.0,35,359927,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"CAŁE LATO
Sobel, francis",2,92.0,44,358058,CAŁE LATO,"Sobel, francis"
