rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Posso Até Não Te Dar Flores
DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",1,1.0,20,553757,Posso Até Não Te Dar Flores,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG"
,"JETSKI
PEDRO SAMPAIO, MC Meno K, Melody",2,2.0,10,530575,JETSKI,"PEDRO SAMPAIO, MC Meno K, Melody"
,"BAILE INoLVIDABLE
Bad Bunny",3,3.0,60,462623,BAILE INoLVIDABLE,Bad Bunny
,"DtMF
Bad Bunny",1,4.0,60,420262,DtMF,Bad Bunny
,"Amo Minha Favela
DJ Japa NK, MC Meno K",3,6.0,10,383976,Amo Minha Favela,"DJ Japa NK, MC Meno K"
,"NUEVAYoL
Bad Bunny",4,5.0,60,383457,NUEVAYoL,Bad Bunny
,"SEQUÊNCIA FEITICEIRA
PEDRO SAMPAIO, Mc Gw, Mc Jhey, Mc Rodrigo do CN, MC Nito",2,8.0,26,330321,SEQUÊNCIA FEITICEIRA,"PEDRO SAMPAIO, Mc Gw, Mc Jhey, Mc Rodrigo do CN, MC Nito"
,"Tití Me Preguntó
Bad Bunny",7,7.0,4,317193,Tití Me Preguntó,Bad Bunny
,"Carnívoro
Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK",9,21.0,4,286728,Carnívoro,"Mc Jacaré, Mc Lele JP, Mc Negão Original, DJ Japa NK"
,"Raindance (feat. Tems)
Dave, Tems",6,10.0,18,282267,Raindance (feat. Tems),"Dave, Tems"
,"ME POSTOU NO DAILY - FESTA DO BIG G
MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat",5,9.0,21,273512,ME POSTOU NO DAILY - FESTA DO BIG G,"MC GP, Mc Lele JP, DJ DAVI DOGDOG, Dj Andrabeat"
,"Pôr do Sol
Vizinhos",1,12.0,47,251575,Pôr do Sol,Vizinhos
,"The Fate of Ophelia
Taylor Swift",1,11.0,21,238601,The Fate of Ophelia,Taylor Swift
,"Interestelar
Plutonio",1,18.0,69,227581,Interestelar,Plutonio
,"Talvez você precise de mim
Veigh, Supernova Ent",5,16.0,26,218970,Talvez você precise de mim,"Veigh, Supernova Ent"
,"So Easy (To Fall In Love)
Olivia Dean",16,22.0,22,210100,So Easy (To Fall In Love),Olivia Dean
,"P do Pecado - Ao Vivo
Grupo Menos É Mais, Simone Mendes",17,23.0,42,204147,P do Pecado - Ao Vivo,"Grupo Menos É Mais, Simone Mendes"
,"Man I Need
Olivia Dean",14,24.0,27,200872,Man I Need,Olivia Dean
,"FAMOSINHA
Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN",2,13.0,40,200215,FAMOSINHA,"Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN"
,"EoO
Bad Bunny",14,14.0,4,199285,EoO,Bad Bunny
,"no tiene sentido
Beéle",7,30.0,40,199017,no tiene sentido,Beéle
,"Gauchinha
DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY",22,33.0,7,198303,Gauchinha,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Brinquedo, MC LUUKY"
,"LA CANCIÓN
J Balvin, Bad Bunny",14,15.0,13,194467,LA CANCIÓN,"J Balvin, Bad Bunny"
,"SET DO JAPA NK 2.0
DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam",16,25.0,13,193478,SET DO JAPA NK 2.0,"DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam"
,"Casar É pra Esquecer
Vizinhos",12,19.0,22,193249,Casar É pra Esquecer,Vizinhos
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",4,20.0,35,192593,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"End of Beginning
Djo",5,26.0,16,189062,End of Beginning,Djo
,"Resenha Na Laje
Kew, DJGILCASTRO",27,27.0,3,187243,Resenha Na Laje,"Kew, DJGILCASTRO"
,"WHERE IS MY HUSBAND!
RAYE",15,29.0,23,186717,WHERE IS MY HUSBAND!,RAYE
,"VOY A LLeVARTE PA PR
Bad Bunny",12,17.0,4,184571,VOY A LLeVARTE PA PR,Bad Bunny
,"Ordinary
Alex Warren",1,28.0,55,180564,Ordinary,Alex Warren
,"Somos Iguais
Plutonio",5,34.0,106,172823,Somos Iguais,Plutonio
,"Tu na Tua
ÁTOA, Luís Trigacheiro, Buba Espinho",2,31.0,39,170122,Tu na Tua,"ÁTOA, Luís Trigacheiro, Buba Espinho"
,"PEGA A MALDADE DA BANDIDA
Dj Luan Gomes, Mc Ws da leste, Delleon, Tropa da W&S",34,40.0,3,166298,PEGA A MALDADE DA BANDIDA,"Dj Luan Gomes, Mc Ws da leste, Delleon, Tropa da W&S"
,"back to friends
sombr",14,38.0,47,166165,back to friends,sombr
,"Pobre Ex-Namorado
Vizinhos",2,37.0,36,163209,Pobre Ex-Namorado,Vizinhos
,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",2,41.0,49,160654,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
,"Die On This Hill
SIENNA SPIRO",28,45.0,9,152687,Die On This Hill,SIENNA SPIRO
,"Me Rehúso
Danny Ocean",10,44.0,15,150181,Me Rehúso,Danny Ocean
,"MONACO
Bad Bunny",10,36.0,3,149854,MONACO,Bad Bunny
,"CAFé CON RON
Bad Bunny, Los Pleneros de la Cresta",27,32.0,3,149061,CAFé CON RON,"Bad Bunny, Los Pleneros de la Cresta"
,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",27,35.0,4,147727,Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
,"MONTAGEM CAMERA LENTA
DJ DUARTE, DJ ORBITAL, Dj Rs",5,39.0,16,145224,MONTAGEM CAMERA LENTA,"DJ DUARTE, DJ ORBITAL, Dj Rs"
,"Álcool & Prazer
Deejay Telio, Wet Bed Gang",3,47.0,43,144093,Álcool & Prazer,"Deejay Telio, Wet Bed Gang"
,"Si Antes Te Hubiera Conocido
KAROL G",2,49.0,87,142560,Si Antes Te Hubiera Conocido,KAROL G
,"Amar Pela Metade
Calema",7,52.0,73,139822,Amar Pela Metade,Calema
,"Lush Life
Zara Larsson",27,42.0,11,139670,Lush Life,Zara Larsson
,"Lembrei de Tu
MC Meno K, Oruam, Fepache",48,,1,136564,Lembrei de Tu,"MC Meno K, Oruam, Fepache"
,"Semi Nua
MC GP, MC Meno K, Aaron Modesto, MC RN do Capão, DU'L, MC Rick, DJ Guh Mix, Marquinho no Beat, MC Ryan SP, Mc Negão Original",49,62.0,6,133825,Semi Nua,"MC GP, MC Meno K, Aaron Modesto, MC RN do Capão, DU'L, MC Rick, DJ Guh Mix, Marquinho no Beat, MC Ryan SP, Mc Negão Original"
,"Babydoll
Dominic Fike",50,73.0,3,130027,Babydoll,Dominic Fike
,"Fui Mlk
Nilo, Mc Paiva ZS, DJ Di Marques, Tropa da W&S, FamousKyo",3,51.0,65,129770,Fui Mlk,"Nilo, Mc Paiva ZS, DJ Di Marques, Tropa da W&S, FamousKyo"
,"Devia Ir
Wet Bed Gang",1,58.0,397,128448,Devia Ir,Wet Bed Gang
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",53,118.0,6,126896,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"ESCADA DO PRÉDIO
PEDRO SAMPAIO, Marina Sena",8,43.0,12,126858,ESCADA DO PRÉDIO,"PEDRO SAMPAIO, Marina Sena"
,"Iris
The Goo Goo Dolls",40,53.0,58,125856,Iris,The Goo Goo Dolls
,"Every Breath You Take
The Police",22,48.0,80,124931,Every Breath You Take,The Police
,"SET DJ YURI PEDRADA - TRAVA CHIP
Dj Yuri Pedrada, Nilo, MC Meno K, Mc Livinho, Mc Negão Original, MC Jvila, MC Ryan SP, Mc Paiva ZS, MC GDL",30,50.0,7,122445,SET DJ YURI PEDRADA - TRAVA CHIP,"Dj Yuri Pedrada, Nilo, MC Meno K, Mc Livinho, Mc Negão Original, MC Jvila, MC Ryan SP, Mc Paiva ZS, MC GDL"
,"Última Dança
Chico da Tina, Lucas Maia",28,66.0,17,119092,Última Dança,"Chico da Tina, Lucas Maia"
,"I Just Might
Bruno Mars",17,59.0,7,118415,I Just Might,Bruno Mars
,"Esse Cupido Não Me Ajuda
Dexhenry, DJ QUIRINO, Yuri Redicopa, Ascending",41,46.0,12,117874,Esse Cupido Não Me Ajuda,"Dexhenry, DJ QUIRINO, Yuri Redicopa, Ascending"
,"Leva Tudo
Calema, Dilsinho",21,70.0,42,115662,Leva Tudo,"Calema, Dilsinho"
,"País das Maravilhas
Plutonio",3,67.0,69,115581,País das Maravilhas,Plutonio
,"Manchild
Sabrina Carpenter",11,57.0,38,115076,Manchild,Sabrina Carpenter
,"DÁKITI
Bad Bunny, JHAYCO",4,54.0,4,114488,DÁKITI,"Bad Bunny, JHAYCO"
,"BIRDS OF A FEATHER
Billie Eilish",2,56.0,93,114324,BIRDS OF A FEATHER,Billie Eilish
,"Que O Amor Te Salve Nesta Noite Escura - Ao Vivo
Pedro Abrunhosa, Sara Correia",13,68.0,34,114093,Que O Amor Te Salve Nesta Noite Escura - Ao Vivo,"Pedro Abrunhosa, Sara Correia"
,"La Perla
ROSALÍA, Yahritza Y Su Esencia",7,63.0,16,113927,La Perla,"ROSALÍA, Yahritza Y Su Esencia"
,"Coração Partido (Corazón Partío) - Ao Vivo
Grupo Menos É Mais",35,82.0,76,112315,Coração Partido (Corazón Partío) - Ao Vivo,Grupo Menos É Mais
,"Beautiful Things
Benson Boone",4,72.0,109,112008,Beautiful Things,Benson Boone
,"Diário de um Cafajeste
DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original",66,81.0,7,110687,Diário de um Cafajeste,"DJ Oreia, Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original"
,"Die With A Smile
Lady Gaga, Bruno Mars",1,60.0,80,110415,Die With A Smile,"Lady Gaga, Bruno Mars"
,"One Dance
Drake, Wizkid, Kyla",10,61.0,24,110127,One Dance,"Drake, Wizkid, Kyla"
,"Tô na Brasilia com o Zigão
DJ Zigão, MC Roger",22,55.0,20,109794,Tô na Brasilia com o Zigão,"DJ Zigão, MC Roger"
