rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"One Day (feat. Helena) - Radio Edit
Arash, Helena",1,3.0,5,66596,One Day (feat. Helena) - Radio Edit,"Arash, Helena"
,"عفتني
Sabah Mahmod",1,1.0,68,59446,عفتني,Sabah Mahmod
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",3,11.0,8,57939,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"شبت نار
THE DO",4,8.0,16,55984,شبت نار,THE DO
,"Raindance (feat. Tems)
Dave, Tems",2,2.0,10,54994,Raindance (feat. Tems),"Dave, Tems"
,"Babydoll
Dominic Fike",6,24.0,3,51871,Babydoll,Dominic Fike
,"back to friends
sombr",1,5.0,50,50907,back to friends,sombr
,"End of Beginning
Djo",1,6.0,106,48622,End of Beginning,Djo
,"Love Me Not
Ravyn Lenae",9,9.0,51,47760,Love Me Not,Ravyn Lenae
,"WILDFLOWER
Billie Eilish",1,4.0,93,46171,WILDFLOWER,Billie Eilish
,"Bring Me To Life
Evanescence",11,13.0,73,45071,Bring Me To Life,Evanescence
,"No One Noticed
The Marías",3,7.0,79,44106,No One Noticed,The Marías
,"I Thought I Saw Your Face Today
She & Him",10,17.0,11,43759,I Thought I Saw Your Face Today,She & Him
,"Ghayeb
Essam Kamal",14,18.0,6,42623,Ghayeb,Essam Kamal
,"Sailor Song
Gigi Perez",9,15.0,78,40207,Sailor Song,Gigi Perez
,"The Fate of Ophelia
Taylor Swift",1,12.0,21,39759,The Fate of Ophelia,Taylor Swift
,"ميت اني
Sabah Mahmod",6,14.0,88,39574,ميت اني,Sabah Mahmod
,"Jabaha Le Ahlo
Slow Moe",10,10.0,2,38151,Jabaha Le Ahlo,Slow Moe
,"Let Down
Radiohead",8,25.0,45,36823,Let Down,Radiohead
,"Lush Life
Zara Larsson",11,19.0,13,35958,Lush Life,Zara Larsson
,"Wanet Mn Frkakom
Ali Al Feraty, علي الفراتي",1,16.0,20,35248,Wanet Mn Frkakom,"Ali Al Feraty, علي الفراتي"
,"Sweater Weather
The Neighbourhood",7,30.0,279,34599,Sweater Weather,The Neighbourhood
,"Fame is a Gun
Addison Rae",20,27.0,12,34214,Fame is a Gun,Addison Rae
