rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"My System
FELICIA",1,1.0,3,1142314,My System,FELICIA
,"Viva L’Amor
Medina",2,3.0,2,918180,Viva L’Amor,Medina
,"Rakt in i elden
Brandsta City Släckers",2,2.0,3,844923,Rakt in i elden,Brandsta City Släckers
,"Djurens vaggvisa
Humlan Djojj, Josefine Götestam",1,5.0,231,719638,Djurens vaggvisa,"Humlan Djojj, Josefine Götestam"
,"Hollow
Smash Into Pieces",5,,1,635372,Hollow,Smash Into Pieces
,"Ain't Today
Saga Ludvigsson",6,11.0,2,549716,Ain't Today,Saga Ludvigsson
,"Iconic
A*Teens",2,6.0,4,539784,Iconic,A*Teens
,"Berusade ord
noll2",3,4.0,4,532150,Berusade ord,noll2
,"Dooset Daram
Meira Omar",9,,1,526261,Dooset Daram,Meira Omar
,"Lush Life
Zara Larsson",3,9.0,38,523677,Lush Life,Zara Larsson
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",9,21.0,9,481695,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"Raindance (feat. Tems)
Dave, Tems",4,12.0,18,477208,Raindance (feat. Tems),"Dave, Tems"
,"Copacabana Boy
Junior Lerin",5,7.0,4,471851,Copacabana Boy,Junior Lerin
,"Man I Need
Olivia Dean",3,13.0,28,461739,Man I Need,Olivia Dean
,"Babblarnas vaggvisa
Babblarna",5,18.0,374,433318,Babblarnas vaggvisa,Babblarna
,"Jag vet, du är inte min
Jacub",1,14.0,13,431356,"Jag vet, du är inte min",Jacub
,"The Fate of Ophelia
Taylor Swift",1,19.0,21,416110,The Fate of Ophelia,Taylor Swift
,"End of Beginning
Djo",3,16.0,16,411349,End of Beginning,Djo
,"WHERE IS MY HUSBAND!
RAYE",5,17.0,23,400899,WHERE IS MY HUSBAND!,RAYE
,"Half Of Me
Greczula",7,10.0,4,395980,Half Of Me,Greczula
,"DtMF
Bad Bunny",8,8.0,4,391736,DtMF,Bad Bunny
,"Eternity
Cimberly",22,,1,382387,Eternity,Cimberly
,"Stjärnorna
Humlan Djojj, Josefine Götestam",12,25.0,186,371908,Stjärnorna,"Humlan Djojj, Josefine Götestam"
,"Homewrecker
sombr",22,22.0,3,371824,Homewrecker,sombr
,"Somna
Humlan Djojj, Josefine Götestam",11,26.0,183,368889,Somna,"Humlan Djojj, Josefine Götestam"
,"Glitter
Arwin",15,15.0,3,352456,Glitter,Arwin
,"Humlehum
Humlan Djojj, Josefine Götestam",13,30.0,61,335870,Humlehum,"Humlan Djojj, Josefine Götestam"
,"Midnight Sun
Zara Larsson",8,29.0,37,324124,Midnight Sun,Zara Larsson
,"So Easy (To Fall In Love)
Olivia Dean",18,33.0,22,318056,So Easy (To Fall In Love),Olivia Dean
,"Ordinary
Alex Warren",3,28.0,55,316574,Ordinary,Alex Warren
,"Nu säger vi godnatt
Humlan Djojj, Josefine Götestam",14,34.0,133,314426,Nu säger vi godnatt,"Humlan Djojj, Josefine Götestam"
,"12 to 12
sombr",5,31.0,31,304545,12 to 12,sombr
,"Tití Me Preguntó
Bad Bunny",20,20.0,3,304162,Tití Me Preguntó,Bad Bunny
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,32.0,35,301350,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"Honey Honey
Robin Bengtsson",26,27.0,3,290317,Honey Honey,Robin Bengtsson
,"King Of Rock ’n’ Roll
Korslagda",24,24.0,2,284276,King Of Rock ’n’ Roll,Korslagda
,"Babydoll
Dominic Fike",37,45.0,4,284057,Babydoll,Dominic Fike
,"back to friends
sombr",7,37.0,49,279316,back to friends,sombr
,"No Broke Boys
Disco Lines, Tinashe",12,40.0,32,268073,No Broke Boys,"Disco Lines, Tinashe"
,"Godnattvisan
Humlan Djojj, Josefine Götestam",22,42.0,128,265241,Godnattvisan,"Humlan Djojj, Josefine Götestam"
,"Iris
The Goo Goo Dolls",20,41.0,61,264190,Iris,The Goo Goo Dolls
,"Selfish
Eva Jumatate",39,39.0,2,249202,Selfish,Eva Jumatate
,"NUEVAYoL
Bad Bunny",19,23.0,4,248763,NUEVAYoL,Bad Bunny
,"Die On This Hill
SIENNA SPIRO",20,44.0,19,247283,Die On This Hill,SIENNA SPIRO
,"Dusk Till Dawn
Patrik Jean",43,43.0,2,239195,Dusk Till Dawn,Patrik Jean
,"Tusen spänn
Tjuvjakt, Fanny Avonne",1,46.0,42,236899,Tusen spänn,"Tjuvjakt, Fanny Avonne"
,"Feelin' Myself
Mondo",47,,1,235550,Feelin' Myself,Mondo
,"Från landet
Erika Jonsson",48,,1,235531,Från landet,Erika Jonsson
,"I Just Might
Bruno Mars",14,49.0,7,235437,I Just Might,Bruno Mars
,"Ingenting är efter oss
Timo Räisänen",50,,1,235368,Ingenting är efter oss,Timo Räisänen
,"Hatar att jag älskar dig
Felix Manu",51,,1,231084,Hatar att jag älskar dig,Felix Manu
,"Svagare än jag
Ida-Lova",1,50.0,46,228108,Svagare än jag,Ida-Lova
,"Woman
Jacqline",19,38.0,4,218598,Woman,Jacqline
,"Vila med mig
Humlan Djojj, Josefine Götestam",29,52.0,61,216641,Vila med mig,"Humlan Djojj, Josefine Götestam"
,"Que Sera
Medina",1,47.0,4,211697,Que Sera,Medina
,"Babblarnas vaggvisa
Vintergatan",30,53.0,145,208129,Babblarnas vaggvisa,Vintergatan
,"Every Breath You Take
The Police",21,48.0,61,207754,Every Breath You Take,The Police
,"Psykoser
Asme, VC Barre",35,35.0,2,194438,Psykoser,"Asme, VC Barre"
,"Ingenting
Emilia Pantic",54,54.0,2,194192,Ingenting,Emilia Pantic
,"I Remember Everything (feat. Kacey Musgraves)
Zach Bryan, Kacey Musgraves",18,60.0,35,191841,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves"
,"Kan Inte Gå
Bolaget",1,66.0,217,191209,Kan Inte Gå,Bolaget
,"BAILE INoLVIDABLE
Bad Bunny",27,36.0,4,188854,BAILE INoLVIDABLE,Bad Bunny
,"Love Me Not
Ravyn Lenae",25,59.0,9,186095,Love Me Not,Ravyn Lenae
,"undressed
sombr",12,58.0,9,185849,undressed,sombr
,"Viva La Vida
Soppgirobygget",2,71.0,9,183790,Viva La Vida,Soppgirobygget
,"Sömnmolnet
Humlan Djojj, Josefine Götestam",37,64.0,61,183213,Sömnmolnet,"Humlan Djojj, Josefine Götestam"
,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",48,63.0,7,181060,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
,"Lost and found
Molly Sandén, Victor Leksell",1,61.0,9,178444,Lost and found,"Molly Sandén, Victor Leksell"
,"Dreams - 2004 Remaster
Fleetwood Mac",34,73.0,9,177389,Dreams - 2004 Remaster,Fleetwood Mac
,"Turn The Lights Off
Kato, Jon",33,62.0,12,176690,Turn The Lights Off,"Kato, Jon"
,"Piano Man
Billy Joel",48,70.0,9,176480,Piano Man,Billy Joel
,"Everywhere - 2017 Remaster
Fleetwood Mac",38,65.0,9,175792,Everywhere - 2017 Remaster,Fleetwood Mac
,"En ny dag
Humlan Djojj, Josefine Götestam",40,72.0,9,173447,En ny dag,"Humlan Djojj, Josefine Götestam"
,"Det kommer aldrig va över för mig
Håkan Hellström",9,99.0,9,172048,Det kommer aldrig va över för mig,Håkan Hellström
