rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"23
Raphael",1,1.0,3,167797,23,Raphael
,"Zub za zub
Separ, Raphael",1,3.0,39,107940,Zub za zub,"Separ, Raphael"
,"DtMF
Bad Bunny",2,2.0,4,88047,DtMF,Bad Bunny
,"TVOJE OČI
4rano, krystuffek",4,4.0,8,81299,TVOJE OČI,"4rano, krystuffek"
,"Tempo za 2
Sara Rikas, Raphael",3,11.0,45,79452,Tempo za 2,"Sara Rikas, Raphael"
,"Raindance (feat. Tems)
Dave, Tems",4,7.0,10,79269,Raindance (feat. Tems),"Dave, Tems"
,"Lush Life
Zara Larsson",3,5.0,15,76913,Lush Life,Zara Larsson
,"End of Beginning
Djo",1,8.0,17,76467,End of Beginning,Djo
,"Babydoll
Dominic Fike",9,23.0,4,75793,Babydoll,Dominic Fike
,"Body to body
Separ, French Montana, Peter Pann",1,10.0,48,73433,Body to body,"Separ, French Montana, Peter Pann"
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",11,45.0,8,72966,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"The Fate of Ophelia
Taylor Swift",3,15.0,21,67838,The Fate of Ophelia,Taylor Swift
,"PROBLEMA
Raphael, Luca Brassi10x",1,12.0,18,67367,PROBLEMA,"Raphael, Luca Brassi10x"
,"12 to 12
sombr",8,16.0,31,66542,12 to 12,sombr
,"WHERE IS MY HUSBAND!
RAYE",8,14.0,23,65967,WHERE IS MY HUSBAND!,RAYE
,"(When You Gonna) Give It Up to Me - Radio Version
Sean Paul, Keyshia Cole",15,18.0,9,65905,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole"
,"22
Raphael",9,13.0,36,65006,22,Raphael
,"Tití Me Preguntó
Bad Bunny",6,6.0,3,63907,Tití Me Preguntó,Bad Bunny
,"Nehaj tak
Separ, SpecialBeatz",3,17.0,48,62587,Nehaj tak,"Separ, SpecialBeatz"
,"Ups and downs
Sara Rikas",3,22.0,44,62181,Ups and downs,Sara Rikas
,"Iné Plemená
Sara Rikas, Viktor Sheen",6,21.0,63,62095,Iné Plemená,"Sara Rikas, Viktor Sheen"
,"back to friends
sombr",5,25.0,50,60736,back to friends,sombr
,"Tras tou
Separ, Sawsane",5,24.0,48,60321,Tras tou,"Separ, Sawsane"
,"Painkillers
Yzomandias, P T K, Luca Brassi10x, Le Winter",1,20.0,67,59946,Painkillers,"Yzomandias, P T K, Luca Brassi10x, Le Winter"
,"31
Shimmi, SIMILIVINLIFE",19,27.0,13,59044,31,"Shimmi, SIMILIVINLIFE"
,"DIG ON(A)
Frayer Flexking, Separ",3,19.0,11,57840,DIG ON(A),"Frayer Flexking, Separ"
,"Ordinary
Alex Warren",3,26.0,55,57036,Ordinary,Alex Warren
,"Sunset
Separ, Jerry Lee, P T K",1,28.0,156,56317,Sunset,"Separ, Jerry Lee, P T K"
,"NUEVAYoL
Bad Bunny",4,9.0,4,55814,NUEVAYoL,Bad Bunny
,"No Broke Boys
Disco Lines, Tinashe",13,29.0,33,55776,No Broke Boys,"Disco Lines, Tinashe"
,"Cigarety
Sara Rikas, Matej Turcer",5,34.0,44,54711,Cigarety,"Sara Rikas, Matej Turcer"
,"Talk2me
Sara Rikas, Yzomandias",1,30.0,46,54601,Talk2me,"Sara Rikas, Yzomandias"
,"Ready či ne!?
Raphael, Zayo",13,31.0,54,53961,Ready či ne!?,"Raphael, Zayo"
,"Pistácie (feat. Sofian Medjmedj)
Calin, Sofian Medjmedj",1,32.0,64,53789,Pistácie (feat. Sofian Medjmedj),"Calin, Sofian Medjmedj"
,"Love Me Not
Ravyn Lenae",29,37.0,47,48658,Love Me Not,Ravyn Lenae
,"Phantom
EsDeeKid, Rico Ace",6,36.0,22,47610,Phantom,"EsDeeKid, Rico Ace"
,"Bbejbb
Separ, Peter Pann",1,42.0,104,46617,Bbejbb,"Separ, Peter Pann"
,"NENI STRE$S
Pil C, Luca Brassi10x, Separ",1,44.0,90,46203,NENI STRE$S,"Pil C, Luca Brassi10x, Separ"
,"SI JE*LA
Hard Rico",1,39.0,26,46017,SI JE*LA,Hard Rico
,"Man I Need
Olivia Dean",37,43.0,23,45923,Man I Need,Olivia Dean
,"Just Keep Watching (From F1® The Movie)
Tate McRae, F1 The Album",10,53.0,39,45222,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album"
,"Homewrecker
sombr",42,46.0,3,44128,Homewrecker,sombr
,"nikto ako my
Pil C, Luca Brassi10x, Separ",4,41.0,38,44095,nikto ako my,"Pil C, Luca Brassi10x, Separ"
,"undressed
sombr",25,52.0,49,44045,undressed,sombr
,"AENE
Separ, SMART, Dame",1,49.0,48,43398,AENE,"Separ, SMART, Dame"
,"Every Breath You Take
The Police",11,40.0,65,43065,Every Breath You Take,The Police
,"Papaoutai - Afro Soul
mikeeysmind, Chill77, Unjaps",8,47.0,2,42945,Papaoutai - Afro Soul,"mikeeysmind, Chill77, Unjaps"
,"ZA KATREM
Hard Rico",3,38.0,8,42919,ZA KATREM,Hard Rico
,"Stále som
Sara Rikas",10,67.0,45,42650,Stále som,Sara Rikas
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",7,51.0,35,42454,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"Džanes
Sara Rikas",29,50.0,45,41563,Džanes,Sara Rikas
,"4 Raws
EsDeeKid",22,48.0,17,40271,4 Raws,EsDeeKid
,"AM4
Shimmi, SIMILIVINLIFE, GABRIELL",15,56.0,102,39916,AM4,"Shimmi, SIMILIVINLIFE, GABRIELL"
,"Sailor Song
Gigi Perez",3,59.0,80,39669,Sailor Song,Gigi Perez
,"Rozdělený světy
Viktor Sheen",7,64.0,30,39639,Rozdělený světy,Viktor Sheen
,"BlockSuperstars
Raphael, Simon Red",41,57.0,27,39152,BlockSuperstars,"Raphael, Simon Red"
,"S&M
Rihanna",52,62.0,61,39052,S&M,Rihanna
,"Italiano,Cigan,Arab
Danior, Tunisino",9,55.0,10,38778,"Italiano,Cigan,Arab","Danior, Tunisino"
,"Strach
BUKA",1,60.0,16,38391,Strach,BUKA
,"BAILE INoLVIDABLE
Bad Bunny",17,33.0,4,38293,BAILE INoLVIDABLE,Bad Bunny
,"Don't Stop The Music
Rihanna",50,61.0,61,37864,Don't Stop The Music,Rihanna
,"Pinokio
Separ, Dano Kapitán",12,65.0,96,37739,Pinokio,"Separ, Dano Kapitán"
,"Swagsucks
Separ",2,66.0,48,37272,Swagsucks,Separ
,"Nemáme
Raphael, Hard Rico",36,54.0,29,37027,Nemáme,"Raphael, Hard Rico"
,"Free Love
Raphael, Calin",29,63.0,19,36557,Free Love,"Raphael, Calin"
,"Svoboda
Yzomandias, P T K, Sara Rikas",15,69.0,66,36546,Svoboda,"Yzomandias, P T K, Sara Rikas"
,"EoO
Bad Bunny",31,35.0,3,36055,EoO,Bad Bunny
