rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Who
Jimin",1,2.0,84,111156,Who,Jimin
,"Winter Ahead (with PARK HYO SHIN)
V, Park Hyo Shin",1,1.0,65,98433,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin"
,"Be Mine
Jimin",2,3.0,84,69299,Be Mine,Jimin
,"КУПЕР
SQWOZ BAB",4,6.0,4,58351,КУПЕР,SQWOZ BAB
,"днями и ночами
BUSHIDO ZHO, Scally Milano, Полка",3,4.0,12,40895,днями и ночами,"BUSHIDO ZHO, Scally Milano, Полка"
,"NOBODY
Aarne, Toxi$, Big Baby Tape",4,49.0,16,40397,NOBODY,"Aarne, Toxi$, Big Baby Tape"
,"священная война
урал гайсин",5,5.0,34,36166,священная война,урал гайсин
,"8 миля
madk1d, VILLIAN",8,,1,33151,8 миля,"madk1d, VILLIAN"
,"так похуй
madk1d",2,7.0,49,33140,так похуй,madk1d
,"Like Crazy
Jimin",5,11.0,56,31336,Like Crazy,Jimin
,"Babydoll
Dominic Fike",11,12.0,3,31126,Babydoll,Dominic Fike
,"ParisLove
FORTUNA 812",2,8.0,68,30111,ParisLove,FORTUNA 812
,"Супермаркет
Poshlaya Molly",7,9.0,131,29999,Супермаркет,Poshlaya Molly
,"распять
greyrock, tewiq, madk1d",7,10.0,50,28435,распять,"greyrock, tewiq, madk1d"
,"speed
dabbackwood",11,14.0,6,28120,speed,dabbackwood
,"Контракт
Poshlaya Molly",8,13.0,211,26327,Контракт,Poshlaya Molly
,"ты че обиделась
madk1d, тёмный принц",5,20.0,50,25286,ты че обиделась,"madk1d, тёмный принц"
,"Нон стоп
Poshlaya Molly",14,16.0,211,24750,Нон стоп,Poshlaya Molly
,"Rebirth (Intro)
Jimin",6,25.0,43,24646,Rebirth (Intro),Jimin
,"Ханнамонтана
Poshlaya Molly",18,19.0,134,24588,Ханнамонтана,Poshlaya Molly
,"Юра, Юра
CUPSIZE",21,24.0,21,23840,"Юра, Юра",CUPSIZE
,"MARTINE ROSE
madk1d, greyrock, tewiq",6,15.0,21,23835,MARTINE ROSE,"madk1d, greyrock, tewiq"
,"Все хотят меня поцеловать
Poshlaya Molly",15,18.0,149,23786,Все хотят меня поцеловать,Poshlaya Molly
,"Шиншиллы
LSP",2,17.0,13,23419,Шиншиллы,LSP
,"Жить в кайф
Max Korzh",8,28.0,59,23062,Жить в кайф,Max Korzh
,"Четыре тридцать
Violetta Sokolova",4,22.0,136,22860,Четыре тридцать,Violetta Sokolova
,"овердоз
тёмный принц",3,21.0,25,22359,овердоз,тёмный принц
,"Банкомат
DEAD BLONDE",26,30.0,64,21800,Банкомат,DEAD BLONDE
,"БАНК
Icegergert, Zivert",6,26.0,19,21640,БАНК,"Icegergert, Zivert"
,"ПОВОД
MORGENSHTERN",1,31.0,34,21596,ПОВОД,MORGENSHTERN
,"Сайт
Раковая Выхухоль",12,27.0,18,21580,Сайт,Раковая Выхухоль
,"СВЕТЛАНА!
NEXTIME",3,23.0,14,21289,СВЕТЛАНА!,NEXTIME
,"Шёлк
Ваня Дмитриенко",5,29.0,32,21172,Шёлк,Ваня Дмитриенко
,"FRI(END)S
V",6,33.0,8,20512,FRI(END)S,V
,"ты любишь танцевать
CUPSIZE",32,34.0,25,19853,ты любишь танцевать,CUPSIZE
