rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"กลัวว่าฉันจะไม่เสียใจ (Fear)
PURPEECH",1,1.0,46,1819114,กลัวว่าฉันจะไม่เสียใจ (Fear),PURPEECH
,"ดาวตก (Wish) [feat. Z9]
WANYAi, Z9",1,2.0,21,1407883,ดาวตก (Wish) [feat. Z9],"WANYAi, Z9"
,"ใจฉันตามเธอไป
YOUNGOHM",1,3.0,17,1277783,ใจฉันตามเธอไป,YOUNGOHM
,"Sunset In Pattaya
YOUNGOHM",4,4.0,17,1208836,Sunset In Pattaya,YOUNGOHM
,"Benz ดำ
YOUNGOHM",3,5.0,16,1151782,Benz ดำ,YOUNGOHM
,"ฝากให้เขารัก
Yes'sir Days",2,6.0,28,1030476,ฝากให้เขารัก,Yes'sir Days
,"Seven (feat. Latto) (Explicit Ver.)
Jung Kook, Latto",1,16.0,137,931375,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
,"Who
Jimin",1,11.0,84,922329,Who,Jimin
,"กลัวความเสียใจ
Saran, Pearpilincys",8,9.0,11,909197,กลัวความเสียใจ,"Saran, Pearpilincys"
,"นครดารา
YOUNGOHM",2,7.0,54,880167,นครดารา,YOUNGOHM
,"สมดุลรัก (Balance)
SEA., Sexski",5,14.0,22,822699,สมดุลรัก (Balance),"SEA., Sexski"
,"ดอกกระเจียวบาน
Kong Huayrai",6,10.0,11,820721,ดอกกระเจียวบาน,Kong Huayrai
,"9 นาฬิกา
SPF",7,8.0,107,801850,9 นาฬิกา,SPF
,"รสชาติชีวิต
LITTLE JOHN",12,12.0,5,787381,รสชาติชีวิต,LITTLE JOHN
,"จากกันโดยสมบูรณ์
guncharlie",14,17.0,52,755389,จากกันโดยสมบูรณ์,guncharlie
,"เจิดจรัส
YOUNGOHM",4,13.0,41,745897,เจิดจรัส,YOUNGOHM
,"เลือกเองกับมือ (Bad Choices)
Season Five",15,24.0,8,686898,เลือกเองกับมือ (Bad Choices),Season Five
,"อยากจะกอดเธอนาน ๆ (HAVE A GOOD TIME)
BLVCKHEART",1,21.0,37,683799,อยากจะกอดเธอนาน ๆ (HAVE A GOOD TIME),BLVCKHEART
,"One Of My Life
BLVCKHEART, K6Y",8,22.0,56,678833,One Of My Life,"BLVCKHEART, K6Y"
,"ที่คั่นหนังสือ (Sometimes)
BOWKYLION, NONT TANONT",3,18.0,44,677331,ที่คั่นหนังสือ (Sometimes),"BOWKYLION, NONT TANONT"
,"กรุงเทพมหานคร
YOUNGOHM",3,15.0,18,664152,กรุงเทพมหานคร,YOUNGOHM
,"บทสรุปสุดท้าย
Z9",2,20.0,49,663684,บทสรุปสุดท้าย,Z9
,"BU
SURIYA MQT, P6ICK",4,29.0,25,623200,BU,"SURIYA MQT, P6ICK"
,"ใจเหลือเหลือ
Dr.Fuu",24,30.0,41,617037,ใจเหลือเหลือ,Dr.Fuu
,"Don’t Say You Love Me
Jin",1,19.0,41,606058,Don’t Say You Love Me,Jin
,"ไฟเย็น
YOUNGOHM",16,31.0,160,598441,ไฟเย็น,YOUNGOHM
,"Yours Ever (feat. Q Flure)
Cocktail, Q Flure",4,27.0,73,591106,Yours Ever (feat. Q Flure),"Cocktail, Q Flure"
,"รู้ตัวอีกที
Sexski, 2T FLOW",10,23.0,8,584459,รู้ตัวอีกที,"Sexski, 2T FLOW"
,"อาจเป็นเพราะฉันเอง (me.)
PURPEECH",22,35.0,42,572555,อาจเป็นเพราะฉันเอง (me.),PURPEECH
,"ที่เดิม
PUN",15,28.0,75,556616,ที่เดิม,PUN
,"เรื่องราวความรักในตำนาน
YOUNGOHM, GAVIN:D",10,34.0,110,547876,เรื่องราวความรักในตำนาน,"YOUNGOHM, GAVIN:D"
,"ซาโยนาระ
Mild",26,26.0,25,547490,ซาโยนาระ,Mild
,"ความทรงจำ
Musketeers",9,37.0,162,545392,ความทรงจำ,Musketeers
,"ที่ผ่านมาขอบใจจริงๆ
LITTLE JOHN",13,33.0,48,534769,ที่ผ่านมาขอบใจจริงๆ,LITTLE JOHN
,"Rockstar
LISA",1,32.0,47,530696,Rockstar,LISA
,"เพลงรัก
Three Man Down",5,25.0,72,529632,เพลงรัก,Three Man Down
,"PLEASE
atom chanakan",37,43.0,53,528257,PLEASE,atom chanakan
,"I Just Wanna Know
PUN",12,36.0,76,521086,I Just Wanna Know,PUN
,"guilty pleasure
PP KRIT, GALCHANIE",39,,1,515208,guilty pleasure,"PP KRIT, GALCHANIE"
,"ก่อนตาย
Big Ass",5,40.0,69,515022,ก่อนตาย,Big Ass
,"ขี้หึง
Silly Fools",28,42.0,130,514561,ขี้หึง,Silly Fools
,"เล่นของสูง
Big Ass",32,41.0,97,512927,เล่นของสูง,Big Ass
,"สลักจิต (feat. ดา เอ็นโดรฟิน)
Pop Pongkool, ดา เอ็นโดรฟิน",7,51.0,52,503918,สลักจิต (feat. ดา เอ็นโดรฟิน),"Pop Pongkool, ดา เอ็นโดรฟิน"
,"1 OF 1
P6ICK, SURIYA MQT",8,39.0,32,488139,1 OF 1,"P6ICK, SURIYA MQT"
,"ต่อยให้
Txrbo",28,45.0,17,482314,ต่อยให้,Txrbo
,"รออยู่อย่างนั้น
Saran, Z9, SIMON",15,38.0,56,462262,รออยู่อย่างนั้น,"Saran, Z9, SIMON"
,"ไม่บอกเธอ
Bedroom Audio",30,46.0,99,459435,ไม่บอกเธอ,Bedroom Audio
,"อยู่ได้แล้ว
Lipta, Mirrr",8,50.0,82,457994,อยู่ได้แล้ว,"Lipta, Mirrr"
,"ไม่ใช่ไม่รัก
PORZAX",19,47.0,9,450259,ไม่ใช่ไม่รัก,PORZAX
,"มอง 2568
YOUNGOHM",18,49.0,14,448407,มอง 2568,YOUNGOHM
,"คิด(แต่ไม่)ถึง (Same Page?)
Tilly Birds",1,58.0,54,436906,คิด(แต่ไม่)ถึง (Same Page?),Tilly Birds
,"BOTH SIDES
NCT JNJM",52,,1,433647,BOTH SIDES,NCT JNJM
,"I Thought I Saw Your Face Today
She & Him",37,52.0,10,433080,I Thought I Saw Your Face Today,She & Him
,"สุดแต่ใจจะไขว่คว้า
LITTLE JOHN",14,53.0,57,430045,สุดแต่ใจจะไขว่คว้า,LITTLE JOHN
,"อยากอินเพลงรัก
Season Five, No One Else",48,63.0,16,429599,อยากอินเพลงรัก,"Season Five, No One Else"
,"ไกล
Musketeers",44,55.0,68,425456,ไกล,Musketeers
,"back to friends
sombr",39,54.0,39,418976,back to friends,sombr
,"เดินมาส่ง - BYE
First Anuwat, Saran",11,72.0,146,417627,เดินมาส่ง - BYE,"First Anuwat, Saran"
,"คิดถึงฉันไหมเวลาที่เธอ...
Taxi",59,82.0,11,417447,คิดถึงฉันไหมเวลาที่เธอ...,Taxi
,"รักมือสอง
Bedroom Audio",22,67.0,65,412843,รักมือสอง,Bedroom Audio
,"Winter Ahead (with PARK HYO SHIN)
V, Park Hyo Shin",1,44.0,65,411820,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin"
,"ดอกไม้กับหัวใจ
I-Zax",56,56.0,22,410022,ดอกไม้กับหัวใจ,I-Zax
,"CURSE (รักใครไม่เป็น)
Z9, 2K, Saran",3,62.0,57,409266,CURSE (รักใครไม่เป็น),"Z9, 2K, Saran"
,"Living Death
PUN",19,57.0,44,409199,Living Death,PUN
,"แค่คุณ
Musketeers",41,48.0,147,407591,แค่คุณ,Musketeers
,"แก้บน
Kantong Tungngern",21,60.0,20,406917,แก้บน,Kantong Tungngern
,"ทางของฝุ่น (Dust)
atom chanakan",67,98.0,4,397315,ทางของฝุ่น (Dust),atom chanakan
,"Good Goodbye
HWASA",68,85.0,2,393481,Good Goodbye,HWASA
,"เวลาเธอยิ้ม (You Had Me At Hello)
Polycat",22,61.0,89,390403,เวลาเธอยิ้ม (You Had Me At Hello),Polycat
,"คนสวย
BETAYOURBITCH, N0RMA1, BARON",19,68.0,18,385873,คนสวย,"BETAYOURBITCH, N0RMA1, BARON"
,"วิงวอน (ex-change)
BOWKYLION",15,59.0,66,385355,วิงวอน (ex-change),BOWKYLION
,"Hurry up!
JayQ, 7Vibes",11,64.0,46,384201,Hurry up!,"JayQ, 7Vibes"
,"เจ็บไปรักไป
Yes'sir Days",73,94.0,23,379065,เจ็บไปรักไป,Yes'sir Days
,"รักรักรักรักรักรักรัก (Talk Less)
D Gerrard",13,69.0,41,378064,รักรักรักรักรักรักรัก (Talk Less),D Gerrard
,"สองรัก
Zeal",69,70.0,70,373293,สองรัก,Zeal
,"Faded - Special Version
2Ectasy, Z9",8,65.0,46,367666,Faded - Special Version,"2Ectasy, Z9"
,"สิ้นสุดความพยายาม
PORZAX",43,71.0,12,360546,สิ้นสุดความพยายาม,PORZAX
,"ลูกอม
Whatcharawalee",49,79.0,143,360162,ลูกอม,Whatcharawalee
,"ฤดูร้อน
Paradox",79,97.0,4,357571,ฤดูร้อน,Paradox
,"เสียดายของ
Basher",38,77.0,99,356737,เสียดายของ,Basher
,"Born Again (feat. Doja Cat & RAYE)
LISA, Doja Cat, RAYE",1,75.0,55,346291,Born Again (feat. Doja Cat & RAYE),"LISA, Doja Cat, RAYE"
,"สาธุ (Sathu) [feat. ปลาย กนกพร]
ASIA7, ปลาย กนกพร",70,87.0,9,344523,สาธุ (Sathu) [feat. ปลาย กนกพร],"ASIA7, ปลาย กนกพร"
,"DAY ONE
PUN",6,66.0,90,344505,DAY ONE,PUN
,"กอดไม่ได้
Bedroom Audio",35,88.0,96,343626,กอดไม่ได้,Bedroom Audio
,"คำเดียวง่าย ๆ
Z9, 1ST, 2K, 2T FLOW",84,84.0,2,342710,คำเดียวง่าย ๆ,"Z9, 1ST, 2K, 2T FLOW"
,"เจ็บแค่ไหนก็ยังรักอยู่ (feat. ฟิล์ม บงกช) - เพลงประกอบละคร ""อย่าลืมฉัน""
Yes'sir Days, Fymme Bongkot",72,104.0,9,342411,"เจ็บแค่ไหนก็ยังรักอยู่ (feat. ฟิล์ม บงกช) - เพลงประกอบละคร ""อย่าลืมฉัน""","Yes'sir Days, Fymme Bongkot"
,"พบกันใหม่ (So Long)
Polycat",58,91.0,23,342387,พบกันใหม่ (So Long),Polycat
,"End of Beginning
Djo",38,81.0,13,340494,End of Beginning,Djo
,"พอได้แล้ว
PORZAX",55,74.0,3,336366,พอได้แล้ว,PORZAX
,"กุหลาบ
F.HERO, Kantong Tungngern, Saran",3,89.0,54,330457,กุหลาบ,"F.HERO, Kantong Tungngern, Saran"
,"wanna be yours (อยากให้เธอรัก)
Violette Wautier",10,78.0,27,327257,wanna be yours (อยากให้เธอรัก),Violette Wautier
,"เพลงของเรา
Tattoo Colour",92,111.0,14,327056,เพลงของเรา,Tattoo Colour
,"BIRDS OF A FEATHER
Billie Eilish",7,73.0,92,326480,BIRDS OF A FEATHER,Billie Eilish
,"อ๊ะป่าว?
The 38 Years Ago",94,,1,326191,อ๊ะป่าว?,The 38 Years Ago
,"สักวันฉันจะหายดี
Ink Waruntorn",9,105.0,55,318619,สักวันฉันจะหายดี,Ink Waruntorn
,"เผื่อวันไหนเธอจะกลับมา
guncharlie",9,92.0,102,318295,เผื่อวันไหนเธอจะกลับมา,guncharlie
,"ซ้ำรอย
Young J, DASHIE",66,83.0,10,317330,ซ้ำรอย,"Young J, DASHIE"
,"ไม่ให้ไป
Three Man Down",22,100.0,89,315706,ไม่ให้ไป,Three Man Down
,"ใจพัง
Saran, GTK",26,116.0,115,314922,ใจพัง,"Saran, GTK"
,"Rain Zone
Maiyarap, Z9",100,,1,313692,Rain Zone,"Maiyarap, Z9"
,"So Easy (To Fall In Love)
Olivia Dean",94,109.0,16,312442,So Easy (To Fall In Love),Olivia Dean
,"จังหวะจะรัก
Violette Wautier",11,86.0,37,310319,จังหวะจะรัก,Violette Wautier
,"รองเท้าเก่า
Tattoo Colour",72,90.0,23,306909,รองเท้าเก่า,Tattoo Colour
,"เด็กอินเตอร์
YOUNGOHM",41,122.0,88,305564,เด็กอินเตอร์,YOUNGOHM
,"จางหาย
Goy Arachaporn",16,112.0,6,304684,จางหาย,Goy Arachaporn
,"ไร้รัก
Highhot",37,95.0,64,304677,ไร้รัก,Highhot
,"คำตอบสุดท้าย
AirBorne",34,102.0,30,304286,คำตอบสุดท้าย,AirBorne
,"รักเธอหัวทิ่มบ่อ
HANGMAN",23,106.0,62,300185,รักเธอหัวทิ่มบ่อ,HANGMAN
,"Move On แบบใด
JOEY PHUWASIT",109,127.0,4,297024,Move On แบบใด,JOEY PHUWASIT
,"อะไรฉันก็ยอม
Saran, Pondering, WHALJAY, SLOWVXNZ",65,113.0,102,294325,อะไรฉันก็ยอม,"Saran, Pondering, WHALJAY, SLOWVXNZ"
,"Unfriend
Helmetheads",93,93.0,16,293601,Unfriend,Helmetheads
,"PHOM BLONDE
spingy, Stickyrice Killah, YUNGTARR",112,157.0,4,289154,PHOM BLONDE,"spingy, Stickyrice Killah, YUNGTARR"
,"SHE IS TOTALLY OUT OF MY LEAGUE (feat. Z9)
P6ICK, Z9",32,118.0,30,288885,SHE IS TOTALLY OUT OF MY LEAGUE (feat. Z9),"P6ICK, Z9"
,"ช่างมัน
Cocktail",55,103.0,24,288583,ช่างมัน,Cocktail
,"รักแรกพบ
Tattoo Colour",65,110.0,38,287939,รักแรกพบ,Tattoo Colour
,"ดาวหางฮัลเลย์
fellow fellow",3,114.0,130,284636,ดาวหางฮัลเลย์,fellow fellow
,"You Give Me Butterflies
BLUE PONGTIWAT, TEN",80,80.0,2,283928,You Give Me Butterflies,"BLUE PONGTIWAT, TEN"
,"อยู่ตรงนี้เสมอ
Clash",52,161.0,12,281482,อยู่ตรงนี้เสมอ,Clash
,"หากจะเพียงขอ (Sincare)
PURPEECH",31,130.0,230,281183,หากจะเพียงขอ (Sincare),PURPEECH
,"Proud
fellow fellow",8,119.0,85,280023,Proud,fellow fellow
,"ใจเย็น
Pancake",31,107.0,13,279781,ใจเย็น,Pancake
,"ล้มแชมป์ (Only You Can)
Tilly Birds, Polycat",8,101.0,59,279004,ล้มแชมป์ (Only You Can),"Tilly Birds, Polycat"
,"ฉันจะรีบบอกรักเธอ
T!NE",22,108.0,44,277872,ฉันจะรีบบอกรักเธอ,T!NE
,"ฝากไว้ให้ Kiss (feat. BLVCKHEART)
JayQ, BLVCKHEART",63,128.0,18,276880,ฝากไว้ให้ Kiss (feat. BLVCKHEART),"JayQ, BLVCKHEART"
,"จะรักหรือจะร้าย - เพลงประกอบละคร ""กุหลาบเหนือเมฆ""
KLEAR",111,125.0,8,276356,"จะรักหรือจะร้าย - เพลงประกอบละคร ""กุหลาบเหนือเมฆ""",KLEAR
,"คู่ชีวิต
Cocktail",54,137.0,4,276151,คู่ชีวิต,Cocktail
,"ฉันไม่ต้องการตัวเธอในตอนนี้
LITTLE JOHN",23,96.0,80,276110,ฉันไม่ต้องการตัวเธอในตอนนี้,LITTLE JOHN
,"One Of The Girls (with JENNIE, Lily Rose Depp)
The Weeknd, JENNIE, Lily-Rose Depp",10,120.0,133,274616,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp"
,"กอดกัน
K6Y, Lazyloxy, Jayrun",81,135.0,24,274219,กอดกัน,"K6Y, Lazyloxy, Jayrun"
,"Victoria's Secret
DIAMOND MQT",19,142.0,33,272587,Victoria's Secret,DIAMOND MQT
,"Moonlit Floor (Kiss Me)
LISA",1,117.0,73,271792,Moonlit Floor (Kiss Me),LISA
,"วันนี้ปีที่แล้ว
MEYOU",11,144.0,24,270880,วันนี้ปีที่แล้ว,MEYOU
,"จากตรงนี้ที่(เคย)สวยงาม [La La Bye]
AYLA's",10,153.0,9,270866,จากตรงนี้ที่(เคย)สวยงาม [La La Bye],AYLA's
,"สิ้นสุดแรงรั้ง
PORZAX",81,139.0,8,270828,สิ้นสุดแรงรั้ง,PORZAX
,"แอบหวัง
Anatomy Rabbit",17,146.0,195,268489,แอบหวัง,Anatomy Rabbit
,"เธอ
Cocktail",70,115.0,13,268305,เธอ,Cocktail
,"คนจริงใจ (feat. พงศ์ พัทลุง, ปู่จ๋าน ลองไมค์ & Lamyai Haitongkam)
Cocktail, พงศ์ พัทลุง, ปู่จ๋าน ลองไมค์, Lamyai Haitongkam",25,121.0,33,267286,"คนจริงใจ (feat. พงศ์ พัทลุง, ปู่จ๋าน ลองไมค์ & Lamyai Haitongkam)","Cocktail, พงศ์ พัทลุง, ปู่จ๋าน ลองไมค์, Lamyai Haitongkam"
,"Die On This Hill
SIENNA SPIRO",113,133.0,5,267135,Die On This Hill,SIENNA SPIRO
,"หลง
JODAI",80,156.0,7,266861,หลง,JODAI
,"ไกลแค่ไหน คือ ใกล้
getsunova",137,175.0,8,266628,ไกลแค่ไหน คือ ใกล้,getsunova
,"ไปได้ดี (So Long)
WANYAi",6,145.0,4,266204,ไปได้ดี (So Long),WANYAi
,"Love Me Harder
Ariana Grande, The Weeknd",138,138.0,6,265072,Love Me Harder,"Ariana Grande, The Weeknd"
,"ขอ (WARM EYES)
Lomosonic",143,163.0,3,264405,ขอ (WARM EYES),Lomosonic
,"นิทาน
Musketeers",106,159.0,2,264084,นิทาน,Musketeers
,"คู่ชีวิต
Dr.Fuu",66,123.0,20,263382,คู่ชีวิต,Dr.Fuu
,"พูดแล้วอยากจะร้องไห้
Dr.Fuu",85,124.0,34,260897,พูดแล้วอยากจะร้องไห้,Dr.Fuu
,"แพ้ทาง
Labanoon",146,192.0,9,260209,แพ้ทาง,Labanoon
,"ใจบาง
LUMMUN",148,177.0,2,259843,ใจบาง,LUMMUN
,"ปล่อย (Miss)
Clockwork Motionless",75,170.0,2,259756,ปล่อย (Miss),Clockwork Motionless
,"อิจฉา
MEYOU",11,173.0,117,259565,อิจฉา,MEYOU
,"ของขวัญปีใหม่ (Golden Night)
Jeff Satur",22,136.0,15,259403,ของขวัญปีใหม่ (Golden Night),Jeff Satur
,"Haegeum
Agust D",1,76.0,7,258291,Haegeum,Agust D
,"ลามปาม (circus)
BOWKYLION, Jeff Satur",14,131.0,29,257480,ลามปาม (circus),"BOWKYLION, Jeff Satur"
,"ภาพจำ
Pop Pongkool",1,126.0,11,256932,ภาพจำ,Pop Pongkool
,"ซอยข่อยแน
Yonia",53,132.0,7,256915,ซอยข่อยแน,Yonia
,"ลืมไป (Blind) [feat. ปู่จ๋าน ลองไมค์]
WANYAi, ปู่จ๋าน ลองไมค์",5,,1,256099,ลืมไป (Blind) [feat. ปู่จ๋าน ลองไมค์],"WANYAi, ปู่จ๋าน ลองไมค์"
,"จากฉันถึงเธอ (feat. พงษ์สิทธิ์ คำภีร์)
Cocktail, พงษ์สิทธิ์ คำภีร์",157,,1,253656,จากฉันถึงเธอ (feat. พงษ์สิทธิ์ คำภีร์),"Cocktail, พงษ์สิทธิ์ คำภีร์"
,"พยายามกี่ครั้งก็ตามแต่...
HANGMAN",79,162.0,8,253606,พยายามกี่ครั้งก็ตามแต่...,HANGMAN
,"เพลงที่เธอไม่ฟัง
Bedroom Audio",11,178.0,5,253236,เพลงที่เธอไม่ฟัง,Bedroom Audio
,"ปล่อยดาว (Flaw)
YEW",11,149.0,123,252567,ปล่อยดาว (Flaw),YEW
,"Very Very Small
YOUNGOHM",15,151.0,53,252567,Very Very Small,YOUNGOHM
,"บอกตัวเอง
Room 39, โป่ง หินเหล็กไฟ",88,140.0,10,250809,บอกตัวเอง,"Room 39, โป่ง หินเหล็กไฟ"
,"Loop (ฉันจึงวนกลับมา)
ASIA7",24,150.0,19,248498,Loop (ฉันจึงวนกลับมา),ASIA7
,"งานเต้นรำ
Musketeers",62,165.0,9,247954,งานเต้นรำ,Musketeers
,"ครั้งสุดท้าย
OG-ANIC, GAVIN:D, NINO",88,152.0,4,246956,ครั้งสุดท้าย,"OG-ANIC, GAVIN:D, NINO"
,"คนไม่เอาถ่าน
Big Ass",85,129.0,13,246175,คนไม่เอาถ่าน,Big Ass
,"Love Me Not
Ravyn Lenae",160,160.0,4,246017,Love Me Not,Ravyn Lenae
,"Die With A Smile
Lady Gaga, Bruno Mars",5,141.0,80,245744,Die With A Smile,"Lady Gaga, Bruno Mars"
,"แตกต่างเหมือนกัน
getsunova",169,,1,245612,แตกต่างเหมือนกัน,getsunova
,"ฟีโรโมน
BLVCKHEART, 2TFLOW",24,148.0,14,245098,ฟีโรโมน,"BLVCKHEART, 2TFLOW"
,"นิโคติน
Mirrr",1,168.0,8,245008,นิโคติน,Mirrr
,"ปรารถนาสิ่งใดฤๅ
Cocktail",36,155.0,5,244019,ปรารถนาสิ่งใดฤๅ,Cocktail
,"โลกทั้งใบ
เล็ก รัชเมศฐ์",18,147.0,33,242528,โลกทั้งใบ,เล็ก รัชเมศฐ์
,"คำยินดี
KLEAR",172,191.0,4,241752,คำยินดี,KLEAR
,"เงา (Silhouette)
WANYAi",124,143.0,4,239740,เงา (Silhouette),WANYAi
,"ความคาดหวัง (feat. ตูน BODYSLAM, ปั๊บ Potato)
Cocktail, ตูน BODYSLAM, ปั๊บ Potato",45,200.0,4,237202,"ความคาดหวัง (feat. ตูน BODYSLAM, ปั๊บ Potato)","Cocktail, ตูน BODYSLAM, ปั๊บ Potato"
,"มีสิทธิ์อะไร
SPF",148,169.0,7,236863,มีสิทธิ์อะไร,SPF
,"That's What I Like
Bruno Mars",40,179.0,12,236487,That's What I Like,Bruno Mars
,"เคยรัก
9tokyo, 2K",106,190.0,4,234226,เคยรัก,"9tokyo, 2K"
,"สถานีดวงจันทร์
Whatcharawalee",60,176.0,2,233634,สถานีดวงจันทร์,Whatcharawalee
,"Kryptonite
PUN",71,99.0,37,233412,Kryptonite,PUN
,"ฝนตกไหม
Three Man Down",1,187.0,12,232412,ฝนตกไหม,Three Man Down
,"ใจสั่งมา
Loso",81,185.0,2,232379,ใจสั่งมา,Loso
,"เพื่อนเล่น ไม่เล่นเพื่อน (Just Being Friendly) [feat. MILLI]
Tilly Birds, MILLI",1,154.0,12,232320,เพื่อนเล่น ไม่เล่นเพื่อน (Just Being Friendly) [feat. MILLI],"Tilly Birds, MILLI"
,"วิทลัย หลายใจ
วิด ไฮเปอร์",154,182.0,9,231463,วิทลัย หลายใจ,วิด ไฮเปอร์
,"Summertime
YEW, LANDOKMAI",3,166.0,188,230976,Summertime,"YEW, LANDOKMAI"
,"จันทร์เจ้า (Goodbye)
Slot Machine",187,,1,229486,จันทร์เจ้า (Goodbye),Slot Machine
,"เพลงนี้ผมเขียนให้เธอ
Pondering",68,194.0,5,228705,เพลงนี้ผมเขียนให้เธอ,Pondering
,"I Wanna Be Yours
Arctic Monkeys",92,172.0,3,228478,I Wanna Be Yours,Arctic Monkeys
,"ถ้าฉันเป็นเขา
Indigo",3,,1,227036,ถ้าฉันเป็นเขา,Indigo
,"Luxury
D Gerrard",15,,1,226817,Luxury,D Gerrard
,"ซ่อนกลิ่น
Palmy",1,183.0,2,226487,ซ่อนกลิ่น,Palmy
,"สนิทใจ - เพลงจากละคร ""รักร้าย""
Palmy",165,,1,224997,"สนิทใจ - เพลงจากละคร ""รักร้าย""",Palmy
,"สัญญาหน้าฝน
Carabao, Center Stage",158,158.0,4,224844,สัญญาหน้าฝน,"Carabao, Center Stage"
,"ที่ว่าง (Empty Space)
Pause",98,167.0,4,224024,ที่ว่าง (Empty Space),Pause
,"ไม่มีที่ไปก็ต้องไป
guncharlie",73,181.0,28,223263,ไม่มีที่ไปก็ต้องไป,guncharlie
,"ตั้งแต่มีเธอฉันมีความสุข (This Time)
Violette Wautier",16,134.0,3,223043,ตั้งแต่มีเธอฉันมีความสุข (This Time),Violette Wautier
,"ธิดาประจำอำเภอ
The Richman Toy",168,184.0,8,222452,ธิดาประจำอำเภอ,The Richman Toy
,"Galaxy (feat. Kob The X Factor)
D Gerrard, Kob The X Factor",21,196.0,4,220822,Galaxy (feat. Kob The X Factor),"D Gerrard, Kob The X Factor"
,"สักวันฉันจะดีพอ
Bodyslam",115,188.0,2,220693,สักวันฉันจะดีพอ,Bodyslam
