rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Winter Ahead (with PARK HYO SHIN)
V, Park Hyo Shin",1,1.0,65,1372739,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin"
,"Don’t Say You Love Me
Jin",2,2.0,41,531289,Don’t Say You Love Me,Jin
,"幸福在歌唱 - 電影《陽光女子合唱團》幸福版主題曲
A-Lin",2,3.0,8,511857,幸福在歌唱 - 電影《陽光女子合唱團》幸福版主題曲,A-Lin
,"太陽與地球
Crowd Lu",2,4.0,23,414803,太陽與地球,Crowd Lu
,"Who
Jimin",1,6.0,84,410509,Who,Jimin
,"再見的時候 - 電影〈陽光女子合唱團〉主題曲-再見版
Pei-Yu Hung",3,5.0,6,396715,再見的時候 - 電影〈陽光女子合唱團〉主題曲-再見版,Pei-Yu Hung
,"BANG BANG
IVE",7,9.0,3,380035,BANG BANG,IVE
,"Love Me Again
V",1,7.0,133,324118,Love Me Again,V
,"特別的人
Khalil Fong",4,11.0,52,318826,特別的人,Khalil Fong
,"Slow Dancing
V",5,12.0,61,316149,Slow Dancing,V
,"單程票
Patrick Brasca",11,21.0,2,313169,單程票,Patrick Brasca
,"離開我的依賴
Evangeline Wong",10,13.0,29,306846,離開我的依賴,Evangeline Wong
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2,8.0,36,303937,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"Good Goodbye
HWASA",2,10.0,14,300457,Good Goodbye,HWASA
,"擱淺
Jay Chou",11,17.0,222,267853,擱淺,Jay Chou
,"若無你我欲去佗位
黃奇斌",5,14.0,33,260766,若無你我欲去佗位,黃奇斌
,"離開的一路上
Bestards",1,22.0,121,257297,離開的一路上,Bestards
,"左轉燈 (1000 Times+1)
Patrick Brasca, mac ova seas",10,16.0,19,256261,左轉燈 (1000 Times+1),"Patrick Brasca, mac ova seas"
,"一半一半
Top Barry, INDEcompany",19,25.0,6,251696,一半一半,"Top Barry, INDEcompany"
,"閣愛妳一擺
EggPlantEgg",2,19.0,220,240439,閣愛妳一擺,EggPlantEgg
,"一夜一夜一夜
Crowd Lu",6,24.0,27,234498,一夜一夜一夜,Crowd Lu
,"GO!
CORTIS",4,15.0,25,233280,GO!,CORTIS
,"like JENNIE
JENNIE",3,20.0,51,231075,like JENNIE,JENNIE
,"404 (New Era)
KiiiKiii",24,27.0,4,226802,404 (New Era),KiiiKiii
,"幾分之幾 - 電影<花甲大人轉男孩>主題曲
Crowd Lu",4,23.0,48,225903,幾分之幾 - 電影<花甲大人轉男孩>主題曲,Crowd Lu
,"Mono (feat. skaiwater)
i-dle, skaiwater",3,18.0,5,225260,Mono (feat. skaiwater),"i-dle, skaiwater"
,"RUDE!
Hearts2Hearts",27,,1,215155,RUDE!,Hearts2Hearts
,"toxic till the end
ROSÉ",3,31.0,64,209520,toxic till the end,ROSÉ
,"SPAGHETTI
LE SSERAFIM, j-hope",7,28.0,18,208027,SPAGHETTI,"LE SSERAFIM, j-hope"
,"PSYCHO
BABYMONSTER",22,29.0,14,207085,PSYCHO,BABYMONSTER
,"不是因為天氣晴朗才愛你
Bestards",5,40.0,320,201429,不是因為天氣晴朗才愛你,Bestards
,"愛愛愛
Khalil Fong",3,51.0,52,199032,愛愛愛,Khalil Fong
,"遇見
Stefanie Sun",26,30.0,30,197927,遇見,Stefanie Sun
,"你沒等我去的舊金山
Patrick Brasca, 陳華",9,32.0,9,196295,你沒等我去的舊金山,"Patrick Brasca, 陳華"
,"晴天
Jay Chou",12,33.0,281,196055,晴天,Jay Chou
,"Whiplash
aespa",4,37.0,71,195412,Whiplash,aespa
,"我懷念的
Stefanie Sun",11,38.0,56,194992,我懷念的,Stefanie Sun
,"連名帶姓
A-Mei Chang",2,34.0,21,192216,連名帶姓,A-Mei Chang
,"WE GO UP
BABYMONSTER",8,39.0,20,188342,WE GO UP,BABYMONSTER
,"JUMP
BLACKPINK",2,36.0,33,186804,JUMP,BLACKPINK
,"一個人想著一個人
Pets Tseng",26,47.0,63,183392,一個人想著一個人,Pets Tseng
,"NOT CUTE ANYMORE
ILLIT",9,35.0,14,182720,NOT CUTE ANYMORE,ILLIT
,"Mention Me - From The Movie ""GOAT""
CORTIS",26,26.0,2,181003,"Mention Me - From The Movie ""GOAT""",CORTIS
,"珊瑚海
Jay Chou, Lara Liang",28,49.0,51,176310,珊瑚海,"Jay Chou, Lara Liang"
,"愛我還是他
David Tao",13,54.0,68,175323,愛我還是他,David Tao
