rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Енкарапіста
Drevo",1,1.0,9,177524,Енкарапіста,Drevo
,"Babydoll
Dominic Fike",2,5.0,6,133797,Babydoll,Dominic Fike
,"Не Пʼяна - Закохана - за участі ансамблю «Кралиця»
Alena Omargalieva",1,2.0,15,127536,Не Пʼяна - Закохана - за участі ансамблю «Кралиця»,Alena Omargalieva
,"КУПЕР
SQWOZ BAB",4,41.0,2,127042,КУПЕР,SQWOZ BAB
,"Смарагдове небо
Drevo",1,3.0,40,125344,Смарагдове небо,Drevo
,"священная война
урал гайсин",5,6.0,34,121484,священная война,урал гайсин
,"boy
Кажанна",1,4.0,13,117925,boy,Кажанна
,"днями и ночами
BUSHIDO ZHO, Scally Milano, Полка",4,7.0,12,102081,днями и ночами,"BUSHIDO ZHO, Scally Milano, Полка"
,"NOBODY
Aarne, Toxi$, Big Baby Tape",9,,1,100121,NOBODY,"Aarne, Toxi$, Big Baby Tape"
,"speed
dabbackwood",9,11.0,6,94448,speed,dabbackwood
,"Афини
FIЇNKA",4,12.0,30,87692,Афини,FIЇNKA
,"З якого ти поверху неба?
Jerry Heil, YARMAK",1,8.0,43,86483,З якого ти поверху неба?,"Jerry Heil, YARMAK"
,"End of Beginning
Djo",5,10.0,16,85295,End of Beginning,Djo
,"Нагадай
Domiy",5,17.0,99,84681,Нагадай,Domiy
,"якщо це не по-справжньому
Nikow",5,9.0,28,84266,якщо це не по-справжньому,Nikow
,"Сильно Сильно
Adam",16,20.0,2,82253,Сильно Сильно,Adam
,"Де би де би
Drevo",7,13.0,40,82039,Де би де би,Drevo
,"Врубай
Parfeniuk",1,14.0,69,81385,Врубай,Parfeniuk
,"так похуй
madk1d",1,21.0,49,79555,так похуй,madk1d
,"Повільно
Adam",3,15.0,12,78926,Повільно,Adam
,"Олєг
Шугар",2,16.0,46,77050,Олєг,Шугар
,"Супермаркет
Poshlaya Molly",22,23.0,84,75476,Супермаркет,Poshlaya Molly
,"Юра, Юра
CUPSIZE",23,33.0,11,75157,"Юра, Юра",CUPSIZE
,"ParisLove
FORTUNA 812",1,24.0,68,75020,ParisLove,FORTUNA 812
