rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"DtMF
Bad Bunny",1,1.0,60,10565325,DtMF,Bad Bunny
,"Choosin' Texas
Ella Langley",2,5.0,19,8891774,Choosin' Texas,Ella Langley
,"Man I Need
Olivia Dean",2,6.0,27,8085973,Man I Need,Olivia Dean
,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",4,27.0,8,7879239,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
,"Tití Me Preguntó
Bad Bunny",2,2.0,4,7536229,Tití Me Preguntó,Bad Bunny
,"BAILE INoLVIDABLE
Bad Bunny",2,3.0,60,7273241,BAILE INoLVIDABLE,Bad Bunny
,"E85
Don Toliver",7,8.0,4,7062474,E85,Don Toliver
,"NUEVAYoL
Bad Bunny",3,4.0,9,7018803,NUEVAYoL,Bad Bunny
,"So Easy (To Fall In Love)
Olivia Dean",4,9.0,22,6817600,So Easy (To Fall In Love),Olivia Dean
,"EoO
Bad Bunny",4,7.0,6,6101027,EoO,Bad Bunny
,"End of Beginning
Djo",1,11.0,26,6033259,End of Beginning,Djo
,"Babydoll
Dominic Fike",12,20.0,7,5930145,Babydoll,Dominic Fike
,"Body
Don Toliver",5,10.0,4,5877360,Body,Don Toliver
,"Homewrecker
sombr",12,12.0,3,5630284,Homewrecker,sombr
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1,16.0,36,5274832,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"The Fate of Ophelia
Taylor Swift",1,18.0,21,5177720,The Fate of Ophelia,Taylor Swift
,"Ordinary
Alex Warren",1,15.0,55,5152924,Ordinary,Alex Warren
,"I Just Might
Bruno Mars",1,17.0,7,5131050,I Just Might,Bruno Mars
,"Be By You
Luke Combs",13,13.0,2,5123642,Be By You,Luke Combs
,"back to friends
sombr",2,21.0,49,5016938,back to friends,sombr
,"The Great Divide
Noah Kahan",1,14.0,4,4983175,The Great Divide,Noah Kahan
,"Mr. Brightside
The Killers",16,22.0,61,4950924,Mr. Brightside,The Killers
,"Be Her
Ella Langley",23,23.0,2,4876532,Be Her,Ella Langley
,"Die On This Hill
SIENNA SPIRO",15,30.0,9,4524195,Die On This Hill,SIENNA SPIRO
,"WHERE IS MY HUSBAND!
RAYE",10,25.0,23,4455499,WHERE IS MY HUSBAND!,RAYE
,"Dreams - 2004 Remaster
Fleetwood Mac",6,32.0,61,4387714,Dreams - 2004 Remaster,Fleetwood Mac
