rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"LA VILLA
Ryan Castro, Kapo, Gangsta",1,1.0,9,177619,LA VILLA,"Ryan Castro, Kapo, Gangsta"
,"UWAIE - versión cumbia
Max Carra",2,2.0,65,157401,UWAIE - versión cumbia,Max Carra
,"Puñaladas
Lauta, Amigo de Artistas, Tote",3,5.0,9,152809,Puñaladas,"Lauta, Amigo de Artistas, Tote"
,"Soy Favela
La T y La M",2,3.0,12,144616,Soy Favela,La T y La M
,"BAILE INoLVIDABLE
Bad Bunny",3,4.0,60,126265,BAILE INoLVIDABLE,Bad Bunny
,"Tu jardín con enanitos
Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES",1,6.0,40,126109,Tu jardín con enanitos,"Roze Oficial, Max Carra, Valen, RAMKY EN LOS CONTROLES"
,"DtMF
Bad Bunny",1,7.0,60,114528,DtMF,Bad Bunny
,"no tiene sentido
Beéle",4,10.0,41,111980,no tiene sentido,Beéle
,"La Plena - W Sound 05
W Sound, Beéle, Ovy On The Drums",1,12.0,53,109186,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
,"TU VAS SIN (fav)
Rels B",3,11.0,33,107995,TU VAS SIN (fav),Rels B
,"YO y TÚ
Ovy On The Drums, Quevedo, Beéle",1,15.0,37,99152,YO y TÚ,"Ovy On The Drums, Quevedo, Beéle"
,"Si Te Pillara
La Dosis, LA NUEVA ESCUELA",2,16.0,20,97541,Si Te Pillara,"La Dosis, LA NUEVA ESCUELA"
,"NUEVAYoL
Bad Bunny",8,8.0,60,95703,NUEVAYoL,Bad Bunny
,"VOY A LLeVARTE PA PR
Bad Bunny",4,9.0,60,93110,VOY A LLeVARTE PA PR,Bad Bunny
,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",15,20.0,11,91651,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
,"Cuando No Era Cantante
El Bogueto, Yung Beef",9,18.0,18,91562,Cuando No Era Cantante,"El Bogueto, Yung Beef"
,"EoO
Bad Bunny",14,14.0,60,90256,EoO,Bad Bunny
,"Amor de Vago
La T y La M, Malandro",1,17.0,76,87384,Amor de Vago,"La T y La M, Malandro"
,"VeLDÁ
Bad Bunny, Omar Courtz, Dei V",7,13.0,60,87338,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V"
,"Loco Enamorado I Varieté #4
Tincho Di Salvo & Javi Zurro, Max Carra",17,24.0,26,86598,Loco Enamorado I Varieté #4,"Tincho Di Salvo & Javi Zurro, Max Carra"
