rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Who
Jimin",1,1.0,84,369209,Who,Jimin
,"FOREVER TU GANTEL
Omar Courtz, Ñengo Flow",2,,1,321713,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow"
,"WO OH OH
Omar Courtz, ROA",3,,1,298798,WO OH OH,"Omar Courtz, ROA"
,"Don’t Say You Love Me
Jin",1,2.0,41,274740,Don’t Say You Love Me,Jin
,"SI ESTÁS CON ALGUIEN
Omar Courtz",5,,1,274542,SI ESTÁS CON ALGUIEN,Omar Courtz
,"POR SI MAÑANA NO ESTOY
Omar Courtz",6,,1,268416,POR SI MAÑANA NO ESTOY,Omar Courtz
,"$UELTA GATITA $UELTA
Omar Courtz, Dei V, Clarent, Tito ""El Bambino""",7,,1,251207,$UELTA GATITA $UELTA,"Omar Courtz, Dei V, Clarent, Tito ""El Bambino"""
,"EL MUNDO SE VA A ACABAR
Omar Courtz, KARBeats",8,115.0,10,231006,EL MUNDO SE VA A ACABAR,"Omar Courtz, KARBeats"
,"Inglés En Miami
Rawayana, Manuel Turizo",2,3.0,8,222870,Inglés En Miami,"Rawayana, Manuel Turizo"
,"KOKO
Omar Courtz",10,,1,211678,KOKO,Omar Courtz
,"WHAT U NEED? (SexPlaylist 2)
Omar Courtz, Myke Towers",11,,1,201024,WHAT U NEED? (SexPlaylist 2),"Omar Courtz, Myke Towers"
,"VAMOaCOCHI
Omar Courtz",12,,1,198384,VAMOaCOCHI,Omar Courtz
,"L a k e n o s h i
Omar Courtz",13,,1,194617,L a k e n o s h i,Omar Courtz
,"OUTRO
Omar Courtz",14,,1,174233,OUTRO,Omar Courtz
,"SIRENA
Omar Courtz",15,,1,172940,SIRENA,Omar Courtz
,"Killin' It Girl (feat. GloRilla)
j-hope, GloRilla",3,4.0,37,171881,Killin' It Girl (feat. GloRilla),"j-hope, GloRilla"
,"SUSU
Omar Courtz",17,,1,165422,SUSU,Omar Courtz
,"ROSITA
Tainy, Rauw Alejandro, JHAYCO",18,,1,163820,ROSITA,"Tainy, Rauw Alejandro, JHAYCO"
,"COMERNOS
Omar Courtz, Bad Gyal",19,,1,159400,COMERNOS,"Omar Courtz, Bad Gyal"
,"MOONLIGHT
Omar Courtz, Eladio Carrion",20,,1,157837,MOONLIGHT,"Omar Courtz, Eladio Carrion"
,"Dulces SueñoZzz (+INTERLUDIO)
Omar Courtz, Rubí",21,,1,153317,Dulces SueñoZzz (+INTERLUDIO),"Omar Courtz, Rubí"
