rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"Seven (feat. Latto) (Explicit Ver.)
Jung Kook, Latto",1,1.0,137,2088528,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
,"Không Buông
Hngle, Ari",2,3.0,25,953509,Không Buông,"Hngle, Ari"
,"In Love
Low G, JustaTee",2,2.0,18,812524,In Love,"Low G, JustaTee"
,"Ai Ngoài Anh
VSTRA, Tyronee",2,4.0,8,738525,Ai Ngoài Anh,"VSTRA, Tyronee"
,"Người Đầu Tiên
Juky San, buitruonglinh",2,5.0,17,662809,Người Đầu Tiên,"Juky San, buitruonglinh"
,"Exit Sign
HIEUTHUHAI, marzuz",4,6.0,124,657164,Exit Sign,"HIEUTHUHAI, marzuz"
,"chẳng phải tình đầu sao đau đến thế
MIN, Dangrangto, antransax",2,7.0,18,579864,chẳng phải tình đầu sao đau đến thế,"MIN, Dangrangto, antransax"
,"Không Thời Gian
Dương Domic",2,8.0,23,577394,Không Thời Gian,Dương Domic
,"bình yên
Vũ., Binz",4,9.0,78,500158,bình yên,"Vũ., Binz"
,"Standing Next to You
Jung Kook",1,11.0,104,469744,Standing Next to You,Jung Kook
,"Nắng có mang em về
Shartnuss, Tr.D, Phankeo",4,18.0,99,468521,Nắng có mang em về,"Shartnuss, Tr.D, Phankeo"
,"Không Thể Say
HIEUTHUHAI",7,19.0,149,451720,Không Thể Say,HIEUTHUHAI
,"Wrong Times
Puppy, Dangrangto",3,16.0,110,449448,Wrong Times,"Puppy, Dangrangto"
,"Và Thế Giới Đã Mất Đi Một Người Cô Đơn
marzuz, Changg",9,15.0,14,434522,Và Thế Giới Đã Mất Đi Một Người Cô Đơn,"marzuz, Changg"
,"Mơ
Vũ Cát Tường",6,17.0,105,418752,Mơ,Vũ Cát Tường
,"Âm Thầm Bên Em
Sơn Tùng M-TP",9,13.0,271,416563,Âm Thầm Bên Em,Sơn Tùng M-TP
